"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-02-28",1010.38,897.139,0.317,0.383,1011.361,898.338,1011.361,898.338
"Cala-isol-0","isolamento_domiciliare","Calabria","2020-02-28",2221.402,2586.067,0.572,0.068,2221.391,2586.104,2221.391,2586.104
"Camp-rico-0","ricoverati_con_sintomi","Campania","2020-02-28",1447.394,1663.99,0.477,0.346,1446.926,1661.273,1446.926,1661.273
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-02-28",1447.394,1663.99,0.421,0.482,1448.71,1667.925,1448.71,1667.925
"Camp-isol-0","isolamento_domiciliare","Campania","2020-02-28",1447.394,1663.99,0.853,0.967,1444.316,1665.538,1444.316,1665.538
"Camp-isol-1","isolamento_domiciliare","Campania","2020-02-28",1447.394,1663.99,0.637,0.287,1451.319,1663.66,1451.319,1663.66
"Emil-dece-0","deceduti","Emilia Romagna","2020-02-28",-224.55,-430.431,0.016,0.513,-221.3,-425.154,-221.3,-425.154
"Emil-dece-1","deceduti","Emilia Romagna","2020-02-28",-224.55,-430.431,0.022,0.221,-223.358,-429.697,-223.358,-429.697
"Emil-tera-0","terapia_intensiva","Emilia Romagna","2020-02-28",-224.55,-430.431,0.039,0.476,-216.342,-424.66,-216.342,-424.66
"Emil-tera-1","terapia_intensiva","Emilia Romagna","2020-02-28",-224.55,-430.431,0.057,0.289,-226.263,-425.655,-226.263,-425.655
"Emil-tera-2","terapia_intensiva","Emilia Romagna","2020-02-28",-224.55,-430.431,0.028,0.054,-218.398,-429.226,-218.398,-429.226
"Emil-tera-3","terapia_intensiva","Emilia Romagna","2020-02-28",-224.55,-430.431,0.029,0.391,-219.246,-420.603,-219.246,-420.603
"Emil-tera-4","terapia_intensiva","Emilia Romagna","2020-02-28",-224.55,-430.431,0.049,0.224,-229.259,-430.712,-229.259,-430.712
"Emil-tera-5","terapia_intensiva","Emilia Romagna","2020-02-28",-224.55,-430.431,0.083,0.835,-213.433,-428.718,-213.433,-428.718
"Emil-rico-0","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.336,0.996,-224.212,-421.096,-224.212,-421.096
"Emil-rico-1","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.197,0.408,-220.633,-433.891,-220.633,-433.891
"Emil-rico-2","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.177,0.755,-214.279,-420.108,-214.279,-420.108
"Emil-rico-3","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.373,0.003,-231.238,-426.123,-231.238,-426.123
"Emil-rico-4","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.36,0.301,-215.508,-433.31,-215.508,-433.31
"Emil-rico-5","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.295,0.06,-222.161,-416.541,-222.161,-416.541
"Emil-rico-6","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.226,0.529,-225.62,-434.135,-225.62,-434.135
"Emil-rico-7","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.277,0.34,-211.367,-424.169,-211.367,-424.169
"Emil-rico-8","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.173,0.564,-229.178,-421.596,-229.178,-421.596
"Emil-rico-9","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.241,0.647,-217.588,-437.856,-217.588,-437.856
"Emil-rico-10","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.202,0.663,-217.19,-416.048,-217.19,-416.048
"Emil-rico-11","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.161,0.291,-234.589,-429.8,-234.589,-429.8
"Emil-rico-12","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.383,0.198,-210.523,-432.778,-210.523,-432.778
"Emil-rico-13","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.127,0.157,-227.132,-417.033,-227.132,-417.033
"Emil-rico-14","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.307,0.17,-226.26,-439.088,-226.26,-439.088
"Emil-rico-15","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.434,0.714,-209.305,-419.615,-209.305,-419.615
"Emil-rico-16","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.195,0.899,-234.979,-422.8,-234.979,-422.8
"Emil-rico-17","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.359,0.531,-213.124,-440.107,-213.124,-440.107
"Emil-rico-18","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.341,0.682,-220.102,-411.986,-220.102,-411.986
"Emil-rico-19","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.397,0.131,-235.045,-434.767,-235.045,-434.767
"Emil-rico-20","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.422,0.784,-208.457,-428.233,-208.457,-428.233
"Emil-rico-21","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.472,0.565,-232.099,-417.548,-232.099,-417.548
"Emil-rico-22","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.116,0.167,-221.59,-440.851,-221.59,-440.851
"Emil-rico-23","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.422,0.667,-212.216,-415.554,-212.216,-415.554
"Emil-rico-24","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.438,0.171,-238.335,-426.505,-238.335,-426.505
"Emil-rico-25","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.386,0.561,-208.866,-437.489,-208.866,-437.489
"Emil-rico-26","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.144,0.624,-225.078,-412.478,-225.078,-412.478
"Emil-rico-27","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.37,0.078,-230.227,-436.078,-230.227,-436.078
"Emil-rico-28","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.278,0.067,-206.395,-423.673,-206.395,-423.673
"Emil-rico-29","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.218,0.677,-237.049,-418.249,-237.049,-418.249
"Emil-rico-30","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.193,0.994,-217.127,-443.099,-217.127,-443.099
"Emil-rico-31","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.181,0.087,-215.129,-411.492,-215.129,-411.492
"Emil-rico-32","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.376,0.647,-239.127,-431.913,-239.127,-431.913
"Emil-rico-33","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.389,0.912,-205.577,-433.536,-205.577,-433.536
"Emil-rico-34","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.471,0.406,-230.064,-412.983,-230.064,-412.983
"Emil-rico-35","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.342,0.846,-225.906,-444.065,-225.906,-444.065
"Emil-rico-36","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.133,0.608,-207.242,-415.061,-207.242,-415.061
"Emil-rico-37","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.145,0.691,-242.495,-423.737,-242.495,-423.737
"Emil-rico-38","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.425,0.829,-208.5,-442.474,-208.5,-442.474
"Emil-rico-39","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.476,0.654,-223.018,-407.924,-223.018,-407.924
"Emil-rico-40","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.126,0.317,-234.924,-439.758,-234.924,-439.758
"Emil-rico-41","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.411,0.495,-203.486,-427.733,-203.486,-427.733
"Emil-rico-42","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.343,0.012,-235.069,-413.529,-235.069,-413.529
"Emil-rico-43","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.3,0.218,-221.261,-445.907,-221.261,-445.907
"Emil-rico-44","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.141,0.951,-210.155,-410.999,-210.155,-410.999
"Emil-rico-45","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.408,0.351,-242.959,-428.71,-242.959,-428.71
"Emil-rico-46","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.164,0.521,-204.367,-439.67,-204.367,-439.67
"Emil-rico-47","ricoverati_con_sintomi","Emilia Romagna","2020-02-28",-224.55,-430.431,0.306,0.003,-228.009,-408.426,-228.009,-408.426
