"id","category","denominazione_regione","date","_x","_y","s_x","s_y","b_x","b_y","c_x","c_y"
"Lomb-rico-587","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.242,0.365,-742.927,-874.654,-742.927,-874.654
"Lomb-rico-588","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.158,0.948,-647.461,-968.912,-647.461,-968.912
"Lomb-rico-589","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.333,0.259,-654.379,-834.444,-654.379,-834.444
"Lomb-rico-590","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.414,0.136,-742.965,-935.552,-742.965,-935.552
"Lomb-rico-591","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.175,0.514,-608.991,-919.415,-608.991,-919.415
"Lomb-rico-592","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.16,0.059,-720.315,-837.911,-720.315,-837.911
"Lomb-rico-593","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.495,0.785,-690.19,-972.712,-690.19,-972.712
"Lomb-rico-594","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.364,0.724,-623.563,-857.032,-623.563,-857.032
"Lomb-rico-595","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.18,0.179,-754.848,-895.793,-754.848,-895.793
"Lomb-rico-596","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.163,0.089,-624.543,-955.77,-624.543,-955.77
"Lomb-rico-597","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.143,0.44,-681.595,-826.481,-681.595,-826.481
"Lomb-rico-598","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.189,0.995,-724.462,-959.584,-724.462,-959.584
"Lomb-rico-599","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.415,0.917,-603.431,-892.67,-603.431,-892.67
"Lomb-rico-600","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.238,0.814,-742.049,-854.708,-742.049,-854.708
"Lomb-rico-601","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.266,0.524,-664.209,-973.911,-664.209,-973.911
"Lomb-rico-602","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.483,0.176,-639.953,-837.345,-639.953,-837.345
"Lomb-rico-603","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.385,0.549,-753.975,-921.793,-753.975,-921.793
"Lomb-rico-604","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.373,0.378,-611.694,-936.951,-611.694,-936.951
"Lomb-rico-605","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.276,0.977,-707.288,-830.769,-707.288,-830.769
"Lomb-rico-606","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.334,0.129,-707.209,-968.718,-707.209,-968.718
"Lomb-rico-607","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.385,0.956,-609.415,-866.747,-609.415,-866.747
"Lomb-rico-608","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.35,0.641,-750.229,-879.063,-750.229,-879.063
"Lomb-rico-609","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.34,0.246,-640.324,-964.144,-640.324,-964.144
"Lomb-rico-610","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.496,0.434,-665.333,-827.885,-665.333,-827.885
"Lomb-rico-611","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.184,0.229,-742.328,-945.372,-742.328,-945.372
"Lomb-rico-612","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.425,0.742,-605.394,-910.214,-605.394,-910.214
"Lomb-rico-613","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.497,0.622,-729.023,-842.655,-729.023,-842.655
"Lomb-rico-614","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.393,0.249,-678.153,-973.968,-678.153,-973.968
"Lomb-rico-615","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.266,0.248,-627.37,-848.241,-627.37,-848.241
"Lomb-rico-616","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.425,0.175,-754.456,-904.147,-754.456,-904.147
"Lomb-rico-617","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.156,0.95,-620.539,-946.729,-620.539,-946.729
"Lomb-rico-618","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.438,0.334,-689.931,-821.237,-689.931,-821.237
"Lomb-rico-619","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.195,0.903,-724.398,-964.558,-724.398,-964.558
"Lomb-rico-620","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.152,0.505,-604.99,-884.554,-604.99,-884.554
"Lomb-rico-621","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.406,0.743,-743.158,-865.882,-743.158,-865.882
"Lomb-rico-622","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.243,0.948,-654.537,-973.496,-654.537,-973.496
"Lomb-rico-623","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.49,0.741,-651.026,-830.689,-651.026,-830.689
"Lomb-rico-624","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.455,0.254,-747.982,-933.517,-747.982,-933.517
"Lomb-rico-625","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.145,0.975,-610.865,-923.987,-610.865,-923.987
"Lomb-rico-626","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.132,0.19,-715.963,-835.496,-715.963,-835.496
"Lomb-rico-627","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.377,0.42,-698.512,-973.217,-698.512,-973.217
"Lomb-rico-628","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.487,0.274,-618.58,-857.58,-618.58,-857.58
"Lomb-rico-629","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.446,0.215,-755.081,-887.537,-755.081,-887.537
"Lomb-rico-630","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.285,0.19,-631.502,-960.778,-631.502,-960.778
"Lomb-rico-631","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.259,0.176,-674.871,-825.846,-674.871,-825.846
"Lomb-rico-632","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.429,0.684,-733.092,-954.855,-733.092,-954.855
"Lomb-rico-633","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.529,0.551,-605.116,-897.325,-605.116,-897.325
"Lomb-rico-634","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.378,0.769,-737.746,-852.292,-737.746,-852.292
"Lomb-rico-635","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.168,0.991,-669.087,-974.111,-669.087,-974.111
"Lomb-rico-636","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.438,0.062,-635.111,-838.369,-635.111,-838.369
"Lomb-rico-637","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.177,0.609,-753.787,-917.226,-753.787,-917.226
"Lomb-rico-638","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.267,0.744,-613.62,-941.511,-613.62,-941.511
"Lomb-rico-639","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.228,0.866,-698.737,-830.921,-698.737,-830.921
"Lomb-rico-640","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.461,0.824,-711.491,-966.513,-711.491,-966.513
"Lomb-rico-641","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.236,0.103,-610.425,-876.259,-610.425,-876.259
"Lomb-rico-642","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.297,0.108,-747.848,-874.868,-747.848,-874.868
"Lomb-rico-643","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.468,0.749,-642.537,-968.628,-642.537,-968.628
"Lomb-rico-644","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.216,0.711,-655.819,-829.726,-655.819,-829.726
"Lomb-rico-645","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.316,0.848,-742.665,-940.492,-742.665,-940.492
"Lomb-rico-646","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.183,0.165,-607.14,-914.905,-607.14,-914.905
"Lomb-rico-647","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.428,0.011,-724.668,-840.238,-724.668,-840.238
"Lomb-rico-648","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.416,0.89,-685.743,-975.007,-685.743,-975.007
"Lomb-rico-649","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.413,0.589,-620.59,-853.097,-620.59,-853.097
"Lomb-rico-650","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.137,0.056,-757.184,-900.073,-757.184,-900.073
"Lomb-rico-651","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.198,0.903,-622.517,-951.255,-622.517,-951.255
"Lomb-rico-652","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.192,0.254,-685.769,-823.845,-685.769,-823.845
"Lomb-rico-653","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.314,0.125,-728.652,-962.199,-728.652,-962.199
"Lomb-rico-654","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.329,0.165,-601.74,-888.128,-601.74,-888.128
"Lomb-rico-655","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.185,0.272,-741.951,-859.579,-741.951,-859.579
"Lomb-rico-656","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.38,0.942,-659.497,-973.778,-659.497,-973.778
"Lomb-rico-657","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.139,0.286,-649.46,-835.375,-649.46,-835.375
"Lomb-rico-658","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.314,0.305,-748.341,-928.682,-748.341,-928.682
"Lomb-rico-659","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.29,0.191,-607.853,-927.907,-607.853,-927.907
"Lomb-rico-660","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.291,0.918,-711.483,-828.148,-711.483,-828.148
"Lomb-rico-661","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.447,0.553,-702.934,-970.984,-702.934,-970.984
"Lomb-rico-662","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.387,0.816,-606.456,-862.879,-606.456,-862.879
"Lomb-rico-663","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.343,0.953,-752.703,-883.229,-752.703,-883.229
"Lomb-rico-664","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.131,0.063,-633.623,-965.284,-633.623,-965.284
"Lomb-rico-665","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.422,0.389,-666.925,-823.149,-666.925,-823.149
"Lomb-rico-666","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.187,0.844,-737.503,-952.575,-737.503,-952.575
"Lomb-rico-667","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.438,0.989,-600.501,-909.491,-600.501,-909.491
"Lomb-rico-668","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.305,0.407,-733.373,-844.976,-733.373,-844.976
"Lomb-rico-669","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.444,0.99,-676.468,-978.537,-676.468,-978.537
"Lomb-rico-670","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.17,0.413,-629.24,-843.771,-629.24,-843.771
"Lomb-rico-671","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.278,0.88,-753.965,-912.351,-753.965,-912.351
"Lomb-rico-672","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.301,0.223,-618.564,-942.177,-618.564,-942.177
"Lomb-rico-673","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.228,0.467,-694.219,-823.592,-694.219,-823.592
"Lomb-rico-674","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.509,0.526,-715.965,-964.271,-715.965,-964.271
"Lomb-rico-675","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.313,0.73,-608.074,-880.672,-608.074,-880.672
"Lomb-rico-676","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.237,0.341,-745.519,-870.427,-745.519,-870.427
"Lomb-rico-677","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.14,0.175,-649.689,-973.329,-649.689,-973.329
"Lomb-rico-678","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.176,0.592,-652.492,-826.019,-652.492,-826.019
"Lomb-rico-679","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.232,0.406,-747.196,-938.272,-747.196,-938.272
"Lomb-rico-680","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.205,0.945,-605.945,-923.329,-605.945,-923.329
"Lomb-rico-681","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.308,0.828,-720.202,-832.938,-720.202,-832.938
"Lomb-rico-682","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.312,0.723,-694.219,-975.492,-694.219,-975.492
"Lomb-rico-683","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.42,0.734,-615.665,-853.503,-615.665,-853.503
"Lomb-rico-684","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.51,0.816,-757.526,-891.726,-757.526,-891.726
"Lomb-rico-685","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.231,0.045,-626.552,-960.312,-626.552,-960.312
"Lomb-rico-686","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.283,0.253,-676.556,-821.145,-676.556,-821.145
"Lomb-rico-687","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.46,0.016,-732.967,-959.83,-732.967,-959.83
"Lomb-rico-688","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.33,0.325,-600.215,-896.428,-600.215,-896.428
"Lomb-rico-689","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.492,0.354,-742.069,-849.824,-742.069,-849.824
"Lomb-rico-690","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.156,0.284,-666.7,-978.387,-666.7,-978.387
"Lomb-rico-691","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.216,0.936,-631.757,-834.578,-631.757,-834.578
"Lomb-rico-692","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.254,0.829,-758.307,-919.174,-758.307,-919.174
"Lomb-rico-693","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.491,0.812,-608.709,-940.936,-608.709,-940.936
"Lomb-rico-694","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.536,0.664,-702.975,-828.385,-702.975,-828.385
"Lomb-rico-695","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.417,0.273,-711.398,-971.442,-711.398,-971.442
"Lomb-rico-696","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.133,0.63,-607.361,-871.127,-607.361,-871.127
"Lomb-rico-697","ricoverati_con_sintomi","Lombardia","2020-03-03",-675.283,-898.487,0.135,0.093,-752.852,-874.846,-752.852,-874.846
"Lomb-isol-0","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.588,0.924,-637.61,-968.241,-637.61,-968.241
"Lomb-isol-1","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.865,0.564,-662.186,-824.073,-662.186,-824.073
"Lomb-isol-2","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.798,0.51,-746.449,-948.104,-746.449,-948.104
"Lomb-isol-3","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.656,0.446,-602.245,-914.089,-602.245,-914.089
"Lomb-isol-4","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.857,0.081,-728.931,-837.698,-728.931,-837.698
"Lomb-isol-5","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.562,0.578,-685.326,-979.964,-685.326,-979.964
"Lomb-isol-6","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.715,0.735,-624.564,-843.946,-624.564,-843.946
"Lomb-isol-7","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.838,0.561,-759.512,-904.366,-759.512,-904.366
"Lomb-isol-8","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.588,0.144,-619.555,-955.23,-619.555,-955.23
"Lomb-isol-9","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.914,0.232,-685.552,-818.89,-685.552,-818.89
"Lomb-isol-10","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.564,0.333,-728.653,-967.154,-728.653,-967.154
"Lomb-isol-11","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.78,0.327,-599.96,-883.503,-599.96,-883.503
"Lomb-isol-12","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.545,0.397,-746.271,-861.899,-746.271,-861.899
"Lomb-isol-13","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.891,0.654,-656.853,-977.928,-656.853,-977.928
"Lomb-isol-14","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.777,0.579,-646.226,-831.685,-646.226,-831.685
"Lomb-isol-15","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.604,0.475,-752.536,-931.312,-752.536,-931.312
"Lomb-isol-16","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.756,0.981,-602.882,-927.186,-602.882,-927.186
"Lomb-isol-17","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.637,0.151,-715.841,-830.531,-715.841,-830.531
"Lomb-isol-18","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.634,0.955,-702.641,-975.959,-702.641,-975.959
"Lomb-isol-19","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.767,0.53,-613.605,-857.971,-613.605,-857.971
"Lomb-isol-20","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.544,0.258,-757.712,-883.36,-757.712,-883.36
"Lomb-isol-21","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.849,0.53,-628.698,-964.913,-628.698,-964.913
"Lomb-isol-22","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.611,0.404,-671.746,-822.115,-671.746,-822.115
"Lomb-isol-23","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.661,0.575,-737.304,-957.492,-737.304,-957.492
"Lomb-isol-24","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.806,0.47,-601.901,-901.108,-601.901,-901.108
"Lomb-isol-25","isolamento_domiciliare","Lombardia","2020-03-03",-675.283,-898.487,0.85,0.547,-737.742,-847.361,-737.742,-847.361
