"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.632,0.481,1018.687,903.277,1018.687,903.277
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.28,0.016,1014.665,906.247,1014.665,906.247
"Abru-rico-2","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.31,0.453,1018.126,898.309,1018.126,898.309
"Abru-rico-3","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.249,0.588,1019.247,908.246,1019.247,908.246
"Abru-rico-4","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.408,0.45,1010.081,904.248,1010.081,904.248
"Abru-rico-5","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.512,0.296,1022.709,900.308,1022.709,900.308
"Abru-rico-6","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.412,0.949,1015.225,911.215,1015.225,911.215
"Abru-rico-7","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.562,0.768,1014.104,901.279,1014.104,901.279
"Abru-rico-8","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,0.432,0.903,1023.27,905.276,1023.27,905.276
"Basi-rico-0","ricoverati_con_sintomi","Basilicata","2020-03-06",2176.076,1795.534,0.463,0.371,2177.627,1799.873,2177.627,1799.873
"Basi-isol-0","isolamento_domiciliare","Basilicata","2020-03-06",2176.076,1795.534,0.849,0.211,2181.79,1797.103,2181.79,1797.103
"Basi-isol-1","isolamento_domiciliare","Basilicata","2020-03-06",2176.076,1795.534,0.833,0.736,2182.107,1802.093,2182.107,1802.093
"Cala-rico-0","ricoverati_con_sintomi","Calabria","2020-03-06",2221.402,2586.067,0.32,0.969,2221.026,2588.905,2221.026,2588.905
"Cala-rico-1","ricoverati_con_sintomi","Calabria","2020-03-06",2221.402,2586.067,0.371,0.14,2227.778,2590.601,2227.778,2590.601
"Cala-isol-0","isolamento_domiciliare","Calabria","2020-03-06",2221.402,2586.067,0.854,0.777,2223.528,2593.234,2223.528,2593.234
"Cala-isol-1","isolamento_domiciliare","Calabria","2020-03-06",2221.402,2586.067,0.683,0.329,2225.276,2586.272,2225.276,2586.272
