"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Lomb-dime-480","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.929,0.639,-679.591,-1091.121,-679.591,-1091.121
"Lomb-dime-481","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.971,0.22,-575.736,-767.557,-575.736,-767.557
"Lomb-dime-482","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.924,0.845,-866.57,-931.733,-866.57,-931.733
"Lomb-dime-483","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.934,0.634,-537.172,-1017.124,-537.172,-1017.124
"Lomb-dime-484","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.974,0.812,-732.146,-731.362,-732.146,-731.362
"Lomb-dime-485","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.916,0.713,-779.15,-1066.139,-779.15,-1066.139
"Lomb-dime-486","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.963,0.677,-518.344,-854.345,-518.344,-854.345
"Lomb-dime-487","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.993,0.386,-852.115,-830.457,-852.115,-830.457
"Lomb-dime-488","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.948,0.385,-613.954,-1075.557,-613.954,-1075.557
"Lomb-dime-489","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.93,0.381,-627.679,-737.986,-627.679,-737.986
"Lomb-dime-490","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.996,0.364,-841.438,-993.427,-841.438,-993.427
"Lomb-dime-491","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.962,0.077,-510.004,-958.939,-510.004,-958.939
"Lomb-dime-492","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.953,0.957,-785.724,-758.962,-785.724,-758.962
"Lomb-dime-493","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.979,0.536,-718.307,-1086.8,-718.307,-1086.8
"Lomb-dime-494","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.957,0.676,-550.321,-797.962,-550.321,-797.962
"Lomb-dime-495","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.91,0.292,-865.783,-891.785,-865.783,-891.785
"Lomb-dime-496","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.937,0.731,-562.963,-1044.387,-562.963,-1044.387
"Lomb-dime-497","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.908,0.459,-693.26,-726.979,-693.26,-726.979
"Lomb-dime-498","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.999,0.389,-809.582,-1043.689,-809.582,-1043.689
"Lomb-dime-499","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.911,0.112,-507.344,-893.504,-507.344,-893.504
"Lomb-dime-500","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.959,0.054,-830.875,-802.607,-830.875,-802.607
"Lomb-dime-501","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.984,0.507,-651.679,-1091.193,-651.679,-1091.193
"Lomb-dime-502","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.921,0.603,-594.077,-754.156,-594.077,-754.156
"Lomb-dime-503","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.946,0.735,-861.021,-955.762,-861.021,-955.762
"Lomb-dime-504","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.998,0.023,-526.402,-996.038,-526.402,-996.038
"Lomb-dime-505","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.907,0.812,-755.157,-734.566,-755.157,-734.566
"Lomb-dime-506","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.908,0.654,-755.611,-1077.917,-755.611,-1077.917
"Lomb-dime-507","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.914,0.313,-525.747,-828.877,-525.747,-828.877
"Lomb-dime-508","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.939,0.387,-860.425,-853.924,-860.425,-853.924
"Lomb-dime-509","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.914,0.257,-594.008,-1064.885,-594.008,-1064.885
"Lomb-dime-510","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.997,0.765,-653.306,-731.559,-653.306,-731.559
"Lomb-dime-511","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.933,0.624,-833.94,-1014.707,-833.94,-1014.707
"Lomb-dime-512","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.963,0.407,-508.177,-934.51,-508.177,-934.51
"Lomb-dime-513","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.909,0.173,-806.458,-767.939,-806.458,-767.939
"Lomb-dime-514","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.905,0.706,-694.201,-1093.092,-694.201,-1093.092
"Lomb-dime-515","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.997,0.702,-562.67,-778.741,-562.67,-778.741
"Lomb-dime-516","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.988,0.448,-867.898,-916.606,-867.898,-916.606
"Lomb-dime-517","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.932,0.131,-548.897,-1026.718,-548.897,-1026.718
"Lomb-dime-518","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.974,0.523,-715.828,-729.121,-715.828,-729.121
"Lomb-dime-519","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.934,0.925,-790.617,-1054.423,-790.617,-1054.423
"Lomb-dime-520","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.969,0.335,-509.866,-868.581,-509.866,-868.581
"Lomb-dime-521","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.907,0.311,-845.795,-815.997,-845.795,-815.997
"Lomb-dime-522","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.909,0.151,-630.397,-1082.539,-630.397,-1082.539
"Lomb-dime-523","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.968,0.521,-612.406,-743.23,-612.406,-743.23
"Lomb-dime-524","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.951,0.84,-853.417,-980.29,-853.417,-980.29
"Lomb-dime-525","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.99,0.183,-515.35,-972.892,-515.35,-972.892
