"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-02-27",1010.38,897.139,1010.38,897.139,0.317,0.33,1011.021,897.948,1011.021,897.948
"Camp-rico-0","ricoverati_con_sintomi","Campania","2020-02-27",1447.394,1663.99,1447.394,1663.99,0.346,0.465,1444.903,1665.333,1444.903,1665.333
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-02-27",1447.394,1663.99,1447.394,1663.99,0.37,0.169,1448.069,1661.462,1448.069,1661.462
"Camp-isol-0","isolamento_domiciliare","Campania","2020-02-27",1447.394,1663.99,1447.394,1663.99,0.771,0.949,1449.838,1666.139,1449.838,1666.139
"Emil-dece-0","deceduti","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.011,0.911,-224.073,-427.975,-224.073,-427.975
"Emil-tera-0","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.041,0.895,-218.129,-429.875,-218.129,-429.875
"Emil-tera-1","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.057,0.016,-224.105,-422.598,-224.105,-422.598
"Emil-tera-2","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.095,0.699,-225.7,-432.706,-225.7,-432.706
"Emil-tera-3","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.041,0.775,-219.817,-425.169,-219.817,-425.169
"Emil-tera-4","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.035,0.093,-228.872,-424.098,-228.872,-424.098
"Emil-tera-5","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.077,0.848,-220.885,-434.043,-220.885,-434.043
"Emil-rico-0","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.141,0.647,-220.063,-419.658,-220.063,-419.658
"Emil-rico-1","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.409,0.208,-229.149,-429.09,-229.149,-429.09
"Emil-rico-2","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.313,0.011,-214.108,-426.907,-214.108,-426.907
"Emil-rico-3","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.179,0.063,-228.6,-419.107,-228.6,-419.107
"Emil-rico-4","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.234,0.743,-224.287,-437.705,-224.287,-437.705
"Emil-rico-5","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,-224.55,-430.431,0.335,0.774,-215.781,-422.217,-215.781,-422.217
