"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Emil-tera-0","terapia_intensiva","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.063,0.502,-222.051,-429.397,-222.051,-429.397
"Emil-tera-1","terapia_intensiva","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.118,0.72,-225.737,-426.019,-225.737,-426.019
"Emil-rico-0","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.388,0.351,-223.133,-434.277,-223.133,-434.277
"Emil-rico-1","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.445,0.588,-220.969,-424.516,-220.969,-424.516
"Emil-rico-2","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.377,0.152,-226.82,-430.899,-226.82,-430.899
"Emil-rico-3","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.474,0.177,-218.365,-432.775,-218.365,-432.775
"Emil-rico-4","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.29,0.746,-224.654,-421.137,-224.654,-421.137
"Emil-rico-5","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.564,0.519,-227.901,-435.781,-227.901,-435.781
"Emil-rico-6","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.557,0.387,-217.283,-427.894,-217.283,-427.894
"Emil-rico-7","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.528,0.337,-230.705,-425.462,-230.705,-425.462
"Emil-rico-8","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.267,0.276,-219.447,-437.656,-219.447,-437.656
"Emil-rico-9","ricoverati_con_sintomi","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.323,0.238,-219.886,-419.634,-219.886,-419.634
"Emil-isol-0","isolamento_domiciliare","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.635,0.318,-232.809,-434.825,-232.809,-434.825
"Emil-isol-1","isolamento_domiciliare","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.805,0.086,-213.596,-431.271,-213.596,-431.271
"Emil-isol-2","isolamento_domiciliare","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.897,0.836,-229.623,-420.582,-229.623,-420.582
"Emil-isol-3","isolamento_domiciliare","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.658,0.236,-224.215,-439.159,-224.215,-439.159
"Emil-isol-4","isolamento_domiciliare","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.912,0.528,-216.2,-423.012,-216.2,-423.012
"Emil-isol-5","isolamento_domiciliare","Emilia Romagna","2020-02-24",-224.55,-430.431,-224.55,-430.431,0.592,0.594,-233.129,-429.835,-233.129,-429.835
"Lazi-tera-0","terapia_intensiva","Lazio","2020-02-24",555.941,1059.757,555.941,1059.757,0.144,0.607,558.595,1058.583,558.595,1058.583
"Lazi-rico-0","ricoverati_con_sintomi","Lazio","2020-02-24",555.941,1059.757,555.941,1059.757,0.488,0.679,555.853,1062.765,555.853,1062.765
"Lazi-dime-0","dimessi_guariti","Lazio","2020-02-24",555.941,1059.757,555.941,1059.757,0.998,0.607,553.603,1058.3,553.603,1058.3
"Lomb-dece-0","deceduti","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.011,0.095,-671.771,-896.558,-671.771,-896.558
"Lomb-dece-1","deceduti","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.006,0.717,-676.769,-896.541,-676.769,-896.541
"Lomb-dece-2","deceduti","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.002,0.427,-674.29,-900.877,-674.29,-900.877
"Lomb-dece-3","deceduti","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.002,0.972,-674.262,-892.216,-674.262,-892.216
"Lomb-dece-4","deceduti","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.01,0.302,-679.282,-900.864,-679.282,-900.864
"Lomb-dece-5","deceduti","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.003,0.521,-669.297,-900.903,-669.297,-900.903
"Lomb-tera-0","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.103,0.79,-679.259,-892.209,-679.259,-892.209
"Lomb-tera-1","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.079,0.191,-678.839,-905.839,-678.839,-905.839
"Lomb-tera-2","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.064,0.485,-666.989,-895.106,-666.989,-895.106
"Lomb-tera-3","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.057,0.078,-681.768,-896.532,-681.768,-896.532
"Lomb-tera-4","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.069,0.57,-668.847,-905.881,-668.847,-905.881
"Lomb-tera-5","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.073,0.913,-676.993,-887.758,-676.993,-887.758
"Lomb-tera-6","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.144,0.951,-683.831,-905.823,-683.831,-905.823
"Lomb-tera-7","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.081,0.079,-664.53,-899.411,-664.53,-899.411
"Lomb-tera-8","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.038,0.604,-684.257,-892.199,-684.257,-892.199
"Lomb-tera-9","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.109,0.858,-673.845,-905.855,-673.845,-905.855
"Lomb-tera-10","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.118,0.718,-669.464,-890.812,-669.464,-890.812
"Lomb-tera-11","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.037,0.4,-684.282,-900.852,-684.282,-900.852
"Lomb-tera-12","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.135,0.345,-664.049,-907.274,-664.049,-907.274
"Lomb-tera-13","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.078,0.058,-679.773,-883.269,-679.773,-883.269
"Lomb-tera-14","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.041,0.712,-681.597,-910.285,-681.597,-910.285
"Lomb-tera-15","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.109,0.404,-661.994,-894.893,-661.994,-894.893
"Lomb-tera-16","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.115,0.759,-689.252,-892.189,-689.252,-892.189
"Lomb-tera-17","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.077,0.047,-671.608,-910.325,-671.608,-910.325
"Lomb-tera-18","terapia_intensiva","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.138,0.602,-672.143,-886.612,-672.143,-886.612
"Lomb-rico-0","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.43,0.224,-688.817,-905.534,-688.817,-905.534
"Lomb-rico-1","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.227,0.79,-661.275,-903.179,-661.275,-903.179
"Lomb-rico-2","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.517,0.832,-681.976,-887.752,-681.976,-887.752
"Lomb-rico-3","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.472,0.957,-676.604,-910.309,-676.604,-910.309
"Lomb-rico-4","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.56,0.751,-664.483,-890.562,-664.483,-890.562
"Lomb-rico-5","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.326,0.795,-686.769,-896.52,-686.769,-896.52
"Lomb-rico-6","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.222,0.879,-666.728,-911.425,-666.728,-911.425
"Lomb-rico-7","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.21,0.586,-674.863,-882.428,-674.863,-882.428
"Lomb-rico-8","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.221,0.362,-686.581,-910,-686.581,-910
"Lomb-rico-9","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.458,0.347,-658.893,-898.808,-658.893,-898.808
"Lomb-rico-10","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.337,0.578,-686.975,-887.767,-686.975,-887.767
"Lomb-rico-11","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.177,0.505,-674.364,-914.778,-674.364,-914.778
"Lomb-rico-12","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.154,0.214,-667.159,-886.339,-667.159,-886.339
"Lomb-rico-13","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.145,0.457,-689.65,-900.607,-689.65,-900.607
"Lomb-rico-14","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.349,0.549,-658.892,-907.555,-658.892,-907.555
"Lomb-rico-15","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.209,0.628,-684.758,-883.297,-684.758,-883.297
"Lomb-rico-16","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.275,0.211,-679.354,-914.751,-679.354,-914.751
"Lomb-rico-17","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.452,0.192,-659.492,-890.286,-659.492,-890.286
"Lomb-rico-18","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.533,0.82,-692.119,-896.254,-692.119,-896.254
"Lomb-rico-19","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.445,0.414,-669.434,-915.605,-669.434,-915.605
"Lomb-rico-20","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.477,0.647,-669.882,-882.148,-669.882,-882.148
"Lomb-rico-21","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.337,0.496,-691.572,-909.753,-691.572,-909.753
"Lomb-rico-22","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.535,0.947,-656.269,-903.068,-656.269,-903.068
"Lomb-rico-23","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.276,0.435,-687.584,-879.176,-687.584,-879.176
"Lomb-rico-24","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.371,0.158,-677.117,-919.218,-677.117,-919.218
"Lomb-rico-25","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.517,0.961,-662.168,-886.07,-662.168,-886.07
"Lomb-rico-26","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.198,0.867,-694.865,-900.418,-694.865,-900.418
"Lomb-rico-27","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.361,0.772,-661.707,-911.691,-661.707,-911.691
"Lomb-rico-28","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.472,0.469,-677.614,-878.265,-677.614,-878.265
"Lomb-rico-29","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.344,0.352,-684.342,-914.467,-684.342,-914.467
"Lomb-rico-30","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.378,0.869,-656.615,-894.376,-656.615,-894.376
"Lomb-rico-31","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.573,0.07,-691.956,-887.995,-691.956,-887.995
"Lomb-rico-32","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.203,0.808,-672.151,-919.786,-672.151,-919.786
"Lomb-rico-33","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.455,0.18,-664.894,-881.878,-664.894,-881.878
"Lomb-rico-34","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.574,0.972,-693.807,-905.302,-693.807,-905.302
"Lomb-rico-35","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.187,0.198,-653.89,-907.462,-653.89,-907.462
"Lomb-rico-36","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.51,0.55,-682.586,-878.793,-682.586,-878.793
"Lomb-rico-37","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.497,0.856,-682.1,-918.935,-682.1,-918.935
"Lomb-rico-38","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.156,0.953,-657.177,-885.797,-657.177,-885.797
"Lomb-rico-39","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.503,0.209,-696.762,-894.391,-696.762,-894.391
"Lomb-rico-40","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.531,0.537,-664.435,-915.879,-664.435,-915.879
"Lomb-rico-41","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.463,0.862,-672.609,-877.961,-672.609,-877.961
"Lomb-rico-42","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.388,0.492,-689.335,-914.207,-689.335,-914.207
"Lomb-rico-43","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.321,0.094,-653.887,-898.676,-653.887,-898.676
"Lomb-rico-44","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.447,0.446,-690.552,-883.195,-690.552,-883.195
"Lomb-rico-45","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.168,0.948,-674.886,-923.964,-674.886,-923.964
"Lomb-rico-46","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.58,0.904,-659.903,-881.61,-659.903,-881.61
"Lomb-rico-47","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.287,0.341,-699.848,-900.139,-699.848,-900.139
"Lomb-rico-48","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.218,0.592,-656.638,-912.01,-656.638,-912.01
"Lomb-rico-49","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.454,0.957,-680.443,-874.144,-680.443,-874.144
"Lomb-rico-50","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.258,0.067,-687.09,-918.671,-687.09,-918.671
"Lomb-rico-51","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.549,0.567,-654.357,-889.926,-654.357,-889.926
"Lomb-rico-52","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.354,0.227,-696.757,-889.391,-696.757,-889.391
"Lomb-rico-53","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.365,0.125,-667.166,-920.066,-667.166,-920.066
"Lomb-rico-54","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.225,0.142,-667.619,-877.69,-667.619,-877.69
"Lomb-rico-55","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.339,0.758,-696.565,-909.472,-696.565,-909.472
"Lomb-rico-56","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.333,0.627,-651.271,-902.967,-651.271,-902.967
"Lomb-rico-57","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.505,0.013,-691.054,-875.578,-691.054,-875.578
"Lomb-rico-58","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.248,0.545,-679.854,-923.401,-679.854,-923.401
"Lomb-rico-59","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.27,0.49,-654.911,-881.339,-654.911,-881.339
"Lomb-rico-60","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.474,0.19,-701.641,-895.489,-701.641,-895.489
"Lomb-rico-61","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.402,0.901,-659.443,-916.15,-659.443,-916.15
"Lomb-rico-62","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.162,0.006,-675.371,-873.797,-675.371,-873.797
"Lomb-rico-63","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.241,0.719,-692.079,-918.392,-692.079,-918.392
"Lomb-rico-64","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.352,0.887,-651.613,-894.227,-651.613,-894.227
"Lomb-rico-65","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.221,0.315,-695.409,-884.383,-695.409,-884.383
"Lomb-rico-66","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.278,0.964,-669.897,-924.252,-669.897,-924.252
"Lomb-rico-67","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.219,0.452,-662.629,-877.42,-662.629,-877.42
"Lomb-rico-68","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.476,0.407,-698.797,-905.007,-698.797,-905.007
"Lomb-rico-69","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.265,0.41,-651.639,-911.924,-651.639,-911.924
"Lomb-rico-70","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.275,0.077,-685.414,-874.672,-685.414,-874.672
"Lomb-rico-71","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.367,0.785,-684.846,-923.136,-684.846,-923.136
"Lomb-rico-72","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.243,0.381,-652.097,-885.473,-652.097,-885.473
"Lomb-rico-73","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.486,0.317,-701.633,-890.493,-701.633,-890.493
"Lomb-rico-74","ricoverati_con_sintomi","Lombardia","2020-02-24",-675.283,-898.487,-675.283,-898.487,0.469,0.115,-662.174,-920.338,-662.174,-920.338
