"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.577,0.249,1018.721,903.351,1018.721,903.351
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.404,0.757,1014.694,906.313,1014.694,906.313
"Abru-rico-2","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.285,0.944,1018.17,898.382,1018.17,898.382
"Abru-rico-3","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.584,0.519,1019.273,908.321,1019.273,908.321
"Abru-rico-4","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.654,0.991,1010.114,904.307,1010.114,904.307
"Abru-rico-5","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.143,0.659,1022.749,900.389,1022.749,900.389
"Abru-rico-6","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.189,0.857,1015.245,911.283,1015.245,911.283
"Abru-rico-7","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.585,0.862,1014.142,901.344,1014.142,901.344
"Abru-rico-8","ricoverati_con_sintomi","Abruzzo","2020-03-06",1010.38,897.139,1010.38,897.139,0.276,0.791,1023.301,905.358,1023.301,905.358
"Basi-rico-0","ricoverati_con_sintomi","Basilicata","2020-03-06",2176.076,1795.534,2176.076,1795.534,0.537,0.465,2177.656,1799.911,2177.656,1799.911
"Basi-isol-0","isolamento_domiciliare","Basilicata","2020-03-06",2176.076,1795.534,2176.076,1795.534,0.822,0.894,2181.82,1797.143,2181.82,1797.143
"Basi-isol-1","isolamento_domiciliare","Basilicata","2020-03-06",2176.076,1795.534,2176.076,1795.534,0.788,0.284,2182.134,1802.133,2182.134,1802.133
"Cala-rico-0","ricoverati_con_sintomi","Calabria","2020-03-06",2221.402,2586.067,2221.402,2586.067,0.63,0.655,2221.042,2588.962,2221.042,2588.962
"Cala-rico-1","ricoverati_con_sintomi","Calabria","2020-03-06",2221.402,2586.067,2221.402,2586.067,0.362,0.23,2227.803,2590.614,2227.803,2590.614
"Cala-isol-0","isolamento_domiciliare","Calabria","2020-03-06",2221.402,2586.067,2221.402,2586.067,0.829,0.775,2223.57,2593.275,2223.57,2593.275
"Cala-isol-1","isolamento_domiciliare","Calabria","2020-03-06",2221.402,2586.067,2221.402,2586.067,0.812,0.408,2225.275,2586.301,2225.275,2586.301
"Camp-rico-0","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.533,0.212,1455.146,1671.717,1455.146,1671.717
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.521,0.436,1451.364,1668.449,1451.364,1668.449
"Camp-rico-2","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.387,0.009,1456.085,1666.807,1456.085,1666.807
"Camp-rico-3","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.44,0.739,1450.424,1673.357,1450.424,1673.357
"Camp-rico-4","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.358,0.266,1447.581,1665.181,1447.581,1665.181
"Camp-rico-5","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.325,0.077,1459.868,1670.073,1459.868,1670.073
"Camp-rico-6","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.291,0.123,1446.64,1670.09,1446.64,1670.09
"Camp-rico-7","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.183,0.45,1452.302,1663.539,1452.302,1663.539
"Camp-rico-8","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.407,0.786,1454.207,1676.626,1454.207,1676.626
"Camp-rico-9","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.464,0.306,1442.858,1666.82,1442.858,1666.82
"Camp-rico-10","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.211,0.56,1460.807,1665.164,1460.807,1665.164
"Camp-rico-11","ricoverati_con_sintomi","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.161,0.409,1449.036,1678.16,1449.036,1678.16
"Camp-isol-0","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.662,0.013,1448.52,1660.271,1448.52,1660.271
"Camp-isol-1","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.749,0.156,1458.93,1674.983,1458.93,1674.983
"Camp-isol-2","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.792,0.755,1441.474,1671.623,1441.474,1671.623
"Camp-isol-3","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.737,0.381,1457.024,1661.896,1457.024,1661.896
"Camp-isol-4","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.877,0.114,1452.817,1681.429,1452.817,1681.429
"Camp-isol-5","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.842,0.237,1443.797,1661.912,1443.797,1661.912
"Camp-isol-6","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.768,0.105,1464.591,1668.431,1464.591,1668.431
"Camp-isol-7","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.72,0.973,1445.254,1674.893,1445.254,1674.893
"Camp-isol-8","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.855,0.068,1453.241,1658.628,1453.241,1658.628
"Camp-isol-9","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.693,0.604,1457.992,1679.893,1457.992,1679.893
"Camp-isol-10","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.836,0.663,1437.988,1668.041,1437.988,1668.041
"Camp-isol-11","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.872,0.405,1461.746,1660.253,1461.746,1660.253
"Camp-isol-12","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.823,0.925,1448.076,1683.066,1448.076,1683.066
"Camp-isol-13","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.865,0.994,1444.736,1657.002,1444.736,1657.002
"Camp-isol-14","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.726,0.436,1463.653,1673.341,1463.653,1673.341
"Camp-isol-15","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.763,0.229,1440.512,1676.529,1440.512,1676.529
"Camp-isol-16","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.878,0.545,1457.963,1656.985,1457.963,1656.985
"Camp-isol-17","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.826,0.911,1456.602,1684.696,1456.602,1684.696
"Camp-isol-18","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.866,0.237,1438.95,1663.135,1438.95,1663.135
"Camp-isol-19","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.702,0.735,1465.53,1663.52,1465.53,1663.52
"Camp-isol-20","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.866,0.178,1444.293,1679.799,1444.293,1679.799
"Camp-isol-21","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.704,0.404,1449.457,1655.359,1449.457,1655.359
"Camp-isol-22","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.73,0.981,1462.714,1678.252,1462.714,1678.252
"Camp-isol-23","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.869,0.525,1436.744,1673.244,1436.744,1673.244
"Camp-isol-24","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.698,0.744,1462.685,1655.342,1462.685,1655.342
"Camp-isol-25","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.864,0.682,1451.857,1686.336,1451.857,1686.336
"Camp-isol-26","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.746,0.285,1439.89,1658.223,1439.89,1658.223
"Camp-isol-27","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.794,0.168,1468.375,1671.699,1468.375,1671.699
"Camp-isol-28","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.725,0.6,1439.557,1681.437,1439.557,1681.437
"Camp-isol-29","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.825,0.261,1454.18,1653.716,1454.18,1653.716
"Camp-isol-30","isolamento_domiciliare","Campania","2020-03-06",1447.394,1663.99,1447.394,1663.99,0.673,0.213,1461.457,1683.498,1461.457,1683.498
