"id","category","denominazione_regione","date","_x","_y","s_x","s_y","b_x","b_y","c_x","c_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-03-02",1010.38,897.139,0.28,0.79,1014.998,899.55,1014.998,899.55
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-02",1010.38,897.139,0.173,0.86,1011.343,903.41,1011.343,903.41
"Abru-rico-2","ricoverati_con_sintomi","Abruzzo","2020-03-02",1010.38,897.139,0.121,0.15,1013.086,894.931,1013.086,894.931
"Abru-isol-0","isolamento_domiciliare","Abruzzo","2020-03-02",1010.38,897.139,0.707,0.639,1016.246,904.392,1016.246,904.392
"Abru-isol-1","isolamento_domiciliare","Abruzzo","2020-03-02",1010.38,897.139,0.838,0.292,1009.763,898.667,1009.763,898.667
"Cala-isol-0","isolamento_domiciliare","Calabria","2020-03-02",2221.402,2586.067,0.596,0.778,2222.278,2587.176,2222.278,2587.176
"Camp-rico-0","ricoverati_con_sintomi","Campania","2020-03-02",1447.394,1663.99,0.126,0.229,1448.919,1667.088,1448.919,1667.088
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-03-02",1447.394,1663.99,0.151,0.32,1446.672,1662.621,1446.672,1662.621
"Camp-rico-2","ricoverati_con_sintomi","Campania","2020-03-02",1447.394,1663.99,0.376,0.828,1453.91,1667.376,1453.91,1667.376
"Camp-rico-3","ricoverati_con_sintomi","Campania","2020-03-02",1447.394,1663.99,0.152,0.703,1443.928,1666.8,1443.928,1666.8
"Camp-isol-0","isolamento_domiciliare","Campania","2020-03-02",1447.394,1663.99,0.545,0.738,1451.664,1662.909,1451.664,1662.909
"Camp-isol-1","isolamento_domiciliare","Campania","2020-03-02",1447.394,1663.99,0.536,0.533,1451.165,1671.555,1451.165,1671.555
"Camp-isol-2","isolamento_domiciliare","Campania","2020-03-02",1447.394,1663.99,0.574,0.957,1441.681,1662.333,1441.681,1662.333
