"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Lomb-rico-1338","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.555,0.208,-578.48,-901.646,-578.48,-901.646
"Lomb-rico-1339","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.508,0.667,-771.178,-837.982,-771.178,-837.982
"Lomb-rico-1340","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.286,0.229,-669.384,-1011.511,-669.384,-1011.511
"Lomb-rico-1341","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.322,0.672,-623.067,-817.92,-623.067,-817.92
"Lomb-rico-1342","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.25,0.076,-784.353,-929.967,-784.353,-929.967
"Lomb-rico-1343","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.306,0.688,-589.045,-959.282,-589.045,-959.282
"Lomb-rico-1344","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.288,0.554,-722.762,-805.7,-722.762,-805.7
"Lomb-rico-1345","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.304,0.062,-733.902,-1002.942,-733.902,-1002.942
"Lomb-rico-1346","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.429,0.361,-589.543,-866.15,-589.543,-866.15
"Lomb-rico-1347","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.327,0.875,-785.715,-873.052,-785.715,-873.052
"Lomb-rico-1348","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.293,0.152,-637.941,-1004.243,-637.941,-1004.243
"Lomb-rico-1349","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.246,0.068,-664.606,-795.374,-664.606,-795.374
"Lomb-rico-1350","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.197,0.392,-771.105,-960.818,-771.105,-960.818
"Lomb-rico-1351","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.254,0.754,-580.511,-920.219,-580.511,-920.219
"Lomb-rico-1352","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.139,0.543,-754.157,-821.783,-754.157,-821.783
"Lomb-rico-1353","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.198,0.979,-693.127,-1013.154,-693.127,-1013.154
"Lomb-rico-1354","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.491,0.177,-604.016,-822.585,-604.016,-822.585
"Lomb-rico-1355","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.246,0.533,-797.295,-908.482,-797.295,-908.482
"Lomb-rico-1356","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.343,0.191,-603.015,-979.207,-603.015,-979.207
"Lomb-rico-1357","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.136,0.544,-698.692,-790.647,-698.692,-790.647
"Lomb-rico-1358","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.267,0.32,-746.774,-997.378,-746.774,-997.378
"Lomb-rico-1359","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.358,0.074,-577.548,-886.583,-577.548,-886.583
"Lomb-rico-1360","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.209,0.141,-776.352,-849.756,-776.352,-849.756
"Lomb-rico-1361","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.572,0.248,-655.561,-1010.747,-655.561,-1010.747
"Lomb-rico-1362","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.352,0.591,-641.321,-806.82,-641.321,-806.82
"Lomb-rico-1363","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.215,0.36,-792.856,-940.307,-792.856,-940.307
"Lomb-rico-1364","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.592,0.554,-585.219,-951.292,-585.219,-951.292
