"id","category","denominazione_regione","date","_x","_y","s_x","s_y","b_x","b_y","c_x","c_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-03-04",1010.38,897.139,0.184,0.267,1014.855,901.923,1014.855,901.923
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-04",1010.38,897.139,0.309,0.974,1010.608,904.562,1010.608,904.562
"Abru-rico-2","ricoverati_con_sintomi","Abruzzo","2020-03-04",1010.38,897.139,0.243,0.804,1014.694,896.926,1014.694,896.926
"Abru-rico-3","ricoverati_con_sintomi","Abruzzo","2020-03-04",1010.38,897.139,0.317,0.832,1019.263,904.283,1019.263,904.283
"Abru-rico-4","ricoverati_con_sintomi","Abruzzo","2020-03-04",1010.38,897.139,0.293,0.344,1010.447,899.564,1010.447,899.564
"Abru-rico-5","ricoverati_con_sintomi","Abruzzo","2020-03-04",1010.38,897.139,0.227,0.857,1019.103,899.286,1019.103,899.286
"Abru-rico-6","ricoverati_con_sintomi","Abruzzo","2020-03-04",1010.38,897.139,0.208,0.928,1015.016,906.921,1015.016,906.921
"Basi-isol-0","isolamento_domiciliare","Basilicata","2020-03-04",2176.076,1795.534,0.578,0.24,2178.673,1798.08,2178.673,1798.08
"Cala-isol-0","isolamento_domiciliare","Calabria","2020-03-04",2221.402,2586.067,0.897,0.37,2223.141,2588.193,2223.141,2588.193
"Camp-rico-0","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.364,0.325,1446.763,1668.46,1446.763,1668.46
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.456,0.866,1449.877,1664.548,1449.877,1664.548
"Camp-rico-2","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.487,0.609,1451.081,1670.977,1451.081,1670.977
"Camp-rico-3","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.262,0.043,1444.934,1663.807,1444.934,1663.807
"Camp-rico-4","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.216,0.99,1454.195,1667.066,1454.195,1667.066
"Camp-rico-5","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.556,0.166,1447.969,1674.889,1447.969,1674.889
"Camp-rico-6","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.208,0.457,1448.047,1659.895,1448.047,1659.895
"Camp-rico-7","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.186,0.766,1456.026,1671.719,1456.026,1671.719
"Camp-rico-8","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.327,0.409,1441.82,1667.718,1441.82,1667.718
"Camp-rico-9","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.502,0.585,1457.309,1663.155,1457.309,1663.155
"Camp-rico-10","ricoverati_con_sintomi","Campania","2020-03-04",1447.394,1663.99,0.245,0.739,1449.799,1679.542,1449.799,1679.542
"Camp-isol-0","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.61,0.094,1443.103,1659.154,1443.103,1659.154
"Camp-isol-1","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.859,0.637,1459.14,1667.807,1459.14,1667.807
"Camp-isol-2","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.91,0.143,1443.65,1672.371,1443.65,1672.371
"Camp-isol-3","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.869,0.853,1452.991,1660.636,1452.991,1660.636
"Camp-isol-4","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.748,0.461,1452.913,1675.63,1452.913,1675.63
"Camp-isol-5","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.783,0.623,1439.989,1663.066,1439.989,1663.066
"Camp-isol-6","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.876,0.058,1462.254,1663.896,1462.254,1663.896
"Camp-isol-7","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.725,0.269,1444.855,1678.801,1444.855,1678.801
"Camp-isol-8","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.882,0.028,1446.216,1655.242,1446.216,1655.242
"Camp-isol-9","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.738,0.797,1460.971,1672.46,1460.971,1672.46
"Camp-isol-10","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.629,0.737,1438.705,1671.63,1438.705,1671.63
"Camp-isol-11","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.892,0.444,1456.105,1656.724,1456.105,1656.724
"Camp-isol-12","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.79,0.87,1454.743,1680.283,1454.743,1680.283
"Camp-isol-13","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.863,0.789,1438.158,1658.414,1438.158,1658.414
"Camp-isol-14","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.674,0.76,1464.085,1668.548,1464.085,1668.548
"Camp-isol-15","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.668,0.943,1440.535,1676.283,1440.535,1676.283
"Camp-isol-16","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.742,0.712,1451.16,1655.983,1451.16,1655.983
"Camp-isol-17","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.651,0.027,1457.857,1676.371,1457.857,1676.371
"Camp-isol-18","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.737,0.601,1436.874,1666.977,1436.874,1666.977
"Camp-isol-19","isolamento_domiciliare","Campania","2020-03-04",1447.394,1663.99,0.785,0.895,1460.423,1659.243,1460.423,1659.243
"Emil-dece-0","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.033,0.304,-220.43,-416.671,-220.43,-416.671
"Emil-dece-1","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.006,0.139,-221.579,-426.599,-221.579,-426.599
"Emil-dece-2","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.005,0.726,-215.52,-418.787,-215.52,-418.787
"Emil-dece-3","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.008,0.651,-220.946,-421.64,-220.946,-421.64
"Emil-dece-4","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.023,0.531,-216.859,-424.508,-216.859,-424.508
"Emil-dece-5","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.008,0.871,-211.833,-411.717,-211.833,-411.717
"Emil-dece-6","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.031,0.216,-225.605,-423.667,-225.605,-423.667
"Emil-dece-7","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.027,0.341,-212.275,-422.54,-212.275,-422.54
"Emil-dece-8","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.02,0.069,-220.595,-411.44,-220.595,-411.44
"Emil-dece-9","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.033,0.254,-218.066,-430.131,-218.066,-430.131
"Emil-dece-10","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.002,0.428,-210.393,-416.909,-210.393,-416.909
"Emil-dece-11","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.023,0.683,-224.999,-418.726,-224.999,-418.726
"Emil-dece-12","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.01,0.987,-208.98,-426.283,-208.98,-426.283
"Emil-dece-13","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.015,0.383,-216.281,-413.893,-216.281,-413.893
"Emil-dece-14","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.007,0.35,-226.268,-428.6,-226.268,-428.6
"Emil-dece-15","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.023,0.4,-207.443,-421.257,-207.443,-421.257
"Emil-dece-16","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.033,0.992,-224.931,-413.719,-224.931,-413.719
"Emil-dece-17","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.029,0.374,-213.527,-428.236,-213.527,-428.236
"Emil-dece-18","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.014,0.383,-206.897,-411.963,-206.897,-411.963
"Emil-dece-19","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.011,0.658,-229.703,-420.818,-229.703,-420.818
"Emil-dece-20","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.013,0.435,-204.152,-425.436,-204.152,-425.436
"Emil-dece-21","deceduti","Emilia Romagna","2020-03-04",-224.55,-430.431,0.006,0.373,-219.08,-406.763,-219.08,-406.763
"Emil-tera-0","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.061,0.816,-222.631,-431.956,-222.631,-431.956
"Emil-tera-1","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.116,0.201,-201.904,-412.252,-201.904,-412.252
"Emil-tera-2","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.074,0.339,-229.412,-415.872,-229.412,-415.872
"Emil-tera-3","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.127,0.05,-209.535,-431.258,-209.535,-431.258
"Emil-tera-4","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.12,0.319,-209.128,-407.522,-209.128,-407.522
"Emil-tera-5","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.114,0.275,-230.278,-425.732,-230.278,-425.732
"Emil-tera-6","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.059,0.78,-202.479,-420.708,-202.479,-420.708
"Emil-tera-7","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.089,0.552,-223.997,-407.722,-223.997,-407.722
"Emil-tera-8","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.037,0.857,-218.762,-435.112,-218.762,-435.112
"Emil-tera-9","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.065,0.361,-204.161,-407.806,-204.161,-407.806
"Emil-tera-10","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.057,0.303,-233.862,-418.054,-233.862,-418.054
"Emil-tera-11","terapia_intensiva","Emilia Romagna","2020-03-04",-224.55,-430.431,0.102,0.153,-204.616,-430.387,-204.616,-430.387
