"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-03-05",1010.38,897.139,1010.38,897.139,0.153,0.008,1016.715,902.512,1016.715,902.512
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-05",1010.38,897.139,1010.38,897.139,0.223,0.129,1012.87,905.708,1012.87,905.708
"Abru-rico-2","ricoverati_con_sintomi","Abruzzo","2020-03-05",1010.38,897.139,1010.38,897.139,0.353,0.57,1018.55,897.861,1018.55,897.861
"Abru-rico-3","ricoverati_con_sintomi","Abruzzo","2020-03-05",1010.38,897.139,1010.38,897.139,0.255,0.674,1019.826,906.427,1019.826,906.427
"Abru-rico-4","ricoverati_con_sintomi","Abruzzo","2020-03-05",1010.38,897.139,1010.38,897.139,0.449,0.583,1009.76,901.793,1009.76,901.793
"Abru-rico-5","ricoverati_con_sintomi","Abruzzo","2020-03-05",1010.38,897.139,1010.38,897.139,0.308,0.298,1021.661,901.776,1021.661,901.776
"Abru-rico-6","ricoverati_con_sintomi","Abruzzo","2020-03-05",1010.38,897.139,1010.38,897.139,0.272,0.18,1015.98,909.623,1015.98,909.623
"Abru-rico-7","ricoverati_con_sintomi","Abruzzo","2020-03-05",1010.38,897.139,1010.38,897.139,0.268,0.172,1013.605,898.597,1013.605,898.597
"Basi-isol-0","isolamento_domiciliare","Basilicata","2020-03-05",2176.076,1795.534,2176.076,1795.534,0.798,0.656,2179.644,1798.906,2179.644,1798.906
"Cala-rico-0","ricoverati_con_sintomi","Calabria","2020-03-05",2221.402,2586.067,2221.402,2586.067,0.194,0.242,2221.958,2590.712,2221.958,2590.712
"Cala-isol-0","isolamento_domiciliare","Calabria","2020-03-05",2221.402,2586.067,2221.402,2586.067,0.67,0.975,2225.585,2587.271,2225.585,2587.271
"Camp-rico-0","ricoverati_con_sintomi","Campania","2020-03-05",1447.394,1663.99,1447.394,1663.99,0.265,0.051,1449.9,1670.895,1449.9,1670.895
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-03-05",1447.394,1663.99,1447.394,1663.99,0.214,0.91,1447.591,1666.462,1447.591,1666.462
"Camp-rico-2","ricoverati_con_sintomi","Campania","2020-03-05",1447.394,1663.99,1447.394,1663.99,0.184,0.929,1453.252,1667.186,1453.252,1667.186
"Camp-rico-3","ricoverati_con_sintomi","Campania","2020-03-05",1447.394,1663.99,1447.394,1663.99,0.305,0.828,1447.146,1675.097,1447.146,1675.097
"Camp-rico-4","ricoverati_con_sintomi","Campania","2020-03-05",1447.394,1663.99,1447.394,1663.99,0.44,0.157,1450.315,1662.275,1450.315,1662.275
"Camp-rico-5","ricoverati_con_sintomi","Campania","2020-03-05",1447.394,1663.99,1447.394,1663.99,0.157,0.956,1455.49,1671.657,1455.49,1671.657
"Camp-rico-6","ricoverati_con_sintomi","Campania","2020-03-05",1447.394,1663.99,1447.394,1663.99,0.45,0.181,1444.865,1670.648,1444.865,1670.648
