"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Abru-dece-0","deceduti","Abruzzo","2020-03-16",1010.38,897.139,0.032,0.138,1055.657,938.951,1055.657,938.951
"Abru-dece-1","deceduti","Abruzzo","2020-03-16",1010.38,897.139,0.077,0.024,1050.803,940.153,1050.803,940.153
"Abru-dece-2","deceduti","Abruzzo","2020-03-16",1010.38,897.139,0.009,0.596,1052.196,935.345,1052.196,935.345
"Abru-dece-3","deceduti","Abruzzo","2020-03-16",1010.38,897.139,0.013,0.9,1059.112,942.563,1059.112,942.563
"Abru-tera-0","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.123,0.62,1047.343,936.546,1047.343,936.546
"Abru-tera-1","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.143,0.284,1057.044,934.124,1057.044,934.124
"Abru-tera-2","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.132,0.619,1054.259,943.764,1054.259,943.764
"Abru-tera-3","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.131,0.79,1048.725,931.745,1048.725,931.745
"Abru-tera-4","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.113,0.951,1064.084,941.213,1064.084,941.213
"Abru-tera-5","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.134,0.785,1045.947,941.343,1045.947,941.343
"Abru-tera-6","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.098,0.583,1053.572,930.532,1053.572,930.532
"Abru-tera-7","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.135,0.795,1057.71,947.381,1057.71,947.381
"Abru-tera-8","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.137,0.609,1043.875,932.937,1043.875,932.937
"Abru-tera-9","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.083,0.113,1060.504,937.726,1060.504,937.726
"Abru-tera-10","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.081,0.412,1049.403,944.954,1049.403,944.954
"Abru-tera-11","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.135,0.349,1050.096,926.938,1050.096,926.938
"Abru-tera-12","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.107,0.468,1062.728,946.015,1062.728,946.015
"Abru-tera-13","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.126,0.365,1042.486,937.736,1042.486,937.736
"Abru-tera-14","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.141,0.455,1061.888,932.884,1061.888,932.884
"Abru-tera-15","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.094,0.343,1052.854,948.571,1052.854,948.571
"Abru-tera-16","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.092,0.337,1045.256,928.137,1045.256,928.137
"Abru-tera-17","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.094,0.172,1065.425,936.406,1065.425,936.406
"Abru-tera-18","terapia_intensiva","Abruzzo","2020-03-16",1010.38,897.139,0.142,0.388,1044.548,946.143,1044.548,946.143
