"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","47","12","19","4","2","13","84","13.833333333333",458.124498303482,481.1420501172729,26.018717958625988,0,544.8525680551913,443.0033977554758,-0.00044897548304583115,0.00008381567660233225
"Basilicata","40.5","1","1","6","0","0","17","8","16.5",631.7883003522712,615.6439377639663,8.029550685469664,1,631.7172176447392,615.7291006777266,-0.000013242467337882661,0.0000110530557400771
"Calabria","39","14","2","16","1","0","18","33","16.5",638.5478900533218,733.5385737316155,16.308094535181635,2,638.6079226230362,733.5079028256002,0.000004769194162066821,-0.00000933480676682561
"Campania","40.75","56","11","107","4","1","15","179","14.783333333333",523.3260209727315,596.0262438126024,37.9815571588439,3,529.4465364546558,606.4253237265334,-0.0003091885521582286,-0.00025773932911742547
"Emilia-Romagna","44.75","814","112","832","43","146","08","1947","11",273.7755526126515,283.67879560051733,125.26485099474971,4,-122.16263694393247,258.565296976078,0.0015132380250500316,-0.0002827397070537002
"Friuli Venezia Giulia","46.1","23","10","115","11","8","06","167","13.116666666667",397.94445344900134,179.05170714910764,36.68634838594238,5,538.4946044945431,118.224610236253,0.001414518955368047,0.0006047166716112744
"Lazio","41.9","85","20","67","19","9","12","200","12.716666666667",389.96527268662,505.9151039834651,40.14775342734831,6,373.5410582532173,539.2614062239704,-0.0006589715137911357,0.000009035183659304637
"Liguria","44.45","100","36","107","20","11","07","274","8.7666666666667",137.64188625782947,306.98980046466886,46.99174059566773,7,-15.758031316254513,123.08060440098049,0.0012721646949486883,-0.0012145876808455135
"Lombardia","45.65","4247","605","2044","1085","744","03","8725","9.95",206.55634157536247,213.87614012509903,265.1727961954342,8,268.2312404614632,252.68036767683648,-0.0006077315669180456,-0.0003283539916986128
"Marche","43.316666666667","254","76","240","0","22","11","592","13",402.13851075247965,395.2363069295466,69.07280674461512,9,479.27591809994175,511.8704083993815,-0.0007403154667693795,-0.00012183392132461522
"Molise","41.6997","4","3","9","0","0","14","16","14.6111",508.6091735149422,521.5939880792921,11.355499479153378,10,559.2564818145974,520.3464229337108,0.0009958028117285965,-0.000308874856013378
"Piemonte","45.25","368","97","89","0","26","01","580","7.9166666666667",83.45401674780715,244.87483380474941,68.36916048382602,11,-18.903207808785123,422.3890991959052,0.0006714699161200363,0.0003064017533335648
"Puglia","41.008611111111","58","2","38","1","5","16","104","16.512777777778",630.2278965217012,575.7430948182009,28.95095671539789,12,629.9990987503927,575.7888218818059,-0.000007110362005125047,0.00003557707081344333
"Sardegna","40.05","12","0","27","0","0","20","39","9.0833333333333",168.79296369929818,650.9794213715627,17.728767879531723,13,168.70549580966713,651.0341255296153,-0.00000850626163750559,0.00001360088118651968
"Sicilia","37.599958333333","28","5","78","2","2","19","115","14.015377777778",487.1812958869277,843.8301353652855,30.4435413598076,14,487.0125253226681,843.7695225303273,0.000009425035520134484,0.000026243097918093727
"Toscana","43.35","100","59","193","7","5","09","364","11.016666666667",279.53323598135603,392.63687654875775,54.162280524170576,15,360.03354141792704,-53.176224530458576,0.00021514076717861263,0.0022829723885794072
"Umbria","42.983333333333","8","8","46","2","0","10","64","12.566666666667",376.6313230409835,421.24314034713734,22.710998958306757,16,500.6143025823613,422.60146917516636,-0.0007417246714717536,-0.00012947504796264947
"Valle d'Aosta","45.716666666667","7","0","19","0","1","02","27","7.3666666666667",48.718865504655696,208.71364194412718,14.751226532411682,17,-1.0979519616500601,328.9512954403923,0.00026457595691273435,-0.00016734657498844867
"Veneto","45.733333333333","360","85","852","55","32","05","1384","11.85",322.21166739327714,207.4231961704986,105.6122500869149,18,516.8213948050743,-22.427734157511495,0.0015198706490996605,0.0020271008927793613
"Trentino-Alto Adige","46.383333333333",64,9,132,4,2,"04",211,"11.416666666667",293.3773299582052,157.1527252669871,41.23703943122774,19,70.07840678885918,486.3874688876159,0.00031743272994050727,0.0005610375344980688
