"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","3","0","2","0","0","13","5","13.833333333333",458.124498303482,481.1420501172729,3.155843721336013,0,457.98691866550917,481.0246387448602,0.000018256964159838644,0.00002139304283716825
"Basilicata","40.5","0","0","0","0","0","17","0","16.5",631.7883003522712,615.6439377639663,0,1,631.5965594356211,615.4651079897052,0.00002780726187172106,0.00002981488906333594
"Calabria","39","0","0","1","0","0","18","1","16.5",638.5478900533218,733.5385737316155,1.4113362174546458,2,638.3604987462656,733.3206220353177,0.000033890552730271874,0.000029138543451872785
"Campania","40.75","4","0","13","0","0","15","17","14.783333333333",523.3260209727315,596.0262438126024,5.8190882978252,3,523.1728675295152,595.8551026585336,0.00002661171445238169,0.000023814702667202997
"Emilia-Romagna","44.75","127","13","137","0","8","08","285","11",273.7755526126515,283.67879560051733,23.82609759967562,4,273.5885198979299,283.6261400653932,0.000008187709570408408,0.000029082783883899483
"Friuli Venezia Giulia","46.1","0","0","6","0","0","06","6","13.116666666667",397.94445344900134,179.05170714910764,3.457053588273563,5,397.83276025447526,178.98882420204538,0.000009778028202805695,0.000017367812056515417
"Lazio","41.9","3","0","0","3","0","12","6","12.716666666667",389.96527268662,505.9151039834651,3.457053588273563,6,389.84410226858677,505.77197180119003,0.000022256439629468217,0.0000188414796097442
"Liguria","44.45","12","1","8","4","0","07","25","8.7666666666667",137.64188625782947,306.98980046466886,7.056681087273228,7,137.59030513378778,306.86137326028046,0.000019969878722028316,0.000008020643261401733
"Lombardia","45.65","406","106","375","73","24","03","984","9.95",206.55634157536247,213.87614012509903,44.27188724235731,8,206.53107303046576,213.80981526999943,0.000010313230120535545,0.000003929150209820064
"Marche","43.316666666667","12","5","8","0","0","11","25","13",402.13851075247965,395.2363069295466,7.056681087273228,9,401.9954194976484,395.13438442446653,0.00001584851181013998,0.00002225007558772116
"Molise","41.6997","0","0","0","0","0","14","0","14.6111",508.6091735149422,521.5939880792921,0,10,508.4865745214783,521.4135085141196,0.000028063797273020473,0.000019063616953865403
"Piemonte","45.25","11","2","36","0","0","01","49","7.9166666666667",83.45401674780715,244.87483380474941,9.87935352218252,11,83.42447205940894,244.82450793392124,0.000007825456777675046,0.0000045940721594153825
"Puglia","41.008611111111","1","0","2","0","0","16","3","16.512777777778",630.2278965217012,575.7430948182009,2.4445060351935237,12,630.0083620386746,575.5735497968502,0.00002636352266967406,0.00003413666926895333
"Sardegna","40.05","0","0","0","0","0","20","0","9.0833333333333",168.79296369929818,650.9794213715627,0,13,168.75057282786102,650.7969811710354,0.000028368667650305918,0.0000065915984510644144
"Sicilia","37.599958333333","1","0","6","2","0","19","9","14.015377777778",487.1812958869277,843.8301353652855,4.234008652363937,14,487.02742619376033,843.5841555977678,0.00003824879743192942,0.000023926076458497415
"Toscana","43.35","7","0","5","1","0","09","13","11.016666666667",279.53323598135603,392.63687654875775,5.088645098952119,15,279.4010956787391,392.49126591578295,0.00002264182806899946,0.000020547249549799206
"Umbria","42.983333333333","0","0","2","0","0","10","2","12.566666666667",376.6313230409835,421.24314034713734,1.9959308197927035,16,376.5304419096176,421.1320661493234,0.000017271560726201735,0.00001568658267002
"Valle d'Aosta","45.716666666667","0","0","0","0","0","02","0","7.3666666666667",48.718865504655696,208.71364194412718,0,17,48.69166847091561,208.65102638837274,0.00000973645000281152,0.00000422902194262322
"Veneto","45.733333333333","51","13","197","0","2","05","263","11.85",322.21166739327714,207.4231961704986,22.88802718929454,18,322.1274422080081,207.32994770704457,0.000014499735589981353,0.000013096654584770868
"Trentino-Alto Adige","46.383333333333",1,0,0,0,0,"04",1,"11.416666666667",293.3773299582052,157.1527252669871,1.4113362174546458,19,292.93647850407496,157.10238946374395,0.00000782700122554309,0.00006855050777859296
