"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","311","70","646","30","76","13","1133","13.833333333333",458.124498303482,481.1420501172729,24.078028615073624,0,458.1710326728399,481.11171569919117,0.000004716871733526469,-0.000007235894582524381
"Basilicata","40.5","26","19","133","1","3","17","182","16.5",631.7883003522712,615.6439377639663,9.65031890513263,1,631.6591399511915,615.5674786191875,0.000011889068641607666,0.000020083887658644702
"Calabria","39","107","22","394","11","21","18","555","16.5",638.5478900533218,733.5385737316155,16.852039285207457,2,638.4759284873325,733.3614110075177,0.00002754804273085171,0.000011189714455724905
"Campania","40.75","463","132","812","76","109","15","1592","14.783333333333",523.3260209727315,596.0262438126024,28.541546612630086,3,523.2615995472407,596.021395801538,7.538448996042646e-7,0.000010017254991092215
"Emilia-Romagna","44.75","3695","316","5953","1075","1344","08","12383","11",273.7755526126515,283.67879560051733,79.60107040333519,4,65.02352106684134,185.05996241878157,-0.0006736009509872,0.00114542213559619
"Friuli Venezia Giulia","46.1","223","59","838","229","87","06","1436","13.116666666667",397.94445344900134,179.05170714910764,27.107108323047424,5,395.7988521714498,180.33487227939582,0.001039597018808032,0.0014187550540081817
"Lazio","41.9","985","133","1063","200","124","12","2505","12.716666666667",389.96527268662,505.9151039834651,35.802210066056475,6,389.8344851316505,506.2875279662411,-0.00005791032986063094,0.00002033690310031144
"Liguria","44.45","1031","167","888","378","358","07","2822","8.7666666666667",137.64188625782947,306.98980046466886,38.00007694667494,7,169.47152450342458,131.0217457408056,-0.0003949485946324948,0.0013473567580780266
"Lombardia","45.65","11152","1319","12038","8962","5944","03","39415","9.95",206.55634157536247,213.87614012509903,142.0158235973963,8,262.8859666989469,284.90995308689617,-0.000040742643604613225,0.0004999584617056311
"Marche","43.316666666667","987","166","1846","10","364","11","3373","13",402.13851075247965,395.2363069295466,41.54455791554004,9,410.46218239780507,394.0625606956136,0.0002847684857035451,0.00036845433195126204
"Molise","41.6997","26","9","63","16","9","14","123","14.6111",508.6091735149422,521.5939880792921,7.933384932752733,10,508.6219330682135,521.4021101704615,0.00002983619075904199,-0.0000019840557348291795
"Piemonte","45.25","3094","439","3318","203","617","01","7671","7.9166666666667",83.45401674780715,244.87483380474941,62.6515705967984,11,49.965279080825354,327.83400599258374,-0.00006003301159570144,-0.007475520678737428
"Puglia","41.008611111111","563","98","697","29","71","16","1458","16.512777777778",630.2278965217012,575.7430948182009,27.313964040009783,12,630.0307229640221,575.6756449575252,0.000010488163656033075,0.00003065964141158546
"Sardegna","40.05","95","22","452","29","26","20","624","9.0833333333333",168.79296369929818,650.9794213715627,17.868918423173664,13,168.74031688510345,650.8898346091794,0.000013930356799509528,0.000008186353503346229
"Sicilia","37.599958333333","441","71","730","60","57","19","1359","14.015377777778",487.1812958869277,843.8301353652855,26.37033820113245,14,486.9373430090103,843.5798541404346,0.00003891765557365517,0.0000379336248040313
"Toscana","43.35","1093","277","2141","108","198","09","3817","11.016666666667",279.53323598135603,392.63687654875775,44.19438058004435,15,245.3943567642299,99.52073179935476,-0.00006857415685318272,0.0013812957567231712
"Umbria","42.983333333333","159","44","695","43","28","10","969","12.566666666667",376.6313230409835,421.24314034713734,22.267315359812315,16,366.29772510689395,440.12182557321336,-0.0006390953358418866,-0.0005950676975524501
"Valle d'Aosta","45.716666666667","90","26","352","2","41","02","511","7.3666666666667",48.718865504655696,208.71364194412718,16.17023834663962,17,105.36178831723151,271.76169308607035,0.004799433382287621,-0.0025563168464199427
"Veneto","45.733333333333","1559","344","5010","655","362","05","7930","11.85",322.21166739327714,207.4231961704986,63.70045948038127,18,353.28754254991924,100.11820343023037,0.00046753828962847776,0.0013783283738380144
"Trentino-Alto Adige","46.383333333333",576,123,1464,267,184,"04",2614,"11.416666666667",293.3773299582052,157.1527252669871,36.572846476794844,19,433.3695247207838,231.72150925457447,0.00192784322027767,0.001131857884112662
