"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","17","9","11","0","1","13","38","13.833333333333",458.124498303482,481.1420501172729,7.374336656370884,0,458.00820273643,481.08738487999767,0.000008500209623776235,0.000018083461218343048
"Basilicata","40.5","1","1","6","0","0","17","8","16.5",631.7883003522712,615.6439377639663,3.383577711659823,1,631.6099340410898,615.5064562045745,0.000021377792039012283,0.000027735195353271118
"Calabria","39","10","2","5","2","0","18","19","16.5",638.5478900533218,733.5385737316155,5.2144434564723845,2,638.3919512502496,733.357370639331,0.000028176302631606877,0.00002424781416243101
"Campania","40.75","56","11","82","4","1","15","154","14.783333333333",523.3260209727315,596.0262438126024,14.845386960894336,3,523.1990046151764,595.9076494065297,0.000018440920813169735,0.000019750498098669453
"Emilia-Romagna","44.75","745","104","739","38","113","08","1739","11",273.7755526126515,283.67879560051733,49.88626082090728,4,298.56516134386317,319.3808827277014,-0.0004969827720167631,0.0005566559516681886
"Friuli Venezia Giulia","46.1","16","5","89","10","6","06","126","13.116666666667",397.94445344900134,179.05170714910764,13.428157750069355,5,398.18795357006866,179.1628957275385,-0.00001728934642090312,-0.00003786322305830577
"Lazio","41.9","67","18","40","19","6","12","150","12.716666666667",389.96527268662,505.9151039834651,14.651321269881123,6,389.84866754852,505.81613476987445,0.00001538928766713681,0.0000181315981867833
"Liguria","44.45","74","34","73","5","8","07","194","8.7666666666667",137.64188625782947,306.98980046466886,16.662187871732126,7,137.51796078945014,307.9219665808444,-0.0001449478276620377,0.000019269878106358376
"Lombardia","45.65","3852","560","1351","900","617","03","7280","9.95",206.55634157536247,213.87614012509903,102.06970313989073,8,198.6467540733321,204.89516733967537,0.00011092503697732679,-0.000133805234684025
"Marche","43.316666666667","212","66","183","0","18","11","479","13",402.13851075247965,395.2363069295466,26.18176489628062,9,401.9815367953096,395.19366863688526,0.000006630071388805317,0.000024408776178938658
"Molise","41.6997","4","3","9","0","0","14","16","14.6111",508.6091735149422,521.5939880792921,4.785101489172643,10,508.40456599609274,521.09996887839,0.00007681786406040942,0.00003181559044671817
"Piemonte","45.25","319","75","86","0","21","01","501","7.9166666666667",83.45401674780715,244.87483380474941,26.776266691679133,11,76.9755075810043,247.29012430715224,0.00003345099361493627,-0.00016648123421219926
"Puglia","41.008611111111","38","4","29","1","5","16","77","16.512777777778",630.2278965217012,575.7430948182009,10.497273789386739,12,630.0250978169967,575.677316557925,0.000010228236972936231,0.00003153432761554712
"Sardegna","40.05","10","0","27","0","0","20","37","9.0833333333333",168.79296369929818,650.9794213715627,7.276659010503391,13,168.72835355155473,650.8544013550793,0.00001944007563576617,0.000010046600490864015
"Sicilia","37.599958333333","23","1","57","2","0","19","83","14.015377777778",487.1812958869277,843.8301353652855,10.898587321642959,14,487.0232056813122,843.6054856445719,0.00003493206676072608,0.000024582348018215926
"Toscana","43.35","87","54","173","5","1","09","320","11.016666666667",279.53323598135603,392.63687654875775,21.39962441805101,15,272.0586560955055,390.58719472708475,0.00031871672043689046,0.0011622650709354327
"Umbria","42.983333333333","7","5","32","2","0","10","46","12.566666666667",376.6313230409835,421.24314034713734,8.113534325578247,16,376.602975985067,421.2650069907475,-0.0000034001691700193825,0.000004407845452014276
"Valle d'Aosta","45.716666666667","2","0","17","0","1","02","20","7.3666666666667",48.718865504655696,208.71364194412718,5.349906104512752,17,48.74500805915358,208.62841607897155,0.000013252256009481168,-0.000004065054949166425
"Veneto","45.733333333333","262","68","610","54","29","05","1023","11.85",322.21166739327714,207.4231961704986,38.26211554503107,18,338.73532669817206,196.62305820307265,0.0000799571480401899,-0.00015364678107796125
"Trentino-Alto Adige","46.383333333333",36,8,105,3,0,"04",152,"11.416666666667",293.3773299582052,157.1527252669871,14.748673312741769,19,309.7426513061968,241.00287916859685,0.00012251236409342934,-0.0000885065464103529
