"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","248","59","431","23","52","13","813","13.833333333333",458.124498303482,481.1420501172729,22.949200101502097,0,458.16812295059304,481.1204388297004,0.0000033604624028523833,-0.000006783445269609675
"Basilicata","40.5","20","14","78","0","1","17","113","16.5",631.7883003522712,615.6439377639663,8.555817291105107,1,631.660691683579,615.5791498509564,0.000010074242226353633,0.000019842599936669927
"Calabria","39","93","23","217","7","11","18","351","16.5",638.5478900533218,733.5385737316155,15.079114472805648,2,638.476983866118,733.3647934866309,0.000027022081755608424,0.000011025607587160057
"Campania","40.75","318","123","631","53","74","15","1199","14.783333333333",523.3260209727315,596.0262438126024,27.869672896748558,3,523.2683699450289,596.0254335293056,1.2599557270852296e-7,0.000008964487212059394
"Emilia-Romagna","44.75","3180","294","4782","721","1077","08","10054","11",273.7755526126515,283.67879560051733,80.70337930340276,4,54.407408640691195,199.41494809186753,-0.001606229033082352,0.0018671305304996321
"Friuli Venezia Giulia","46.1","200","52","659","158","70","06","1139","13.116666666667",397.94445344900134,179.05170714910764,27.163400813106495,5,400.1733430426056,172.05607588416103,-0.0006749979836385186,-0.00010124490984874251
"Lazio","41.9","805","101","769","131","95","12","1901","12.716666666667",389.96527268662,505.9151039834651,35.09242160267248,6,389.77491857501406,506.81858374128086,-0.00014048722213730105,0.00002959924683490325
"Liguria","44.45","927","147","752","225","254","07","2305","8.7666666666667",137.64188625782947,306.98980046466886,38.641835270910434,7,153.78489372720614,133.32151233754587,-0.0006189525330402196,0.0024135291549468086
"Lombardia","45.65","10026","1236","9329","7281","4474","03","32346","9.95",206.55634157536247,213.87614012509903,144.7546658087411,8,265.4307219016772,278.82541247710566,0.0004882289802311305,0.0007721228653861806
"Marche","43.316666666667","938","148","1553","8","287","11","2934","13",402.13851075247965,395.2363069295466,43.596571263256656,9,412.460257650848,396.54076076098585,0.0006455822989925769,0.0007731860864163939
"Molise","41.6997","26","7","20","12","8","14","73","14.6111",508.6091735149422,521.5939880792921,6.876757503352534,10,508.6264316383652,521.4298416009359,0.000025524072419313715,-0.0000026835640732632172
"Piemonte","45.25","2544","381","2631","19","449","01","6024","7.9166666666667",83.45401674780715,244.87483380474941,62.46902987308172,11,56.805261890132044,344.23473578666477,0.0006794248853263657,-0.008258799720940924
"Puglia","41.008611111111","349","64","610","22","48","16","1093","16.512777777778",630.2278965217012,575.7430948182009,26.6092332773943,12,630.0425506436189,575.684501413355,0.000009111022810600432,0.000028820488031000013
"Sardegna","40.05","82","19","311","12","18","20","442","9.0833333333333",168.79296369929818,650.9794213715627,16.921287898247524,13,168.7381915118421,650.9008191001024,0.0000122223156364202,0.00000851683991757777
"Sicilia","37.599958333333","259","80","597","33","25","19","994","14.015377777778",487.1812958869277,843.8301353652855,25.375550469056137,14,486.91425282808285,843.4579572744101,0.0000578720947261311,0.000041524048772114756
"Toscana","43.35","999","251","1526","54","142","09","2972","11.016666666667",279.53323598135603,392.63687654875775,43.87798572043994,15,226.48333592293054,94.25525089533856,0.00015994963498298584,0.0025572568746966944
"Umbria","42.983333333333","123","44","519","5","19","10","710","12.566666666667",376.6313230409835,421.24314034713734,21.446254445001,16,367.4896149778818,443.53236072554546,-0.0009958802282169206,-0.0009421089694486846
"Valle d'Aosta","45.716666666667","70","25","280","2","24","02","401","7.3666666666667",48.718865504655696,208.71364194412718,16.11738077302106,17,104.71476823927551,281.9410517629283,0.005453797126259585,-0.00205031231577141
"Veneto","45.733333333333","1407","316","4022","439","258","05","6442","11.85",322.21166739327714,207.4231961704986,64.60001817309374,18,357.53411749984025,90.81776171122567,-0.000468515082436028,-0.001247383577982973
"Trentino-Alto Adige","46.383333333333",498,105,1203,157,117,"04",2080,"11.416666666667",293.3773299582052,157.1527252669871,36.70742730648122,19,438.2039666580169,223.3493842008321,-0.0005926569173243299,0.0004460194489873656
