"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","228","52","325","20","38","13","663","13.833333333333",458.124498303482,481.1420501172729,22.308210371968435,0,458.15612425297496,481.1252945486398,0.000002605418961779423,-0.000004917699321182799
"Basilicata","40.5","15","12","62","0","1","17","90","16.5",631.7883003522712,615.6439377639663,8.219193820492587,1,631.6630034547376,615.5817838200098,0.000009664671350719746,0.000019483129449931666
"Calabria","39","82","20","178","5","7","18","292","16.5",638.5478900533218,733.5385737316155,14.804692552316899,2,638.4731156039419,733.3708847927487,0.000026074909814797677,0.000011627105742390991
"Campania","40.75","266","110","553","48","49","15","1026","14.783333333333",523.3260209727315,596.0262438126024,27.75119234322353,3,523.2702348752393,596.0266632477579,-6.522036531594448e-8,0.000008674498573715889
"Emilia-Romagna","44.75","2846","276","4098","423","892","08","8535","11",273.7755526126515,283.67879560051733,80.04048837564503,4,42.66197023612654,226.22764856073968,0.00003754316665039469,0.0012327714868088375
"Friuli Venezia Giulia","46.1","185","41","545","105","54","06","930","13.116666666667",397.94445344900134,179.05170714910764,26.421011580580647,5,409.30721021990206,167.81370885708068,-0.0010362853125087767,0.0003507924702266768
"Lazio","41.9","718","96","600","63","63","12","1540","12.716666666667",389.96527268662,505.9151039834651,33.999170981819255,6,389.8091384698354,506.29183553089234,-0.00005858013766405959,0.00002427820015545635
"Liguria","44.45","761","133","659","159","212","07","1924","8.7666666666667",137.64188625782947,306.98980046466886,38.002354158244295,7,127.1093586171564,143.74717312840403,-0.000021781335379005008,0.001135754612971342
"Lombardia","45.65","9266","1183","8461","6075","3776","03","28761","9.95",206.55634157536247,213.87614012509903,146.92982393566228,8,266.1965648878511,265.63422634639704,-0.000007048431034874406,0.00097095226706438
"Marche","43.316666666667","882","148","1328","8","203","11","2569","13",402.13851075247965,395.2363069295466,43.912687712742695,9,407.7637099432616,393.61103500970006,0.0005064853816600258,0.0006354386686071045
"Molise","41.6997","25","7","18","10","7","14","67","14.6111",508.6091735149422,521.5939880792921,7.091618568533465,10,508.62762312479583,521.428186359973,0.000025781455280244358,-0.000002868835096122114
"Piemonte","45.25","2194","343","1992","17","315","01","4861","7.9166666666667",83.45401674780715,244.87483380474941,60.40470638883669,11,63.74526487480938,365.100775036895,0.0010496578562800129,-0.00850582576125502
"Puglia","41.008611111111","285","45","532","7","37","16","906","16.512777777778",630.2278965217012,575.7430948182009,26.077866995957002,12,630.0499679469249,575.6874937418917,0.000008645728574397027,0.0000276671292222356
"Sardegna","40.05","76","18","249","5","11","20","359","9.0833333333333",168.79296369929818,650.9794213715627,16.415540670053975,13,168.73560952022197,650.9028905605381,0.000011900212435028362,0.000008918328525545596
"Sicilia","37.599958333333","250","60","371","27","13","19","721","14.015377777778",487.1812958869277,843.8301353652855,23.263529165104902,14,487.0943081202693,843.4500693823117,0.000059098628071047836,0.000013526224126269251
"Toscana","43.35","838","238","1225","51","109","09","2461","11.016666666667",279.53323598135603,392.63687654875775,42.979739013705924,15,189.37625050545165,91.95370539800771,0.0000661464416995515,0.0009040600942340419
"Umbria","42.983333333333","106","42","408","5","16","10","577","12.566666666667",376.6313230409835,421.24314034713734,20.811140139876255,16,367.1478355328975,444.004731378373,-0.0006765984082433337,-0.0008325055906167543
"Valle d'Aosta","45.716666666667","69","20","290","2","12","02","393","7.3666666666667",48.718865504655696,208.71364194412718,17.175296469741927,17,105.8453612220776,299.9376057256299,0.00601922113458409,-0.000812806953466455
"Veneto","45.733333333333","1206","281","3499","327","192","05","5505","11.85",322.21166739327714,207.4231961704986,64.28159271334762,18,374.2685185022398,84.16588810833397,-0.0009499515028829771,-0.0006142032485925153
"Trentino-Alto Adige","46.383333333333",394,79,1129,75,70,"04",1747,"11.416666666667",293.3773299582052,157.1527252669871,36.21215908622785,19,443.61171765821723,220.1994524661463,-0.0009065572929129005,0.0007774680326416611
