"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","72","28","28","6","3","13","137","13.833333333333",458.124498303482,481.1420501172729,13.66307593658702,0,458.0813272562287,481.1214616748047,0.0000032014143819643105,0.000006712912439837005
"Basilicata","40.5","0","2","9","0","0","17","11","16.5",631.7883003522712,615.6439377639663,3.87154704601109,1,631.6245599975896,615.5505853222489,0.000014515903763367069,0.00002546092193212358
"Calabria","39","32","6","28","1","1","18","68","16.5",638.5478900533218,733.5385737316155,9.625929017759791,2,638.4223223513718,733.3736561681254,0.00002564397284605061,0.000019525238373640448
"Campania","40.75","73","22","201","28","9","15","333","14.783333333333",523.3260209727315,596.0262438126024,21.301506315315965,3,523.2476379804928,595.9866099760532,0.000006162891366725591,0.000012188218659208367
"Emilia-Romagna","44.75","1215","169","1357","68","284","08","3093","11",273.7755526126515,283.67879560051733,64.91994728171903,4,172.1834766191089,380.76633230812513,0.00045258362664724543,0.0016486074325959682
"Friuli Venezia Giulia","46.1","98","12","206","17","14","06","347","13.116666666667",397.94445344900134,179.05170714910764,21.74467574483587,5,440.81753672109255,196.5839508879328,-0.006265830313163055,-0.002485384620408409
"Lazio","41.9","223","31","142","24","16","12","436","12.716666666667",389.96527268662,505.9151039834651,24.374260206679388,6,389.87428558748434,505.8581263539252,0.000008859776689836862,0.00001414810315042608
"Liguria","44.45","253","66","174","33","33","07","559","8.7666666666667",137.64188625782947,306.98980046466886,27.59904804019969,7,101.94631862605254,313.1469432907146,0.0017194794003957952,0.0011811547391832912
"Lombardia","45.65","5500","767","3776","2011","1218","03","13272","9.95",206.55634157536247,213.87614012509903,134.4795926725827,8,198.72953262633465,183.13607952508644,0.0002511737738599304,-0.0008309130920915651
"Marche","43.316666666667","521","98","468","0","46","11","1133","13",402.13851075247965,395.2363069295466,39.29191115911966,9,402.9238328169187,393.58456652759986,0.000029444409447715653,0.00006640774752818154
"Molise","41.6997","3","4","10","0","0","14","17","14.6111",508.6091735149422,521.5939880792921,4.812964508879896,10,508.5350992250415,521.3074158574634,0.00004456074974359637,0.000011518233950370741
"Piemonte","45.25","726","171","133","0","81","01","1111","7.9166666666667",83.45401674780715,244.87483380474941,38.908566273729456,11,268.4528941653402,341.89310363760694,-0.0008132430854030402,0.0013109537185663652
"Puglia","41.008611111111","116","6","90","2","16","16","230","16.512777777778",630.2278965217012,575.7430948182009,17.70321388844347,12,630.0281547884123,575.6657309707375,0.00001202974602359416,0.00003105898168928587
"Sardegna","40.05","16","0","59","0","2","20","77","9.0833333333333",168.79296369929818,650.9794213715627,10.243150672832085,13,168.73578213168088,650.89160507688,0.000013655056675754305,0.0000088914881850075
"Sicilia","37.599958333333","56","15","108","7","2","19","188","14.015377777778",487.1812958869277,843.8301353652855,16.005421773266573,14,487.01501802833,843.6345504832652,0.000030412609169579668,0.000025855492893171142
"Toscana","43.35","175","107","481","10","8","09","781","11.016666666667",279.53323598135603,392.63687654875775,32.62223526358795,15,364.3222200075661,160.73703830765993,-0.000023649349130271114,-0.0008430948005209308
"Umbria","42.983333333333","25","13","101","3","1","10","143","12.566666666667",376.6313230409835,421.24314034713734,13.959061389764125,16,368.93668936615916,434.5789583050555,-0.0002720012406090258,-0.00029719146745120706
"Valle d'Aosta","45.716666666667","10","3","43","0","1","02","57","7.3666666666667",48.718865504655696,208.71364194412718,8.813037667312715,17,138.35433243345628,313.0889252232635,0.0012176521492664235,0.0012741816856185106
"Veneto","45.733333333333","426","129","1434","120","63","05","2172","11.85",322.21166739327714,207.4231961704986,54.40240621518708,18,382.71227723537834,245.7930404663944,-0.0006001218525711437,0.002186888079533669
"Trentino-Alto Adige","46.383333333333",123,23,420,5,11,"04",582,"11.416666666667",293.3773299582052,157.1527252669871,28.161104930795027,19,316.5782652216711,295.22001513538027,-0.0018506141830360921,0.001252280686523214
