"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","218","49","272","15","33","13","587","13.833333333333",458.124498303482,481.1420501172729,22.63905317010981,0,458.33104343879694,481.29035043180966,-0.000023060062000420517,-0.00003211688148554697
"Basilicata","40.5","13","10","58","0","0","17","81","16.5",631.7883003522712,615.6439377639663,8.40972352402471,1,631.6648636696588,615.5869761321435,0.000008857289113517989,0.000019193874018818075
"Calabria","39","77","17","166","5","8","18","273","16.5",638.5478900533218,733.5385737316155,15.43904853057919,2,638.4776908450774,733.3801453539584,0.000024634932318324646,0.000010915675395251185
"Campania","40.75","243","99","524","41","29","15","936","14.783333333333",523.3260209727315,596.0262438126024,28.587562901948182,3,523.2807108339362,596.040393579589,-0.0000022002279969674734,0.000007045531987788371
"Emilia-Romagna","44.75","2429","269","3692","349","816","08","7555","11",273.7755526126515,283.67879560051733,81.21877655446161,4,34.95127562333767,215.83143029479723,-0.0006562123199523834,0.0013011582411182523
"Friuli Venezia Giulia","46.1","163","47","528","89","47","06","874","13.116666666667",397.94445344900134,179.05170714910764,27.62453174441805,5,414.4664239699406,165.957117082446,-0.0009315890964779507,0.0001446742209226401
"Lazio","41.9","671","79","522","58","53","12","1383","12.716666666667",389.96527268662,505.9151039834651,34.74963913215046,6,388.2921335815586,509.6820434480228,-0.0005857429087448227,0.0002601659451536904
"Liguria","44.45","736","132","483","143","171","07","1665","8.7666666666667",137.64188625782947,306.98980046466886,38.1282021662136,7,124.30190005911359,136.7083038735851,-0.0003789586729894597,0.0015080220851350506
"Lombardia","45.65","9439","1142","7304","5865","3456","03","27206","9.95",206.55634157536247,213.87614012509903,154.12445563922347,8,264.35588675495364,268.4194260946016,0.00018123559936682605,0.0008267810899709112
"Marche","43.316666666667","816","138","1277","6","184","11","2421","13",402.13851075247965,395.2363069295466,45.97657372437233,9,416.30775683845917,398.6093341769054,0.000670460563933975,0.0005333696191232403
"Molise","41.6997","24","7","21","7","7","14","66","14.6111",508.6091735149422,521.5939880792921,7.5912129868385785,10,508.63213713073776,521.4025655966477,0.000029765373943010126,-0.0000035707436336403253
"Piemonte","45.25","2118","308","1701","10","283","01","4420","7.9166666666667",83.45401674780715,244.87483380474941,62.12270294308753,11,50.34604814892802,361.362510993288,0.0013077829000748115,-0.007740006913034538
"Puglia","41.008611111111","252","37","459","7","31","16","786","16.512777777778",630.2278965217012,575.7430948182009,26.196934959704066,12,630.0481869863407,575.6925759640519,0.000007855464855258968,0.00002794406094431647
"Sardegna","40.05","67","16","244","5","7","20","339","9.0833333333333",168.79296369929818,650.9794213715627,17.20438124842408,13,168.7361911182362,650.9128865024601,0.000010345886396045457,0.000008827892532142475
"Sicilia","37.599958333333","220","55","321","26","8","19","630","14.015377777778",487.1812958869277,843.8301353652855,23.453598355849174,14,487.10886982368993,843.5157106849047,0.00004889168742961501,0.000011261941782976172
"Toscana","43.35","706","215","1223","42","91","09","2277","11.016666666667",279.53323598135603,392.63687654875775,44.588280456846064,15,188.63427714049553,84.69763045815711,-0.000037782584285271646,0.001467309225126599
"Umbria","42.983333333333","97","35","368","5","16","10","521","12.566666666667",376.6313230409835,421.24314034713734,21.328389855483994,16,374.3554149833499,451.23973529243034,-0.0014895204029238584,-0.0021765385577861896
"Valle d'Aosta","45.716666666667","63","21","270","1","9","02","364","7.3666666666667",48.718865504655696,208.71364194412718,17.827477650323182,17,94.55979695533378,294.75038203124586,0.005582467523523193,-0.0012990843018016811
"Veneto","45.733333333333","1113","255","3276","309","169","05","5122","11.85",322.21166739327714,207.4231961704986,66.87426100869997,18,377.91434865311453,78.82771486911498,-0.0008301782474184359,-0.0008727761123670745
"Trentino-Alto Adige","46.383333333333",381,78,1074,41,58,"04",1632,"11.416666666667",293.3773299582052,157.1527252669871,37.748464116065456,19,450.1948715432513,220.6848887635354,-0.000810420773129523,0.0006037227201658918
