"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","181","47","138","8","11","13","385","13.833333333333",458.124498303482,481.1420501172729,23.058794515533172,0,452.1318681211509,497.293238399375,0.000727953577825426,-0.0005344493783811051
"Basilicata","40.5","8","5","24","0","0","17","37","16.5",631.7883003522712,615.6439377639663,7.14837120070012,1,631.667633511627,615.5900882415641,0.000008373369464293607,0.00001876317548849272
"Calabria","39","60","13","91","2","3","18","169","16.5",638.5478900533218,733.5385737316155,15.277404821612446,2,638.4849143080294,733.3933055857597,0.000022588572792909652,0.000009792457929053217
"Campania","40.75","213","36","356","30","17","15","652","14.783333333333",523.3260209727315,596.0262438126024,30.007515030177995,3,523.2872989117394,596.0582320939261,-0.000004974040364763597,0.000006021114183406645
"Emilia-Romagna","44.75","1900","260","2346","177","531","08","5214","11",273.7755526126515,283.67879560051733,84.85779602833743,4,19.133445257861432,183.16973218835997,-0.003660659940107891,0.0016856082762873078
"Friuli Venezia Giulia","46.1","134","29","359","41","36","06","599","13.116666666667",397.94445344900134,179.05170714910764,28.76203733103398,5,430.6843445828972,191.6804445986591,0.0003952906525173876,-0.00004846502084995922
"Lazio","41.9","426","45","270","44","38","12","823","12.716666666667",389.96527268662,505.9151039834651,33.71367935829211,6,389.9277450735913,505.9542783840556,-0.000006091451048287115,0.0000058353826549314856
"Liguria","44.45","491","112","280","85","91","07","1059","8.7666666666667",137.64188625782947,306.98980046466886,38.243199099177694,7,122.16942226819252,115.79272204354908,-0.0018167753720028704,0.002640460094452834
"Lombardia","45.65","7387","1006","5545","3778","2168","03","19884","9.95",206.55634157536247,213.87614012509903,165.71358456152586,8,253.50066546452405,271.8422458361237,0.00041120200567513235,-0.0000938147317564469
"Marche","43.316666666667","656","141","825","0","115","11","1737","13",402.13851075247965,395.2363069295466,48.978574797323375,9,415.29175327764983,412.96094311591065,-0.00024338447655728156,0.0006126980947555188
"Molise","41.6997","19","6","13","6","2","14","46","14.6111",508.6091735149422,521.5939880792921,7.970492368151126,10,508.6394873674343,521.382398870041,0.000032901213319681454,-0.000004713673872665847
"Piemonte","45.25","2279","257","218","3","175","01","2932","7.9166666666667",83.45401674780715,244.87483380474941,63.63385256908988,11,30.47182451698782,341.2736336638436,0.0035494848634686433,-0.002376725992318386
"Puglia","41.008611111111","173","31","245","4","25","16","478","16.512777777778",630.2278965217012,575.7430948182009,25.693317447209235,12,630.0511415193876,575.7067185513737,0.000005656353265331486,0.000027484643744467807
"Sardegna","40.05","43","9","152","0","2","20","206","9.0833333333333",168.79296369929818,650.9794213715627,16.867077663496605,13,168.72948914783518,650.9188743615166,0.00000941480002900681,0.000009870020146335276
"Sicilia","37.599958333333","143","36","142","15","4","19","340","14.015377777778",487.1812958869277,843.8301353652855,21.669340453064102,14,486.9025734198016,843.4612592304042,0.00005735865475007503,0.000043340146599924944
"Toscana","43.35","501","178","743","22","38","09","1482","11.016666666667",279.53323598135603,392.63687654875775,45.240806275130645,15,298.8256024830487,65.81307389906985,0.0003454286558027982,-0.000550584652718283
"Umbria","42.983333333333","69","21","238","4","2","10","334","12.566666666667",376.6313230409835,421.24314034713734,21.477289334526432,16,470.5056951176495,456.72679070281276,0.0008054724745009693,-0.00021867108250509212
"Valle d'Aosta","45.716666666667","47","9","153","0","6","02","215","7.3666666666667",48.718865504655696,208.71364194412718,17.231594432152313,17,70.65358269516814,271.0978057141833,0.0035608190130796136,-0.0023569313476342114
"Veneto","45.733333333333","771","209","2189","200","115","05","3484","11.85",322.21166739327714,207.4231961704986,69.36578534027947,18,409.41192177514927,95.90188954654803,0.00012646970087274521,-0.0004910090850007956
"Trentino-Alto Adige","46.383333333333",256,48,608,21,26,"04",959,"11.416666666667",293.3773299582052,157.1527252669871,36.392805637131794,19,454.6549865708763,252.24521784041792,0.0008725182482113637,-0.00005515485274869072
