"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","14","0","3","0","0","13","17","13.833333333333",458.124498303482,481.1420501172729,30.09044337673833,0,554.4811564913887,822.2668403076726,0.0005895107147328376,-0.0007557399435658988
"Basilicata","40.5","2","0","2","0","0","17","4","16.5",631.7883003522712,615.6439377639663,14.596008983995233,1,725.1365112227096,717.0408420715635,-0.0002142711981467489,0.00046801931695894457
"Calabria","39","5","0","4","0","0","18","9","16.5",638.5478900533218,733.5385737316155,21.894013475992853,2,700.9553951403875,744.3108402174289,0.0003936917778122481,-0.0003591885774944903
"Campania","40.75","30","7","63","1","0","15","101","14.783333333333",523.3260209727315,596.0262438126024,73.34403742695761,3,657.6656492143538,829.152957946262,0.00018772765460959087,-0.00025138556671312865
"Emilia-Romagna","44.75","542","75","480","27","56","08","1180","11",273.7755526126515,283.67879560051733,250.69468699387414,4,-248.04174237461595,59.17565071358999,-0.004665533403482045,0.0015128793835774534
"Friuli Venezia Giulia","46.1","7","1","45","3","1","06","57","13.116666666667",397.94445344900134,179.05170714910764,55.09872562244423,5,518.142182509464,-179.52867156438575,0.00028973643395531213,-0.0006886787225402485
"Lazio","41.9","47","8","26","3","3","12","87","12.716666666667",389.96527268662,505.9151039834651,68.07125422800667,6,312.51229041225025,868.332473776885,0.000461896771270284,-0.00017999975295804438
"Liguria","44.45","39","11","17","5","6","07","78","8.7666666666667",137.64188625782947,306.98980046466886,64.4542304747094,7,47.76322004287315,-49.180989406120766,-0.007856902282146305,0.0033901731120795473
"Lombardia","45.65","2217","399","756","550","267","03","4189","9.95",206.55634157536247,213.87614012509903,472.34498262254857,8,418.89615246003166,338.49795174384644,0.0000927790334896465,-0.0011924572287238646
"Marche","43.316666666667","110","41","114","0","7","11","272","13",402.13851075247965,395.2363069295466,120.36177350695333,9,-168.0305200056493,421.45521939306553,-0.003135147498708697,-0.0003832959783600528
"Molise","41.6997","4","2","8","0","0","14","14","14.6111",508.6091735149422,521.5939880792921,27.306632416192294,10,763.5140896503569,700.2723384813057,-0.0012671975018858194,0.0005569295145797702
"Piemonte","45.25","245","45","65","0","5","01","360","7.9166666666667",83.45401674780715,244.87483380474941,138.4698994131153,11,-78.71084645503916,714.1205838839116,0.022086241174780752,0.012328026300703806
"Puglia","41.008611111111","17","3","16","1","3","16","40","16.512777777778",630.2278965217012,575.7430948182009,46.1566331377051,12,180.23964746263235,-121.81811451562547,-0.00032845569432876886,-0.0001894395687185588
"Sardegna","40.05","5","0","6","0","0","20","11","9.0833333333333",168.79296369929818,650.9794213715627,24.204742618284364,13,108.9129094903623,726.4047724324863,0.000613828080962492,-0.0005513754923765036
"Sicilia","37.599958333333","18","0","33","2","0","19","53","14.015377777778",487.1812958869277,843.8301353652855,53.130274674205495,14,427.20969126538694,907.47380944015,0.0016939586485573666,-0.00036998680970287446
"Toscana","43.35","91","7","67","1","0","09","166","11.016666666667",279.53323598135603,392.63687654875775,94.02821038298075,15,52.98732613488278,-207.41154829387614,-0.011990291101512217,-0.004945289820707325
"Umbria","42.983333333333","2","2","22","0","0","10","26","12.566666666667",376.6313230409835,421.24314034713734,37.21266731498365,16,490.4767978614127,842.9825667210214,0.000605585120320256,-0.001479398818899247
"Valle d'Aosta","45.716666666667","1","0","8","0","0","02","9","7.3666666666667",48.718865504655696,208.71364194412718,21.894013475992853,17,-69.94420247675811,265.5925110893482,-0.0043036317163921796,-0.000347752871586203
"Veneto","45.733333333333","146","47","430","29","18","05","670","11.85",322.21166739327714,207.4231961704986,188.9041624970071,18,314.86327577716406,-314.5176379046057,-0.00005513191630220019,-0.00006352855715305913
"Trentino-Alto Adige","46.383333333333",15,2,15,0,0,"04",32,"11.416666666667",293.3773299582052,157.1527252669871,41.28374772337121,19,-54.57970448830289,535.994052669098,0.019216268910593182,-0.008847005126619817
