"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","329","68","772","36","88","13","1293","13.833333333333",458.124498303482,481.1420501172729,24.615831769009624,0,458.1752074826255,481.1065544725744,0.000005519420306352214,-0.000007885059574503305
"Basilicata","40.5","32","18","147","1","4","17","202","16.5",631.7883003522712,615.6439377639663,9.72950929831109,1,631.6543685542943,615.556689106272,0.000013566791561904041,0.000020825819384299697
"Calabria","39","124","19","434","12","25","18","614","16.5",638.5478900533218,733.5385737316155,16.962874083394283,2,638.4734547893761,733.3530215958245,0.000028852560218882132,0.000011574363864073015
"Campania","40.75","476","135","945","86","117","15","1759","14.783333333333",523.3260209727315,596.0262438126024,28.710990300576288,3,523.2666687089228,596.0207912175647,8.478551109204097e-7,0.000009229022120212784
"Emilia-Romagna","44.75","3769","333","6433","1141","1443","08","13119","11",273.7755526126515,283.67879560051733,78.40894650560837,4,68.50561370652946,187.53028331232457,-0.0001823561907581983,0.0010421021154965935
"Friuli Venezia Giulia","46.1","236","60","845","241","98","06","1480","13.116666666667",397.94445344900134,179.05170714910764,26.335775441305568,5,393.91100923041324,184.46976678043177,0.0008416065208013884,0.0013146323565988388
"Lazio","41.9","1062","133","1167","208","136","12","2706","12.716666666667",389.96527268662,505.9151039834651,35.61058833451396,6,389.8960916071571,506.0264360230366,-0.00001731165401213824,0.000010757360742316892
"Liguria","44.45","1077","166","1036","420","377","07","3076","8.7666666666667",137.64188625782947,306.98980046466886,37.967186734783766,7,171.4527260840409,133.26196665034112,-0.00009649703242774789,0.0011159113248650023
"Lombardia","45.65","11613","1328","12451","9255","6360","03","41007","9.95",206.55634157536247,213.87614012509903,138.6258594966811,8,262.7081725299362,284.4557709461396,0.000045384057326684596,0.0006227856049848571
"Marche","43.316666666667","1000","168","1992","12","386","11","3558","13",402.13851075247965,395.2363069295466,40.833652128314334,9,406.7261318770695,391.52213883212715,0.00034933458552213157,0.0005050405408653781
"Molise","41.6997","25","9","66","18","9","14","127","14.6111",508.6091735149422,521.5939880792921,7.714665730267437,10,508.6201615660464,521.4250921897284,0.00002626258546464443,-0.0000017085947559769955
"Piemonte","45.25","2985","443","3840","254","684","01","8206","7.9166666666667",83.45401674780715,244.87483380474941,62.012752594246486,11,50.22038627983254,326.94510285015554,-0.001264058269110395,-0.00732026708456664
"Puglia","41.008611111111","559","99","774","31","86","16","1549","16.512777777778",630.2278965217012,575.7430948182009,26.942690460355667,12,630.0086924366166,575.6633603079473,0.000012398373906110484,0.00003408529380795223
"Sardegna","40.05","105","23","454","29","27","20","638","9.0833333333333",168.79296369929818,650.9794213715627,17.291218233631213,13,168.73896102452542,650.8889535734551,0.000014067354070823738,0.000008397184000169037
"Sicilia","37.599958333333","451","71","808","65","65","19","1460","14.015377777778",487.1812958869277,843.8301353652855,26.157225752486912,14,486.95010763332124,843.5938784240426,0.00003673693970312357,0.00003594878054431061
"Toscana","43.35","1111","275","2400","121","215","09","4122","11.016666666667",279.53323598135603,392.63687654875775,43.95104914259165,15,247.3885966071008,102.52044785390534,0.00006032779931997112,0.0010722286418279891
"Umbria","42.983333333333","166","46","685","95","31","10","1023","12.566666666667",376.6313230409835,421.24314034713734,21.895409377264695,16,367.1403128416493,440.1831919100174,-0.0004873519892854869,-0.0005234837430497975
"Valle d'Aosta","45.716666666667","90","26","423","2","43","02","584","7.3666666666667",48.718865504655696,208.71364194412718,16.54328212981408,17,108.01731579242667,273.74204406286213,0.004323072044931597,-0.002176692489774873
"Veneto","45.733333333333","1586","355","5310","715","392","05","8358","11.85",322.21166739327714,207.4231961704986,62.58444944976647,18,353.8931050688078,105.08991035734473,0.00034928744733679965,0.0010652577925302123
"Trentino-Alto Adige","46.383333333333",590,131,1606,288,193,"04",2808,"11.416666666667",293.3773299582052,157.1527252669871,36.27553318112083,19,430.53603440340015,235.22120063464067,0.001686049201718896,0.0011223963226910689
