"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","342","71","798","102","123","13","1436","13.833333333333",458.124498303482,481.1420501172729,13.752461636145368,0,458.0603402425407,481.0388864537501,0.000016041506617552994,0.000009976302934727476
"Basilicata","40.5","39","15","171","3","9","17","237","16.5",631.7883003522712,615.6439377639663,5.586983582394069,1,631.6209156163417,615.5009535195621,0.000022233435925896196,0.000026027607564528483
"Calabria","39","144","16","450","21","38","18","669","16.5",638.5478900533218,733.5385737316155,9.38677225609569,2,638.3866040878319,733.3247228214598,0.00003325289809696473,0.000025079274953752015
"Campania","40.75","478","129","1369","107","148","15","2231","14.783333333333",523.3260209727315,596.0262438126024,17.141665153289583,3,523.1975762520309,595.9078861141262,0.000018404113798508928,0.0000199726024333441
"Emilia-Romagna","44.75","3898","359","7232","1566","1732","08","14787","11",273.7755526126515,283.67879560051733,44.13094817736927,4,284.58508193352714,295.47101815714666,0.00015378767122699132,0.0003044367293434914
"Friuli Venezia Giulia","46.1","206","60","940","357","122","06","1685","13.116666666667",397.94445344900134,179.05170714910764,14.897149452875524,5,397.8300147727982,178.38747183254043,0.0001032857390138084,0.000017794722666189622
"Lazio","41.9","1131","177","1450","337","169","12","3264","12.716666666667",389.96527268662,505.9151039834651,20.733770984059767,6,389.8634639068335,505.82746001931287,0.000013628260018370686,0.000015830828015421435
"Liguria","44.45","1114","179","1352","555","460","07","3660","8.7666666666667",137.64188625782947,306.98980046466886,21.955521888676437,7,137.52616349147362,306.65467793908607,0.00005211011346682958,0.000017994393170114258
"Lombardia","45.65","11927","1342","12496","11415","7593","03","44773","9.95",206.55634157536247,213.87614012509903,76.79117620909292,8,199.12682126989156,209.91959589898747,-0.00004115415717865313,0.0004995906025293131
"Marche","43.316666666667","984","168","2304","29","477","11","3962","13",402.13851075247965,395.2363069295466,22.843384915187144,9,401.91826409175303,395.1196388399072,0.00001814138688078917,0.00003424740984269314
"Molise","41.6997","32","8","91","19","10","14","160","14.6111",508.6091735149422,521.5939880792921,4.59053405421566,10,508.34343180879955,521.4445903505317,0.00002323070519910105,0.00004132169401588597
"Piemonte","45.25","3146","453","4871","439","886","01","9795","7.9166666666667",83.45401674780715,244.87483380474941,35.917445572628715,11,80.62578726390484,245.70170332314305,-0.0000655855567063996,0.000443846219405427
"Puglia","41.008611111111","637","107","1012","61","129","16","1946","16.512777777778",630.2278965217012,575.7430948182009,16.009384679202615,12,630.0212567971944,575.6121046014283,0.00002036841614031392,0.00003213158969864323
"Sardegna","40.05","119","27","529","36","34","20","745","9.0833333333333",168.79296369929818,650.9794213715627,9.90561304345631,13,168.72421387810851,650.8119903600872,0.00002603480321318833,0.000010690301932966174
"Sicilia","37.599958333333","496","72","976","86","88","19","1718","14.015377777778",487.1812958869277,843.8301353652855,15.04231925834695,14,487.0331836932297,843.6007971815662,0.000035661102622412856,0.000023030810017926518
"Toscana","43.35","1120","297","3015","182","253","09","4867","11.016666666667",279.53323598135603,392.63687654875775,25.31826232293609,15,278.17207683886977,391.8125578630178,0.00012817801540506934,0.0002116544008434524
"Umbria","42.983333333333","173","45","646","194","37","10","1095","12.566666666667",376.6313230409835,421.24314034713734,12.009095037379602,16,376.5742747170833,421.2161883929001,0.000004190913132481039,0.000008870769359238787
"Valle d'Aosta","45.716666666667","85","27","428","32","59","02","631","7.3666666666667",48.718865504655696,208.71364194412718,9.116285164383887,17,77.71812435365622,200.7619395108825,0.0002586770418779054,-0.004572418260578377
"Veneto","45.733333333333","1718","350","6156","902","499","05","9625","11.85",322.21166739327714,207.4231961704986,35.60439342101477,18,342.1160782736865,200.58499158658947,0.0012147704466983476,-0.002769229309363433
"Trentino-Alto Adige","46.383333333333",614,133,1848,404,289,"04",3288,"11.416666666667",293.3773299582052,157.1527252669871,20.80985847272575,19,290.9610492576652,176.79989557872588,-0.0034984182731698952,-0.0005780585557357056
