"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","8","0","0","0","0","13","8","13.833333333333",458.124498303482,481.1420501172729,32.99831645537222,0,475.28694967334684,939.2310163269092,-0.00010401231247691533,-0.0018501395929800919
"Basilicata","40.5","0","0","1","0","0","17","1","16.5",631.7883003522712,615.6439377639663,11.666666666666666,1,704.3609739299612,871.62991444536,0.0008369712511618687,-0.0005910749423842461
"Calabria","39","1","0","1","0","0","18","2","16.5",638.5478900533218,733.5385737316155,16.49915822768611,2,731.5821327915475,864.4002061130454,0.0009290160462937471,-0.0005436454540631486
"Campania","40.75","12","0","33","0","0","15","45","14.783333333333",523.3260209727315,596.0262438126024,78.26237921249265,3,654.3134943702111,960.0936544584551,0.0007444538749787193,-0.0014416874282365923
"Emilia-Romagna","44.75","327","32","299","10","30","08","698","11",273.7755526126515,283.67879560051733,308.22971231786784,4,-343.9914910288926,101.55350098938285,-0.0017525021099532897,0.00210781001537491
"Friuli Venezia Giulia","46.1","4","0","17","0","0","06","21","13.116666666667",397.94445344900134,179.05170714910764,53.46338310781813,5,96.24913285959741,-117.07798228167385,0.003641271004235924,-0.008579103606293043
"Lazio","41.9","20","7","14","3","0","12","44","12.716666666667",389.96527268662,505.9151039834651,77.38791177495932,6,150.6144936406717,890.6224646953102,-0.001002386451069594,0.000005420715856109754
"Liguria","44.45","11","3","7","4","3","07","28","8.7666666666667",137.64188625782947,306.98980046466886,61.73419725817378,7,-17.109197956746186,-97.98816181089505,-0.029099146637750643,-0.020000355070427866
"Lombardia","45.65","1169","244","364","376","98","03","2251","9.95",206.55634157536247,213.87614012509903,553.5215543329014,8,480.36846668496406,352.7492681069328,-0.00045532450598120464,0.0009487449063389882
"Marche","43.316666666667","57","19","44","0","4","11","124","13",402.13851075247965,395.2363069295466,129.91450179936717,9,-184.84855340034727,509.7437428155742,-0.0010600842318541665,0.0021562391210819877
"Molise","41.6997","4","0","3","0","0","14","7","14.6111",508.6091735149422,521.5939880792921,30.86709862908689,10,838.0084440653399,814.902653269326,0.008166164998388126,-0.009604045403838277
"Piemonte","45.25","43","17","46","0","2","01","108","7.9166666666667",83.45401674780715,244.87483380474941,121.24355652982142,11,-73.73379257605698,752.8222108647032,0.039900755817735466,0.005948803238533899
"Puglia","41.008611111111","5","1","6","1","1","16","14","16.512777777778",630.2278965217012,575.7430948182009,43.65266951236265,12,-5.8783881266008615,6.059322407304218,-0.0152122386345369,0.011777671765033882
"Sardegna","40.05","2","0","0","0","0","20","2","9.0833333333333",168.79296369929818,650.9794213715627,16.49915822768611,13,242.37932795428475,870.7073686780877,-0.0009417889011867505,-0.0003131471381133642
"Sicilia","37.599958333333","5","0","11","2","0","19","18","14.015377777778",487.1812958869277,843.8301353652855,49.49747468305832,14,393.45364753513064,949.4638103529018,-0.0007758303975930826,-0.002525728681466982
"Toscana","43.35","26","3","31","1","0","09","61","11.016666666667",279.53323598135603,392.63687654875775,91.11957955224429,15,-86.65062899707617,-233.81930149889854,-0.03382104096216761,-0.024050169173786298
"Umbria","42.983333333333","1","1","7","0","0","10","9","12.566666666667",376.6313230409835,421.24314034713734,35,16,543.2473719463377,937.8908643473158,0.00004583499714266581,-0.0012725701113325961
"Valle d'Aosta","45.716666666667","0","0","2","0","0","02","2","7.3666666666667",48.718865504655696,208.71364194412718,16.49915822768611,17,-87.26214600757099,300.4601700688206,-0.0023377315975728523,0.0014327530166302852
"Veneto","45.733333333333","92","24","264","17","10","05","407","11.85",322.21166739327714,207.4231961704986,235.36614502137354,18,202.4303529605192,-385.5595807355147,0.001973714842214451,-0.005258307134093586
"Trentino-Alto Adige","46.383333333333",3,0,5,0,0,"04",8,"11.416666666667",293.3773299582052,157.1527252669871,32.99831645537222,19,-50.0420334234884,600.4107428353037,0.03724183754533006,-0.011149628453960453
