"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","335","73","783","95","115","13","1401","13.833333333333",458.124498303482,481.1420501172729,14.025853020667194,0,458.06074444198623,481.0661964107615,0.000011794925591208946,0.000009913451656873988
"Basilicata","40.5","37","17","162","3","7","17","226","16.5",631.7883003522712,615.6439377639663,5.633320175030551,1,631.6214958596569,615.502132886651,0.000022050049408643146,0.000025937382221009433
"Calabria","39","132","17","457","17","36","18","659","16.5",638.5478900533218,733.5385737316155,9.619509396380451,2,638.3878977227907,733.3251506471133,0.00003318637304522095,0.00002487812027346401
"Campania","40.75","501","133","1237","88","133","15","2092","14.783333333333",523.3260209727315,596.0262438126024,17.139220100633374,3,523.1980918607404,595.9093698846258,0.00001817339385821908,0.000019892427493423685
"Emilia-Romagna","44.75","3765","353","6835","1477","1644","08","14074","11",273.7755526126515,283.67879560051733,44.454833628309515,4,284.3332466694786,295.3851938707454,-0.00018557023795003432,0.000019297359261635827
"Friuli Venezia Giulia","46.1","215","60","885","320","113","06","1593","13.116666666667",397.94445344900134,179.05170714910764,14.956091167100595,5,399.23853100551344,177.9879204820586,-0.00015805820557910881,0.0009143251897907612
"Lazio","41.9","1127","173","1342","291","162","12","3095","12.716666666667",389.96527268662,505.9151039834651,20.846854850926736,6,389.8643192924755,505.82840762665916,0.000013480911145741424,0.000015697819221736643
"Liguria","44.45","1153","179","1176","480","428","07","3416","8.7666666666667",137.64188625782947,306.98980046466886,21.9012623186621,7,137.5350676170601,306.62853152748687,0.00005617576817868691,0.00001660983988224872
"Lombardia","45.65","11883","1324","11917","10885","7199","03","43208","9.95",206.55634157536247,213.87614012509903,77.891900074418,8,197.13364513395175,209.56509131295113,0.00015750213885970795,-0.00030001239088118327
"Marche","43.316666666667","946","169","2237","21","452","11","3825","13",402.13851075247965,395.2363069295466,23.175330466432094,9,401.91471314635237,395.1160831349386,0.000018694283732607675,0.00003479956660214628
"Molise","41.6997","29","8","80","18","9","14","144","14.6111",508.6091735149422,521.5939880792921,4.496674608079743,10,508.33629813723115,521.162390035858,0.00006711164215624298,0.000042430949307560585
"Piemonte","45.25","3174","452","4456","365","854","01","9301","7.9166666666667",83.45401674780715,244.87483380474941,36.138909050545436,11,80.94599999376382,245.70604456429723,-0.00009577238702551937,0.00039641369517146805
"Puglia","41.008611111111","609","105","940","39","110","16","1803","16.512777777778",630.2278965217012,575.7430948182009,15.911388479836027,12,630.0215567231232,575.6137279502847,0.000020115992364997542,0.000032084952504819355
"Sardegna","40.05","113","28","516","34","31","20","722","9.0833333333333",168.79296369929818,650.9794213715627,10.068825509181398,13,168.72220141984045,650.8188717965788,0.000024964769392666697,0.000011003230550682525
"Sicilia","37.599958333333","503","72","917","74","81","19","1647","14.015377777778",487.1812958869277,843.8301353652855,15.207471648756423,14,487.03275845450105,843.6011771468445,0.00003560201965348879,0.00002309693281394642
"Toscana","43.35","1120","293","2813","138","244","09","4608","11.016666666667",279.53323598135603,392.63687654875775,25.43703286530037,15,278.1019521033624,391.79285559223655,0.00013124163389558046,0.0002225584960479247
"Umbria","42.983333333333","176","43","632","190","37","10","1078","12.566666666667",376.6313230409835,421.24314034713734,12.30324284497879,16,376.5711971591535,421.2255194038398,0.000002739981005544251,0.000009349316400034041
"Valle d'Aosta","45.716666666667","91","26","435","20","56","02","628","7.3666666666667",48.718865504655696,208.71364194412718,9.39052855771739,17,72.3568567727343,200.99411900754217,0.0007045365510877955,-0.003770806022725763
"Veneto","45.733333333333","1680","356","5814","828","477","05","9155","11.85",322.21166739327714,207.4231961704986,35.854146627036734,18,350.4424326885567,192.13813528917763,0.0007828034581011014,0.0010935327161828072
"Trentino-Alto Adige","46.383333333333",603,142,1786,346,240,"04",3117,"11.416666666667",293.3773299582052,157.1527252669871,20.920815864855015,19,295.9227188950014,207.98102495002732,-0.003328678081370458,-0.00010140021961952925
