"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","99","41","109","7","7","13","263","13.833333333333",458.124498303482,481.1420501172729,20.349611391980616,0,458.1543848954776,481.1582024296566,-0.000002511615205824852,-0.000004647236700430832
"Basilicata","40.5","9","2","16","0","0","17","27","16.5",631.7883003522712,615.6439377639663,6.520188146858726,1,631.685797705213,615.583036249952,0.000009469923873563466,0.000015938721396195515
"Calabria","39","45","11","70","2","1","18","129","16.5",638.5478900533218,733.5385737316155,14.251910979969558,2,638.4840984282549,733.4037870691038,0.000020958747148046243,0.000009919323729986556
"Campania","40.75","127","24","272","28","9","15","460","14.783333333333",523.3260209727315,596.0262438126024,26.912693271502278,3,523.2811625630144,596.0517118274347,-0.0000039601669281417206,0.000006975290056181806
"Emilia-Romagna","44.75","1784","247","1884","152","458","08","4525","11",273.7755526126515,283.67879560051733,84.40876335795672,4,8.560292693702037,202.65743503611398,-0.003305653187293136,0.0011647397080764232
"Friuli Venezia Giulia","46.1","128","27","261","15","31","06","462","13.116666666667",397.94445344900134,179.05170714910764,26.97113567099156,5,432.6556686330649,196.59579201103384,0.0005518431692115924,0.00032247706888362536
"Lazio","41.9","374","44","232","42","32","12","724","12.716666666667",389.96527268662,505.9151039834651,33.763505343182686,6,389.9621178896677,506.0113832645895,-0.000014971014721170981,4.905573770796495e-7
"Liguria","44.45","401","100","243","70","73","07","887","8.7666666666667",137.64188625782947,306.98980046466886,37.371459217031955,7,103.2627435901569,126.08016634185955,-0.0019078707749765496,0.0020232418492055174
"Lombardia","45.65","7285","924","4057","3488","1959","03","17713","9.95",206.55634157536247,213.87614012509903,167.00301322651404,8,251.7325109847743,266.53108334484665,0.00012328621522495893,0.000038320643517538647
"Marche","43.316666666667","638","119","719","0","92","11","1568","13",402.13851075247965,395.2363069295466,49.6879724032126,9,405.3345343660165,419.372006676342,0.0000948401418755471,0.00014686777424409228
"Molise","41.6997","7","6","8","6","1","14","28","14.6111",508.6091735149422,521.5939880792921,6.639834606296434,10,508.64592656338925,521.4180145927128,0.000027363121404181927,-0.000005714941189043195
"Piemonte","45.25","1780","227","180","0","154","01","2341","7.9166666666667",83.45401674780715,244.87483380474941,60.71261690044123,11,36.47905767429435,351.8096639663332,0.00525785523856498,-0.0030806070505524936
"Puglia","41.008611111111","156","30","176","2","19","16","383","16.512777777778",630.2278965217012,575.7430948182009,24.557131331423705,12,630.0703394268538,575.7181476979662,0.000003879170055320096,0.000024499451583326106
"Sardegna","40.05","42","7","83","0","2","20","134","9.0833333333333",168.79296369929818,650.9794213715627,14.525485094262788,13,168.73131470057243,650.9256354944783,0.000008363472890724788,0.000009586154535953694
"Sicilia","37.599958333333","100","29","138","12","3","19","282","14.015377777778",487.1812958869277,843.8301353652855,21.071856497394496,14,486.65483958795784,843.1938787140699,0.00009893517671249608,0.00008186169350132179
"Toscana","43.35","427","160","704","17","22","09","1330","11.016666666667",279.53323598135603,392.63687654875775,45.76190195950292,15,310.3327640479434,61.99381775580126,0.00015343589311008838,0.0000297972227064746
"Umbria","42.983333333333","54","21","166","4","2","10","247","12.566666666667",376.6313230409835,421.24314034713734,19.720899618122697,16,459.96491538944144,376.557138041522,-0.002021527002872475,-0.0015116996761057168
"Valle d'Aosta","45.716666666667","41","3","118","0","3","02","165","7.3666666666667",48.718865504655696,208.71364194412718,16.11833649010425,17,69.41698593060123,282.39721349810327,0.005673207888333293,-0.0022052896758338603
"Veneto","45.733333333333","646","195","2112","167","94","05","3214","11.85",322.21166739327714,207.4231961704986,71.13792317119288,18,421.160265880429,99.18029316228683,0.0001734049438330448,0.000023096914890065237
"Trentino-Alto Adige","46.383333333333",220,40,542,13,16,"04",831,"11.416666666667",293.3773299582052,157.1527252669871,36.17251935948531,19,454.62317965592393,255.7719852108817,0.0011748189569001299,0.00008944967739001087
