"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","25","0","5","0","0","13","30",21.27598360422642,"13.833333333333",458.124498303482,481.1420501172729,0,458.1244983022534,481.1420501159659,1.0178691795935703e-12,9.56832189769087e-13
"Basilicata","40.5","2","0","3","0","0","17","5",20.520918125085355,"16.5",631.7883003522712,615.6439377639663,1,631.834338672957,616.821176525287,1.2255557246126925e-12,1.4016758965258636e-12
"Calabria","39","8","0","1","2","0","18","11",20.772646442231743,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","42","8","69","1","0","15","120",22.551967208452837,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209713666,596.0262438110419,1.2152809760454602e-12,1.0629791355975198e-12
"Emilia-Romagna","44.75","576","90","620","30","70","08","1386",28.672934803823,"11",273.7755526126515,283.67879560051733,4,273.7755526118346,283.6787955996107,7.060729153779701e-13,6.361690180477318e-13
"Friuli Venezia Giulia","46.1","18","1","70","3","1","06","93",22.246600963809414,"13.116666666667",397.94445344900134,179.05170714910764,5,397.94445344791603,179.0517071486081,3.89038115451273e-13,8.452282444574077e-13
"Lazio","41.9","55","8","31","3","5","12","102",22.352797513188452,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268556133,505.9151039821766,1.0034578755407651e-12,8.244871745657012e-13
"Liguria","44.45","60","17","20","5","7","07","109",22.432191215411567,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625730432,306.9898004637681,7.014784727790306e-13,4.089690004768708e-13
"Lombardia","45.65","2802","440","1248","646","333","03","5469",37.228141427612584,"9.95",206.55634157536247,213.87614012509903,8,206.55634157497616,213.8761401246448,3.5374327453429796e-13,3.0086024094418254e-13
"Marche","43.316666666667","136","47","130","0","10","11","323",24.186833859916298,"13",402.13851075247965,395.2363069295466,9,404.8788636264411,392.4422748508078,2.2788815105811985e-13,2.3048477189313574e-13
"Molise","41.6997","4","2","8","0","0","14","14",20.871662744711987,"14.6111",508.6091735149422,521.5939880792921,10,508.609173513584,521.5939880778175,1.1484058550010154e-12,1.0577775988798674e-12
"Piemonte","45.25","222","50","65","0","13","01","350",24.358313723559927,"7.9166666666667",83.45401674780715,244.87483380474941,11,83.4540167477055,244.87483380418115,4.4256360251847743e-13,7.917048052843523e-14
"Puglia","41.008611111111","20","6","20","1","3","16","50",21.64728774973421,"16.512777777778",630.2278965217012,575.7430948182009,12,630.186524561002,574.6851789062248,1.2682861271623434e-12,1.315696434857046e-12
"Sardegna","40.05","8","0","11","0","0","20","19",21.015456367138082,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","19","0","33","2","0","19","54",21.711911646335274,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","107","9","90","1","1","09","208",23.359820952158834,"11.016666666667",279.53323598135603,392.63687654875775,15,279.53323598057716,392.6368765475414,9.472671605658355e-13,6.065802626705683e-13
"Umbria","42.983333333333","4","2","22","0","0","10","28",21.232717275387046,"12.566666666667",376.6313230409835,421.24314034713734,16,373.0753915958435,424.86872689433903,1.5418005414047364e-12,1.5491952772700435e-12
"Valle d'Aosta","45.716666666667","4","0","11","0","0","02","15",20.90225665923135,"7.3666666666667",48.718865504655696,208.71364194412718,17,48.71886550443051,208.71364194359268,4.162657804529321e-13,1.753721055230727e-13
"Veneto","45.733333333333","186","51","457","30","20","05","744",26.354347104519476,"11.85",322.21166739327714,207.4231961704986,18,322.2116673924059,207.42319616991873,4.5160709675111847e-13,6.785110357158859e-13
"Trentino-Alto Adige","46.383333333333",18,2,22,0,0,"04",42,21.509764160906098,"11.416666666667",293.3773299582052,157.1527252669871,19,293.377329957427,157.15272526664117,2.693893900436428e-13,6.060943258660391e-13
