"id","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"083000038",269.5218485964116,285.40098245572216,272.78593139050923,287.49304763586554,"0.362",0.541
"153000000",522.0213472791826,595.1485217736482,523.2707755552085,596.7238666240227,"0.240",0.673
"033000041",208.9130799520955,202.81506173503732,200.76457673194207,213.42302169865337,"0.265",0.668
"084000028",271.6697801265495,278.5496836352467,270.4699856108416,279.6819631765333,"0.783",0.452
"031000004",205.38767920624298,211.71408070402038,208.86068045171578,218.84447368700552,"0.014",0.469
"034000114",212.8085754625868,219.0611244967767,212.31510163401882,216.3446312993097,"0.608",0.137
"034000021",201.91348374861212,224.5430468460845,213.17365427316605,215.33307279900248,"0.573",0.444
"033000198",214.011489573695,213.065730901619,207.31197871794737,220.42219092246708,"0.209",0.141
"054000149",320.3292219231944,210.22687343408091,324.28882726844085,206.1816888422592,"0.880",0.64
"054000034",321.28710418216593,210.92347112864672,323.0454575980529,205.1664075197987,"0.843",0.788
"034000075",194.13039078889014,211.6167691130132,207.18224063105453,211.40234477043174,"0.625",0.683
"054000091",323.35955132027317,207.69709841428067,321.949228879632,209.2732009147173,"0.818",0.634
"054000007",317.22842412495316,209.73914428140068,323.4305549991239,210.25427910059548,"0.623",0.556
"034000032",214.40634554408734,209.85267296529344,211.66985232260222,210.86325581542044,"0.550",0.808
"033000044",217.43144759327265,217.01893855565922,202.46892487006386,219.01958188295325,"0.363",0.816
"034000198",205.41293954277938,213.71083940384804,211.27596389285287,208.98946372980313,"0.940",0.303
"084000033",266.49300124962286,282.3793490554989,273.28300366086455,279.01927601923654,"0.611",0.092
"054000030",327.77451128074534,212.08909982299187,323.038540932895,207.55628318582444,"0.497",0.399
"084000099",275.8114511258988,280.85357096414384,277.4448044851585,281.1529449706637,"0.577",0.258
"084000014",279.7234245723978,288.6379117365898,277.23314591667946,284.29660107886144,"0.799",0.842
"034000081",215.6812182563323,209.6569049837304,208.21545241625512,210.49721257041324,"0.815",0.858
"034000061",216.44538106612518,221.35067194939788,207.31399442699387,210.61716338723744,"0.824",0.808
"033000169",201.6587663397334,215.53622909954623,200.0941145156066,213.56236030411074,"0.311",0.784
"033000084",205.80197614847347,204.452481781289,201.86677147543938,218.70038440399412,"0.438",0.262
"112000000",402.79556217506547,392.4367811650646,403.15868951264423,393.52100811252564,"0.043",0.758
"054000153",325.2909195521904,210.56836356672233,324.4802013028256,209.34819953753848,"0.517",0.712
"032000003",206.50010280882,203.9858374124246,206.71148934706514,213.07780630855757,"0.066",0.39
"013000004",83.13091511154178,246.42177395248976,83.26745835772144,246.00574566593923,"0.277",0.388
"035000024",202.97771212786802,224.43597652952454,211.7263854707468,216.46639792083744,"0.961",0.442
"054000148",317.20867970673874,210.64210134959552,317.9298285821099,208.75175781408856,"0.821",0.949
"033000139",215.7579248379132,218.39409869353824,208.25997811738773,218.99176590390874,"0.463",0.603
"033000035",210.08933384518272,201.4979198549719,206.1555167826437,213.82146644978488,"0.267",0.846
"053000001",316.7027656160631,203.0437804101625,325.1253339969316,209.55057711239405,"0.465",0.8
"033000106",209.1566710788463,224.5803133842739,200.80015901192303,217.97581276742238,"0.263",0.606
"054000047",318.61177445799586,202.67562413551533,321.1851542438336,202.65906994165462,"0.900",0.714
"033000148",218.12946910249386,213.08444595389003,208.3201931002908,218.32543849238047,"0.463",0.617
"054000028",327.2258713821611,207.90465592945407,322.9257092340801,205.79713215453287,"0.889",0.252
"053000013",317.7405160700173,207.1586083576164,324.16709306335787,211.157873714788,"0.282",0.326
"054000035",326.1707740445123,201.5744162983416,321.2355902863508,208.36223979439274,"0.600",0.839
"034000073",198.99908341639525,214.3966719465481,207.47223764158645,214.06260549680198,"0.898",0.353
"032000041",207.28531559766276,201.15676906497583,203.96324717498788,206.97256957482512,"0.095",0.393
"035000028",218.69728706489946,212.59735804082598,213.8057291372348,216.52415687271215,"0.981",0.759
"034000090",199.8099883774529,224.315500862805,212.6320566932461,210.8259228989227,"0.883",0.519
"034000140",209.65740319334614,202.5511398314387,208.7274138091596,206.02024372473412,"0.587",0.788
"083000047",269.9606591600628,279.34078476819843,273.0427945399814,285.1544514096997,"0.119",0.969
"084000074",270.897426584621,277.38335594383204,273.55459418634405,278.19224752834657,"0.848",0.036
"034000181",207.12031362059355,215.51693492053803,207.84397330970484,212.64319235487088,"0.748",0.224
"074000029",136.17765823372056,304.0794397062565,137.819959745624,307.966199623078,"0.787",0.926
"074000021",136.6554861454634,309.16771645253016,137.1027901211157,309.6659690589311,"0.777",0.061
"033000025",202.84014861412055,201.59551581056903,204.67424589400312,213.62005793500822,"0.235",0.958
"034000030",197.45166437477522,207.57530539510154,206.99411403879643,205.34217642290767,"0.769",0.044
"032000054",202.7727927405847,209.69345034599513,201.75806025604658,209.90140651379843,"0.033",0.222
"072000000",134.72181668950213,308.3106348829204,137.16656827205838,305.42378675401216,"0.084",0.628
"083000007",270.8739364386863,289.4109854263795,272.99506103248297,288.668609195918,"0.473",0.01
"033000010",208.04661758028698,226.49756233623737,207.25323202928934,218.11872448503718,"0.282",0.94
"094000002",280.28960124549087,393.80490582734194,279.6429689880381,393.6520396366759,"0.602",0.13
"032000062",196.59735545577075,222.37314047331535,200.5940276106424,210.72409664126695,"0.067",0.052
"084000085",277.8096263349202,286.2891634478358,275.92868080886984,283.4575456627407,"0.834",0.754
"033000131",200.95807749134778,218.59417822082622,201.10888335642466,217.35223103705755,"0.317",0.738
"054000012",321.22460061718147,207.88645143668967,323.28879381745,209.56866723933777,"0.888",0.024
"084000107",267.1801024955979,281.84228251793,273.1645855514961,280.2583649159185,"0.856",0.024
"034000213",209.63549683110173,207.9251122784787,211.71347015063515,208.521261215305,"0.880",0.912
"034000197",210.31182170526657,219.06707903624624,207.2470526237374,213.35366698745395,"0.668",0.355
"033000117",199.40201437752117,202.8538667109829,200.03425255903727,215.9963180417971,"0.365",0.123
"032000067",207.46318784871687,202.5337732195275,203.34553068898342,207.32779170841675,"0.029",0.146
"033000068",212.4697177949231,209.4592462681229,205.81389175700986,215.7926963318295,"0.182",0.548
"054000100",320.85706448859884,200.8700466312639,319.63089703702065,203.92887857908923,"0.648",0.266
"034000115",216.5617880532358,217.28678502967907,210.4941980589256,213.95015872884943,"0.602",0.604
"053000017",319.1417815933997,207.53572800077978,322.27902362602765,211.24994423690515,"0.395",0.732
"034000000",203.91327985287302,207.55041500098838,205.82752518011176,211.61635577760293,"0.563",0.046
"031000009",207.95767833084793,211.4962144636122,212.32167133136255,219.358712976385,"0.023",0.994
"083000015",275.55161224902037,287.0413636849216,273.2334495334433,288.0227828779209,"0.367",0.034
"054000093",317.4692239027792,206.07494683017853,318.8837718734208,204.94142185746247,"0.526",0.098
"074000001",139.83693196727373,306.0828240116825,136.85541754502697,307.1722522307334,"0.651",0.697
"032000040",209.18079711168835,217.97048795534184,205.78578726941026,213.30591412624528,"0.075",0.876
"034000004",214.73769195117941,218.4124779776345,209.73059348322593,209.75727946484764,"0.806",0.722
"084000112",275.023231641281,283.456976648935,271.9876340776879,280.6863972306615,"0.549",0.887
"083000004",273.25218094199477,286.74950434274785,276.7105368255815,287.10591576840875,"0.160",0.105
"031000008",204.87756543289714,225.89052531296386,209.64681642166974,221.09967739997893,"0.015",0.896
"054000056",318.4562197085292,204.71230871537009,319.05543983185777,203.5549046505797,"0.761",0.403
"054000095",329.223149193043,206.90986010536184,323.1521315026012,208.91556546813538,"0.569",1
"034000208",199.76344264269372,217.31499406620227,207.45882703222287,207.7240712397202,"0.550",0.44
"083000036",276.21659273581173,278.15225160764186,272.33619995142027,286.9577891647072,"0.200",0.249
"034000082",206.7802650481128,217.17331663212266,210.47493668234404,211.77761921444818,"0.847",0.142
"075000003",138.7690951803623,305.25848431379325,138.48151824814815,304.6657574689887,"0.982",0.435
"054000120",328.72000364227597,204.54152024871257,321.9336409465378,207.32154782665197,"0.788",0.126
"032000026",201.97809924619895,212.7526692460884,204.5338229889475,212.35947416657612,"0.028",0.754
"034000093",210.36910960402975,220.87844326839956,211.79447080507038,215.1666035161955,"0.635",0.305
"032000012",200.53184947988206,216.45427538035113,204.7903797179095,211.65177294328217,"0.113",0.558
"084000050",275.52794255908793,290.289212732483,274.92372133091834,282.77724785250155,"0.825",0.373
"033000208",208.7003138698778,209.94361940620354,203.20017016921233,211.8063089411856,"0.328",0.04
"034000040",203.45948273729846,219.06818051417886,211.2226120981546,212.85652714691892,"0.856",0.597
"084000114",274.0291499575439,284.98554543216136,276.96793737631793,280.64060263020633,"0.480",0.146
"084000078",267.13297315764686,283.63363995789905,270.498325677882,282.16337517778993,"0.685",0.568
"083000041",274.79789487694404,276.59209098253433,273.2429045542947,286.210739307512,"0.416",0.586
"032000055",204.99122364217044,204.94986331327593,205.0306680686185,208.32498357379674,"0.056",0.688
"032000059",208.47268326938632,213.81496089645776,205.8631429498122,210.95234436129485,"0.074",0.323
"033000188",203.76848778380716,200.99477902786955,208.03573929022096,215.69856559441465,"0.405",0.564
"083000072",278.8047876811929,286.02960452321344,277.2137193389897,287.9546407068654,"0.377",0.719
"084000097",277.94889780045855,285.21371610097526,277.1995447442383,281.88370517997697,"0.849",0.62
"054000110",318.7960167581935,208.67967254545093,325.6370323373699,206.46795998640738,"0.847",0.357
"035000009",198.97730745239642,215.6741526955743,209.50898886357967,216.15609936557576,"0.980",0.005
"034000195",214.2993653539213,215.52081356793076,208.72099639854807,207.5809797410656,"0.668",0.837
"054000122",324.22955318670347,208.4821147328213,320.7568681967644,204.67370367017014,"0.911",0.891
"033000017",215.75159417909967,219.42000497135592,209.27290658646876,219.95433253103127,"0.250",0.375
"034000050",211.94035824384005,203.34501444835124,209.42813887408656,216.91384555163597,"0.909",0.636
"083000027",274.990158228404,287.83477399989636,275.8683600938523,287.97574879864425,"0.284",0.452
"084000006",273.7168952462889,289.4916877197688,271.2469196292156,282.3290975459741,"0.736",0.19
"033000233",210.4449589305717,205.72001345424394,200.79930543197148,211.50007050144342,"0.255",0.509
"034000098",210.33979582143658,212.37306124295742,208.40809768438677,211.04870667095435,"0.733",0.223
"054000071",318.2243816125799,210.43679037619478,318.876813739593,208.9057569210509,"0.499",0.113
"033000232",213.77259039021325,221.27652022683094,205.70361876793706,213.79477306064135,"0.358",0.078
"033000177",211.26887947720513,205.26792698421585,202.74514108678702,211.80463060731142,"0.318",0.178
"193000000",487.76056474570936,844.5065865441263,487.15121993652735,844.4354513991415,"0.284",0.022
"034000129",212.93971823987496,206.35654373010325,212.63277209038318,207.594101014424,"0.712",0.214
"054000089",320.6606093557681,204.2304631541931,320.1778395163749,209.78968847549135,"0.938",0.398
"033000053",200.6406586412997,217.42108256990352,204.22348246432622,213.54866478325022,"0.371",0.508
"032000021",200.3247032536193,220.54472832424486,202.90512630621834,207.83345215084145,"0.091",0.221
"033000222",202.7984601054098,216.16676509430098,202.03616946802663,212.7505049571211,"0.350",0.644
"034000060",202.7616143033233,218.68521909179202,207.04070087179352,211.05766732186768,"0.872",0.169
"034000007",200.39429476551834,203.02557518133662,209.08328384780182,215.43214029272076,"0.573",0.231
"034000065",209.00720324487716,218.75544939113328,211.48455178415912,207.88020765098315,"0.844",0.899
"034000024",211.14932635189112,211.76573868563864,207.17409556032038,206.52611420665016,"0.554",0.818
"034000189",217.26263041831302,215.96176884308275,213.0495561854835,212.86032629839247,"0.897",0.921
"033000073",213.95369699439934,224.64721486004083,206.49419888691654,218.95797150900893,"0.181",0.338
"053000012",318.2071056852638,211.32037346164645,322.50661379815585,212.5947262734058,"0.276",0.435
"034000116",206.15862061219065,211.2739268679942,209.4293614492702,211.60259489822482,"0.683",0.203
"034000187",204.20072470697014,206.56009101699107,209.41560311256612,210.7539511909758,"0.578",0.65
"033000176",202.69872019106444,210.61110023315118,199.26539706838804,214.4292142102942,"0.399",0.501
"033000150",212.94136888927247,220.14528956443147,206.52957290309647,221.26548581322209,"0.394",0.916
"084000098",273.0959464405236,288.87622369327556,273.3908612826915,283.6899084947964,"0.881",0.212
"083000039",277.04257506319647,277.711305913341,273.69053803839574,284.958217326759,"0.245",0.188
"083000059",276.63353505096796,290.38153797028605,274.4541468544708,288.3628856978258,"0.203",0.908
"034000165",216.04335136545845,212.1864053627168,213.77891558746796,209.96116784392638,"0.919",0.52
"034000088",212.94546320044566,222.18756461078905,213.38884377674952,215.9958717184646,"0.767",0.068
"032000030",196.82221290145364,213.85498933049823,201.13255160429227,208.90596680232525,"0.033",0.455
"054000044",317.11244875165676,207.82479027763284,318.2179145102705,205.9731135982955,"0.480",0.65
"034000099",208.92172732998574,215.98305231568472,209.10830531037948,213.07483610335862,"0.739",0.11
"125000002",391.0231654687333,505.34724807627623,390.4157033484345,506.5318295817988,"0.998",0.388
"034000036",203.76061203542884,205.0281811122855,209.44693613009815,207.59560411472864,"0.583",0.698
"033000189",199.65136413342452,223.38002582656404,205.1404211425975,213.88493248508098,"0.241",0.284
"033000195",211.59838446222153,226.00340152860528,203.87313701274013,221.6540620173776,"0.173",0.393
"032000000",200.77999901985717,206.24024538821945,207.90925062412737,212.13598975358218,"0.112",0.407
"054000125",329.3497182403636,208.19530269428796,322.23685002468284,203.5733521215279,"0.720",0.341
"032000056",206.2798976923703,217.77413566002383,204.71406450450579,210.43563811727435,"0.029",0.362
"033000172",198.11076210991058,217.7874807702846,199.92612453298258,218.56594332643974,"0.390",0.061
"031000017",198.4039823882444,216.40935429734708,210.60858406029442,218.83665572892664,"0.014",0.182
"054000111",317.46826044282653,212.53776639455066,319.3468581322442,207.38881009435858,"0.565",0.979
"033000023",208.26728547463392,216.2312578887465,207.72147993009264,218.5114761234769,"0.155",0.491
"053000009",322.65638448075634,206.30572315777962,323.6138211902495,211.6052272674923,"0.319",0.702
"035000012",205.94019419064819,206.96644198506823,210.5575562595271,215.55780084472846,"0.996",0.942
"113000003",403.1114679675978,394.34221526091477,402.8833245419719,394.16414171295514,"0.227",0.489
"053000019",329.0948025300319,209.84436325944753,324.60099997186006,210.0201380969051,"0.376",0.058
"054000083",325.8932913305659,211.38876686533868,321.28877258799315,209.02563761708248,"0.886",0.292
"054000036",323.11098681391775,200.86862067436005,317.8649120922307,207.2883668879558,"0.800",0.779
"094000001",278.17018439237796,392.3024140228968,278.4308106737217,392.95751530513644,"0.923",0.021
"054000130",317.94075947509697,203.69791641690162,319.9964698858875,205.64664985038758,"0.882",0.749
"033000175",214.94922354302665,208.92513682132832,206.18116758815444,216.78013576516685,"0.304",0.207
"084000041",277.03303970945103,285.4195919691648,276.85919738430954,283.19032936269645,"0.577",0.213
"033000130",198.89204641577666,211.35618937775584,201.0305398040538,215.5709076902214,"0.186",0.87
"032000047",196.51853237409807,209.75328404072977,200.49977293114856,208.67441825356178,"0.053",0.658
