"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","218","49","272","15","33","13","587",25.64421459223358,"13.833333333333",458.124498303482,481.1420501172729,0,458.1244983021964,481.1420501159687,1.0157045528676736e-12,1.0012322796309315e-12
"Basilicata","40.5","13","10","58","0","0","17","81",22.09665500912466,"16.5",631.7883003522712,615.6439377639663,1,631.9889542578328,620.7748275678434,1.2136677079999102e-12,2.4012430715689147e-12
"Calabria","39","77","17","166","5","8","18","273",23.849158458691615,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","243","99","524","41","29","15","936",27.127256536532464,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209714009,596.0262438110245,1.2288193107336257e-12,1.0362335432863816e-12
"Emilia-Romagna","44.75","2429","269","3692","349","816","08","7555",40.248912370473796,"11",273.7755526126515,283.67879560051733,4,274.60716712549646,284.5423716587296,5.706183247265739e-13,2.766462514798562e-13
"Friuli Venezia Giulia","46.1","163","47","528","89","47","06","874",26.887160165396075,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534478127,179.05170714861046,3.872043576797163e-13,9.256928416952202e-13
"Lazio","41.9","671","79","522","58","53","12","1383",28.663543426077975,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268559174,505.9151039821432,1.0294707366705366e-12,8.007610466260369e-13
"Liguria","44.45","736","132","483","143","171","07","1665",29.505863757867168,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625730108,306.98980046366745,7.798874490731722e-13,4.1149259424330916e-13
"Lombardia","45.65","9439","1142","7304","5865","3456","03","27206",58.42525988178251,"9.95",206.55634157536247,213.87614012509903,8,206.16167617607928,213.46630650061044,4.2477144848382383e-13,4.025532186237302e-13
"Marche","43.316666666667","816","138","1277","6","184","11","2421",31.46256631697935,"13",402.13851075247965,395.2363069295466,9,407.73954978018224,389.5255522496286,2.5580449477397017e-11,2.6120112323058108e-11
"Molise","41.6997","24","7","21","7","7","14","66",21.892589535044568,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351359427,521.5939880778421,1.1291942961110825e-12,1.049719638771198e-12
"Piemonte","45.25","2118","308","1701","10","283","01","4420",35.48800931848625,"7.9166666666667",83.45401674780715,244.87483380474941,11,85.63663661746226,247.14706044162028,6.261488723346975e-14,4.577170673730757e-13
"Puglia","41.008611111111","252","37","459","7","31","16","786",26.531241455211372,"16.512777777778",630.2278965217012,575.7430948182009,12,630.0887137268743,572.1840732984282,1.2688036819114013e-12,6.833690433189279e-13
"Sardegna","40.05","67","16","244","5","7","20","339",24.28927919215775,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","220","55","321","26","8","19","630",25.847291451890133,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","706","215","1223","42","91","09","2277",31.11644649209122,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359806278,392.6368765474631,1.008279679559188e-12,5.671175510734022e-13
"Umbria","42.983333333333","97","35","368","5","16","10","521",25.317448938637988,"12.566666666667",376.6313230409835,421.24314034713734,16,367.9813052363211,430.0625985556765,-3.7492342563894e-11,-3.820438132517978e-11
"Valle d'Aosta","45.716666666667","63","21","270","1","9","02","364",24.44462534455826,"7.3666666666667",48.718865504655696,208.71364194412718,17,44.1186877779464,203.92460537699782,1.1778291883479673e-12,-7.184791823988679e-13
"Veneto","45.733333333333","1113","255","3276","309","169","05","5122",36.672635423131986,"11.85",322.21166739327714,207.4231961704986,18,323.79519982488017,210.18396434528623,-4.277008434916407e-14,1.4628269949523709e-12
"Trentino-Alto Adige","46.383333333333",381,78,1074,41,58,"04",1632,29.411190052753817,"11.416666666667",293.3773299582052,157.1527252669871,19,290.91534151633147,152.86043595478068,9.418067888067317e-13,-2.7207129778272774e-13
