"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","51","14","41","4","2","13","112",22.46543455077409,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830223864,481.1420501159681,1.0161463133959957e-12,9.683216994092176e-13
"Basilicata","40.5","0","2","8","0","0","17","10",20.736689477381674,"16.5",631.7883003522712,615.6439377639663,1,631.8703631717618,617.7423533692856,1.2331289635236774e-12,1.5255738851555934e-12
"Calabria","39","22","4","33","1","0","18","60",21.804513318462703,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","72","17","154","23","6","15","272",23.84210225026726,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209713739,596.026243811036,1.2198957480543988e-12,1.0573168888584085e-12
"Emilia-Romagna","44.75","1076","152","1121","54","241","08","2644",31.978851801439163,"11",273.7755526126515,283.67879560051733,4,273.7755526118264,283.6787955995478,7.550461358316973e-13,6.425575116040889e-13
"Friuli Venezia Giulia","46.1","67","11","193","17","13","06","301",24.04173387559781,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534478868,179.05170714861254,3.8559191413846447e-13,8.679713906137759e-13
"Lazio","41.9","181","25","114","24","13","12","357",24.40168109740247,"12.716666666667",389.96527268662,505.9151039834651,6,389.9652726855701,505.91510398216866,1.00965239570424e-12,8.176287685839127e-13
"Liguria","44.45","213","62","109","52","27","07","463",25.012737493199694,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625730634,306.98980046374663,7.182345348842523e-13,4.0740075060080973e-13
"Lombardia","45.65","4898","732","3429","1660","966","03","11685",45.18249897528405,"9.95",206.55634157536247,213.87614012509903,8,206.55634157501797,213.8761401246631,3.39498486174365e-13,2.682849884264796e-13
"Marche","43.316666666667","449","93","321","0","36","11","899",26.984966256828358,"13",402.13851075247965,395.2363069295466,9,405.84453667919524,391.4576857635653,5.231236928013305e-12,5.3130030323172985e-12
"Molise","41.6997","5","3","9","0","0","14","17",20.960525562566815,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351358523,521.5939880778241,1.143280337458781e-12,1.056805725684103e-12
"Piemonte","45.25","538","150","126","0","59","01","873",26.883219014764094,"7.9166666666667",83.45401674780715,244.87483380474941,11,83.45401674771512,244.87483380417245,4.493320299844881e-13,7.166828482883796e-14
"Puglia","41.008611111111","91","6","59","2","8","16","166",23.00150112593832,"16.512777777778",630.2278965217012,575.7430948182009,12,630.1611985013643,574.0375701827531,1.2579551332894678e-12,1.2322728937513155e-12
"Sardegna","40.05","14","0","33","0","0","20","47",21.59710472875104,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","42","11","97","4","2","19","156",22.909690296736773,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","160","87","367","10","6","09","630",25.847291451890133,"11.016666666667",279.53323598135603,392.63687654875775,15,279.533235980591,392.6368765475231,9.615173445801903e-13,5.957994182850279e-13
"Umbria","42.983333333333","21","11","71","3","1","10","107",22.409774228243844,"12.566666666667",376.6313230409835,421.24314034713734,16,371.2575756188058,426.72215105363784,-5.625490438060376e-12,-5.702916524435997e-12
"Valle d'Aosta","45.716666666667","12","0","29","0","1","02","42",21.509764160906098,"7.3666666666667",48.718865504655696,208.71364194412718,17,48.71886550444665,208.71364194361323,4.002479951545224e-13,1.6280293112386695e-13
"Veneto","45.733333333333","366","119","1290","107","55","05","1937",30.252960327858545,"11.85",322.21166739327714,207.4231961704986,18,322.2116673923627,207.42319616998714,3.983263365559007e-13,7.121698062289082e-13
"Trentino-Alto Adige","46.383333333333",94,19,256,5,5,"04",379,24.535279653187544,"11.416666666667",293.3773299582052,157.1527252669871,19,293.3773299573326,157.1527252665743,3.2147754803998535e-13,6.795712610355463e-13
