"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","185","44","265","13","22","13","529",25.358118356651907,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830220436,481.1420501159704,1.014379271282708e-12,9.950475837717206e-13
"Basilicata","40.5","12","7","47","0","0","17","66",21.892589535044568,"16.5",631.7883003522712,615.6439377639663,1,631.9718457890359,620.3373495757426,1.1943503477884753e-12,2.2819694864197743e-12
"Calabria","39","73","16","136","5","5","18","235",23.571234740673688,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","233","87","473","29","22","15","844",26.767927377385476,"14.783333333333",523.3260209727315,596.0262438126024,3,523.326020971397,596.026243811026,1.2276707333599931e-12,1.0392375169772858e-12
"Emilia-Romagna","44.75","2267","265","3129","329","715","08","6705",39.075848195294284,"11",273.7755526126515,283.67879560051733,4,273.7755526122446,283.678795599861,5.111175994770263e-13,3.1690280237790106e-13
"Friuli Venezia Giulia","46.1","152","37","477","82","42","06","790",26.54783930015891,"13.116666666667",397.94445344900134,179.05170714910764,5,397.94445344783054,179.0517071486132,3.850838895303739e-13,9.117930185616615e-13
"Lazio","41.9","591","70","425","54","50","12","1190",28.036333426638087,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268558947,505.9151039821464,1.0269968770870958e-12,8.02534914021165e-13
"Liguria","44.45","598","129","432","125","152","07","1436",28.827987032262158,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.6418862573043,306.98980046367836,7.714047101127657e-13,4.0899108850328686e-13
"Lombardia","45.65","8258","1093","8019","5050","3095","03","25515",57.21193493485083,"9.95",206.55634157536247,213.87614012509903,8,206.55634157486537,213.87614012452002,4.5092236788645193e-13,3.8713809360014785e-13
"Marche","43.316666666667","742","141","1114","2","154","11","2153",30.809521794421556,"13",402.13851075247965,395.2363069295466,9,407.5306120406873,389.73858275467927,2.507371966303795e-11,2.5618584077041762e-11
"Molise","41.6997","21","6","20","7","7","14","61",21.81948878950044,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351359245,521.5939880778395,1.1312263945413557e-12,1.0511333086763918e-12
"Piemonte","45.25","1976","301","1229","8","238","01","3752",34.269734127132395,"7.9166666666667",83.45401674780715,244.87483380474941,11,85.34739258601661,246.84594158759862,2.481243075586059e-13,2.6770408806386924e-13
"Puglia","41.008611111111","209","33","400","4","29","16","675",26.052521669579498,"16.512777777778",630.2278965217012,575.7430948182009,12,630.0982865728148,572.4288590517541,1.2837512303187636e-12,7.506293113121453e-13
"Sardegna","40.05","65","16","240","5","4","20","330",24.231958853864374,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","206","48","204","26","6","19","490",25.156826341671696,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","664","202","1039","35","72","09","2012",30.4495708467036,"11.016666666667",279.53323598135603,392.63687654875775,15,279.533235980622,392.6368765474728,1.0007021669969472e-12,5.716401687293905e-13
"Umbria","42.983333333333","92","29","326","5","10","10","462",25.007321243651283,"12.566666666667",376.6313230409835,421.24314034713734,16,368.44679557108225,429.5879899887536,-3.60605264398961e-11,-3.6782357368259075e-11
"Valle d'Aosta","45.716666666667","62","15","227","1","8","02","313",24.121512633058007,"7.3666666666667",48.718865504655696,208.71364194412718,17,44.89723034385655,204.73511076235397,7.796292257611359e-13,-2.8667094739698305e-13
"Veneto","45.733333333333","942","249","3023","257","146","05","4617",35.829398186772266,"11.85",322.21166739327714,207.4231961704986,18,323.49703646871825,209.66413924504164,1.0688559412552756e-13,1.190004605272632e-12
"Trentino-Alto Adige","46.383333333333",360,69,891,35,48,"04",1403,28.7259616930003,"11.416666666667",293.3773299582052,157.1527252669871,19,291.37766276899305,153.6664578435376,7.265999000388712e-13,1.3296811568475063e-13
