"id","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"082000003",270.5451494243944,280.95715902287714,273.1545036377351,279.3579599346433,"0.070",0.958
"054000101",319.9517138678737,208.5278011247252,321.54415729037606,207.67173653850512,"0.667",0.74
"034000073",210.38713937225037,205.34079291680027,201.36043759171383,212.1020124347772,"0.499",0.998
"033000182",202.2291047391536,217.21281873510657,209.61119996028103,216.71430189561528,"0.101",0.281
"034000087",201.83928827305093,220.68750296903656,203.08144960656608,219.25038062511504,"0.606",0.599
"084000034",272.5577588693424,278.31817708993555,275.4326534307495,280.6828091386409,"0.807",0.767
"033000201",213.39856030407634,213.90411323904894,212.52137889165164,211.3027305075174,"0.448",0.906
"033000059",213.8988027426171,211.79102283889105,211.83644752303175,210.24571163382123,"0.361",0.671
"084000064",275.7229369905273,278.3713267195214,273.930758442451,286.0151271045515,"0.720",0.686
"052000004",321.1930041975196,211.54953961864376,323.1710253786185,203.27403827328985,"0.075",0.32
"083000001",271.82283481647704,280.30288072472524,271.73541628505706,281.3424423906502,"0.122",0.185
"083000020",271.82704490050145,284.61572164390356,271.9759731987136,283.74340601865833,"0.157",0.267
"033000033",208.7119883978696,216.8846243092808,209.601639982567,215.40918539824756,"0.179",0.414
"084000051",271.53258977106304,281.19478200406513,275.022686049496,281.7697892132813,"0.752",0.438
"083000011",276.3488862629064,286.73802413535833,271.3763762152271,285.88371847034136,"0.455",0.449
"033000099",200.7244331530866,213.22801285842488,208.7092332448256,213.88125560811596,"0.467",0.387
"034000113",203.72701872398807,209.88262395033078,204.7442119662687,216.03482541266803,"0.678",0.641
"034000126",204.58391564581882,203.9063693529342,203.88877306336516,212.7430926059423,"0.619",0.102
"054000114",323.7180130450981,208.386634672543,323.45158206672807,210.04136360874534,"0.492",0.161
"034000155",204.1936472977372,222.9504565130903,204.3439822710504,221.10870074470455,"0.693",0.349
"084000053",275.00822321539243,277.5988462082152,276.8344221046278,285.13131944130896,"0.946",0.977
"084000019",269.85574410491705,283.02307542022015,274.5498828981232,287.15097327062114,"0.568",0.062
"033000132",210.25728225722185,225.6124319607375,208.7175449381913,217.261818571275,"0.116",0.716
"035000007",206.9225456791861,217.8921139717773,204.40705155639876,208.8866122843154,"0.975",0.931
"084000039",272.44493416404384,279.45127251043925,276.2250708991059,283.12673043690705,"0.688",0.705
"035000023",216.85262871525964,210.38076758716176,207.62985626923944,206.48029801969466,"0.989",0.491
"033000200",202.30355218041655,223.42733296932707,209.60724861831412,212.37141629252702,"0.478",0.689
"054000084",320.22457160016944,206.4283552031204,322.8334902372128,208.2402767875022,"0.573",0.277
"035000029",202.0689521165236,215.78953853322076,205.99804205174075,208.07766659305977,"0.982",0.393
"014000003",82.05347799126828,245.54000507573096,82.7708270805443,244.11240955453252,"0.901",0.5
"034000160",200.26183159681554,222.51896464806006,200.45655231662843,216.6421323021344,"0.679",0.584
"083000043",275.64510699418986,287.6912916559643,270.12207751118456,285.90177297214177,"0.279",0.121
"054000022",326.3879299668073,211.94749213553305,325.841296323422,208.37541268695696,"0.624",0.501
"034000078",217.79811071480697,208.90714371009022,202.49797485793837,219.5869606195896,"0.514",0.103
"083000037",275.4689387912708,285.37653809482083,270.6758312770317,283.8931104427006,"0.416",0.56
"054000107",325.4686732883786,212.14768192603916,321.54644889195305,210.35786522119776,"0.740",0.162
"034000058",202.03280340958776,209.56830048099863,202.68316267155132,216.58958530052266,"0.897",0.126
"035000014",199.57188159788737,220.4541263544448,202.84174570122772,208.0532709515399,"0.961",0.119
"032000022",206.11132479092757,220.2461636784974,203.2629763156771,212.58181164327286,"0.082",0.074
"034000123",206.6038893271014,221.4496522078319,199.30742197825447,216.5851801358694,"0.801",0.815
"112000001",403.61645628206196,393.85517171956553,404.2679614270862,394.05799097726583,"0.040",0.465
"054000104",327.5549214458749,203.9303967806708,323.98212433555625,206.7286946507603,"0.551",0.757
"033000109",203.57889963679858,224.12216776678187,209.70111182279481,219.69415434233133,"0.158",0.608
"033000217",215.65645635715646,214.93890556207367,211.262923209625,212.5632502317899,"0.123",0.164
"034000147",198.26353859390815,222.0513450655366,201.79530765048406,218.61308754394295,"0.577",0.779
"084000036",271.7075860788854,286.80977104834756,274.0235808784108,286.68747723041565,"0.755",0.257
"014000002",84.86046649369894,245.36617896519152,83.95046478697769,244.86540421291065,"0.512",0.963
"034000053",207.84962435576713,216.38712973437075,204.6576234299471,214.85797102339134,"0.772",0.054
"054000085",317.9143824956459,205.68312573447136,320.9034602648795,207.3806637658801,"0.655",0.713
"034000164",212.26000516572694,206.29281216606265,203.1352541105081,211.90165167954203,"0.786",0.143
