"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","248","59","431","23","52","13","813",26.642472106731105,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830217616,481.14205011596493,1.018620172491736e-12,1.01698565853693e-12
"Basilicata","40.5","20","14","78","0","1","17","113",22.476416496221738,"16.5",631.7883003522712,615.6439377639663,1,632.0297618791178,621.8183128913884,1.1754849697787061e-12,2.495918397090943e-12
"Calabria","39","93","23","217","7","11","18","351",24.364535445105158,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","318","123","631","53","74","15","1199",28.066665679918632,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209714084,596.02624381102,1.2323581916421315e-12,1.0303975714439065e-12
"Emilia-Romagna","44.75","3180","294","4782","721","1077","08","10054",43.358981732296,"11",273.7755526126515,283.67879560051733,4,277.6613857715963,287.7139734755477,8.090200384613943e-13,1.1761945584165545e-14
"Friuli Venezia Giulia","46.1","200","52","659","158","70","06","1139",27.86224057601062,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534477607,179.05170714860338,3.927068233529069e-13,9.662012488215808e-13
"Lazio","41.9","805","101","769","131","95","12","1901",30.157235573458742,"12.716666666667",389.96527268662,505.9151039834651,6,389.9652726855991,505.9151039821358,1.0352297029734563e-12,7.950623352098487e-13
"Liguria","44.45","927","147","752","225","254","07","2305",31.18458646944825,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625731381,306.9898004636529,7.912174928012781e-13,4.015766893805278e-13
"Lombardia","45.65","10026","1236","9329","7281","4474","03","32346",61.89814136009082,"9.95",206.55634157536247,213.87614012509903,8,204.64962087309218,211.89613818535076,2.898920686833506e-13,5.426760603388647e-13
"Marche","43.316666666667","938","148","1553","8","287","11","2934",32.618697265459055,"13",402.13851075247965,395.2363069295466,9,408.29115501931756,388.96314195605675,1.8806017420408548e-11,1.9220490043297956e-11
"Molise","41.6997","26","7","20","12","8","14","73",21.99042536117776,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351359825,521.593988077847,1.125395155410481e-12,1.046627314935424e-12
"Piemonte","45.25","2544","381","2631","19","449","01","6024",38.08118743273051,"7.9166666666667",83.45401674780715,244.87483380474941,11,86.03457393503616,247.56133495155856,-5.314690094265772e-13,1.0493954663570725e-12
"Puglia","41.008611111111","349","64","610","22","48","16","1093",27.701840981160114,"16.512777777778",630.2278965217012,575.7430948182009,12,630.068937628935,571.6783817812809,1.2915876701491413e-12,6.688833975631095e-13
"Sardegna","40.05","82","19","311","12","18","20","442",24.897738586832876,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","259","80","597","33","25","19","994",27.34476083864118,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","999","251","1526","54","142","09","2972",32.70015054810085,"11.016666666667",279.53323598135603,392.63687654875775,15,279.53323598063724,392.6368765474316,1.0327947128286575e-12,5.597818622331614e-13
"Umbria","42.983333333333","123","44","519","5","19","10","710",26.20745587274098,"12.566666666667",376.6313230409835,421.24314034713734,16,367.100173058995,430.960990688859,-2.7135967951841256e-11,-2.7623145437694062e-11
"Valle d'Aosta","45.716666666667","70","25","280","2","24","02","401",24.665053759819248,"7.3666666666667",48.718865504655696,208.71364194412718,17,42.56751719472665,202.3097519723042,2.6847542418384495e-12,-2.2887707354368736e-12
"Veneto","45.733333333333","1407","316","4022","439","258","05","6442",38.69798585184725,"11.85",322.21166739327714,207.4231961704986,18,324.3901713201228,211.22125182931558,-5.253595735527083e-13,2.3291681083836835e-12
"Trentino-Alto Adige","46.383333333333",498,105,1203,157,117,"04",2080,30.62468673917754,"11.416666666667",293.3773299582052,157.1527252669871,19,289.8988319384042,151.08822893159711,1.7740834842849829e-12,-1.6856953333199697e-12
