"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","311","70","646","30","76","13","1133",27.841504960364233,"13.833333333333",458.124498303482,481.1420501172729,0,458.1244983021711,481.142050115972,1.0131423350126998e-12,1.0209174060352206e-12
"Basilicata","40.5","26","19","133","1","3","17","182",23.142824720970744,"16.5",631.7883003522712,615.6439377639663,1,632.076518060319,623.0139078845807,1.1703939900575832e-12,1.9241535285669656e-12
"Calabria","39","107","22","394","11","21","18","555",25.48821299948452,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516185,733.5385737296148,1.5581845602443852e-12,1.3265009030450885e-12
"Campania","40.75","463","132","812","76","109","15","1592",29.295141347215377,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209714185,596.0262438110166,1.235008754812251e-12,1.0225002552710448e-12
"Emilia-Romagna","44.75","3695","316","5953","1075","1344","08","12383",45.92372483631368,"11",273.7755526126515,283.67879560051733,4,280.9288727076634,291.1070401496081,9.832954762922785e-13,-1.6728337465243826e-13
"Friuli Venezia Giulia","46.1","223","59","838","229","87","06","1436",28.827987032262158,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534476844,179.05170714860188,3.9388581567654956e-13,1.025600067719895e-12
"Lazio","41.9","985","133","1063","200","124","12","2505",31.659725649184995,"12.716666666667",389.96527268662,505.9151039834651,6,389.9652726856063,505.9151039821268,1.0422095813145203e-12,7.89450448126461e-13
"Liguria","44.45","1031","167","888","378","358","07","2822",32.37550617765403,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625743034,306.9898004637603,7.0757490117426e-13,3.1082880112346345e-13
"Lombardia","45.65","11152","1319","12038","8962","5944","03","39415",66.25037219583811,"9.95",206.55634157536247,213.87614012509903,8,203.11913822466033,210.30683430418242,1.4610916643231774e-13,6.723107747602652e-13
"Marche","43.316666666667","987","166","1846","10","364","11","3373",33.52983926461915,"13",402.13851075247965,395.2363069295466,9,408.9222537417384,388.31968110301005,-4.91817237976977e-12,-4.9703098407849474e-12
"Molise","41.6997","26","9","63","16","9","14","123",22.583669880004802,"14.6111",508.6091735149422,521.5939880792921,10,508.6091735135828,521.5939880778383,1.1321982708470226e-12,1.0587052959921091e-12
"Piemonte","45.25","3094","439","3318","203","617","01","7671",40.40377181468445,"7.9166666666667",83.45401674780715,244.87483380474941,11,86.4781019172255,248.02307183993508,-2.0355123836468536e-12,2.681906910093068e-12
"Puglia","41.008611111111","563","98","697","29","71","16","1458",28.89535384856474,"16.512777777778",630.2278965217012,575.7430948182009,12,630.0430133575722,571.0154762980533,1.2902543616855056e-12,1.0681200878197988e-12
"Sardegna","40.05","95","22","452","29","26","20","624",25.819380593473547,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","441","71","730","60","57","19","1359",28.588042697200287,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","1093","277","2141","108","198","09","3817",34.39280848439938,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359806504,392.6368765473627,1.0864558985773607e-12,5.49565174807115e-13
"Umbria","42.983333333333","159","44","695","43","28","10","969",27.251808968224747,"12.566666666667",376.6313230409835,421.24314034713734,16,366.36200374981905,431.7136194184765,9.390745472903639e-12,9.651343786665211e-12
"Valle d'Aosta","45.716666666667","90","26","352","2","41","02","511",25.26617050891227,"7.3666666666667",48.718865504655696,208.71364194412718,17,40.985669952614536,200.66296247847183,6.866040548614283e-12,-6.5898885306947535e-12
"Veneto","45.733333333333","1559","344","5010","655","362","05","7930",40.745364040317774,"11.85",322.21166739327714,207.4231961704986,18,324.99285336547905,212.27198206631397,-3.5037285572858675e-13,2.086983580742996e-12
"Trentino-Alto Adige","46.383333333333",576,123,1464,267,184,"04",2614,31.910699237349064,"11.416666666667",293.3773299582052,157.1527252669871,19,288.8429929658412,149.247454110168,1.72089426042632e-12,-1.5142350914820745e-12
