"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","7","0","0","0","0","13","7",20.616358637693523,"13.833333333333",458.124498303482,481.1420501172729,0,458.124498302253,481.14205011596755,1.0165880740614417e-12,9.571414221389122e-13
"Basilicata","40.5","0","0","1","0","0","17","1",20.232961667680517,"16.5",631.7883003522712,615.6439377639663,1,631.8082937606774,616.1551861344203,1.2451072724933842e-12,1.3536843378820963e-12
"Calabria","39","0","0","1","0","0","18","1",20.232961667680517,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","11","0","20","0","0","15","31",21.29707567121704,"14.783333333333",523.3260209727315,596.0262438126024,3,523.326020971362,596.0262438110462,1.2119235953516109e-12,1.0665134733578844e-12
"Emilia-Romagna","44.75","256","26","234","6","22","08","544",25.433553110352147,"11",273.7755526126515,283.67879560051733,4,273.77555261184483,283.6787955996616,6.66434045721262e-13,6.282123221513445e-13
"Friuli Venezia Giulia","46.1","3","0","15","0","0","06","18",20.988372649840528,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534479307,179.0517071486058,3.908272457752281e-13,8.33812714816873e-13
"Lazio","41.9","15","3","9","3","0","12","30",21.27598360422642,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268556133,505.9151039821766,1.0034578755407651e-12,8.244871745657012e-13
"Liguria","44.45","10","3","8","4","1","07","26",21.187876089422076,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625732223,306.98980046377056,6.995789022643354e-13,3.950344564339048e-13
"Lombardia","45.65","877","209","411","250","73","03","1820",29.938484404950696,"9.95",206.55634157536247,213.87614012509903,8,206.55634157495078,213.87614012462893,3.661079308962583e-13,3.2061611500953615e-13
"Marche","43.316666666667","34","15","31","0","4","11","84",22.135128952338242,"13",402.13851075247965,395.2363069295466,9,404.231192643162,393.1026326911317,-2.998838156964556e-14,-5.309776056339199e-14
"Molise","41.6997","3","0","0","0","0","14","3",20.403501444638632,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351358546,521.5939880778163,1.1492893760666778e-12,1.056612368590593e-12
"Piemonte","45.25","26","13","43","0","0","01","82",22.10955762326987,"7.9166666666667",83.45401674780715,244.87483380474941,11,83.45401674770712,244.87483380419118,4.3473713423834666e-13,7.790003461572249e-14
"Puglia","41.008611111111","4","0","3","1","1","16","9",20.698885003041553,"16.512777777778",630.2278965217012,575.7430948182009,12,630.2087930663085,575.2546033830191,1.2546212116090748e-12,1.3506254190005566e-12
"Sardegna","40.05","1","0","1","0","0","20","2",20.32945754994684,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","5","0","11","2","0","19","18",20.988372649840528,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","15","2","20","1","0","09","38",21.436072166404788,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359805835,392.63687654756444,9.293255025014304e-13,6.01632129782701e-13
"Umbria","42.983333333333","1","1","7","0","0","10","9",20.698885003041553,"12.566666666667",376.6313230409835,421.24314034713734,16,374.2381537255432,423.68318808203134,1.7507084323908905e-12,1.7741863967551951e-12
"Valle d'Aosta","45.716666666667","0","0","0","0","0","02","0",20,"7.3666666666667",48.718865504655696,208.71364194412718,17,48.718865504417636,208.71364194357727,4.2825014666568595e-13,1.853971593171651e-13
"Veneto","45.733333333333","76","23","246","9","6","05","360",24.42013686429003,"11.85",322.21166739327714,207.4231961704986,18,322.2116673924587,207.42319616990977,4.585834234561667e-13,6.373617721508574e-13
"Trentino-Alto Adige","46.383333333333",2,0,4,0,0,"04",6,20.570637215445092,"11.416666666667",293.3773299582052,157.1527252669871,19,293.37732995743175,157.15272526663207,2.764833659421356e-13,6.023831226808501e-13
