"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","1","0","0","0","0","13","1",20.232961667680517,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830225404,481.1420501159699,1.0147768557581961e-12,9.563462531876929e-13
"Basilicata","40.5","0","0","0","0","0","17","0",20,"16.5",631.7883003522712,615.6439377639663,1,631.7942618035462,615.7963771469318,1.2540081765956972e-12,1.338468841528595e-12
"Calabria","39","0","0","0","0","0","18","0",20,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","2","0","1","0","0","15","3",20.403501444638632,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209713617,596.0262438110464,1.2118352432459468e-12,1.0667785296748764e-12
"Emilia-Romagna","44.75","36","6","54","0","1","08","97",22.2944063382547,"11",273.7755526126515,283.67879560051733,4,273.77555261185023,283.6787955996976,6.384049446166046e-13,6.240155971264705e-13
"Friuli Venezia Giulia","46.1","0","0","0","0","0","06","0",20,"13.116666666667",397.94445344900134,179.05170714910764,5,397.94445344794417,179.05170714860398,3.922429747546452e-13,8.232944209085277e-13
"Lazio","41.9","0","0","0","3","0","12","3",20.403501444638632,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268556133,505.9151039821766,1.0034578755407651e-12,8.244871745657012e-13
"Liguria","44.45","9","0","10","0","0","07","19",21.015456367138082,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625733703,306.9898004637726,6.979885533012612e-13,3.834884001833456e-13
"Lombardia","45.65","172","41","136","40","14","03","403",24.6766728407299,"9.95",206.55634157536247,213.87614012509903,8,206.5563415749431,213.87614012460674,3.833779600512656e-13,3.2658395971677475e-13
"Marche","43.316666666667","2","1","0","0","0","11","3",20.403501444638632,"13",402.13851075247965,395.2363069295466,9,403.50269498243796,393.8454004743427,4.0367052148854165e-13,3.6963056313649153e-13
"Molise","41.6997","0","0","0","0","0","14","0",20,"14.6111",508.6091735149422,521.5939880792921,10,508.6091735135885,521.5939880778166,1.1491126718463302e-12,1.0542701456718237e-12
"Piemonte","45.25","2","0","0","0","0","01","2",20.32945754994684,"7.9166666666667",83.45401674780715,244.87483380474941,11,83.45401674770928,244.87483380419377,4.3272667439572665e-13,7.621433961963649e-14
"Puglia","41.008611111111","1","0","0","0","0","16","1",20.232961667680517,"16.512777777778",630.2278965217012,575.7430948182009,12,630.2220715565917,575.5941455872232,1.2461729402297312e-12,1.3645282398506878e-12
"Sardegna","40.05","0","0","0","0","0","20","0",20,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","1","0","1","2","0","19","4",20.465923335361037,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","2","0","0","0","0","09","2",20.32945754994684,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359805896,392.63687654758394,9.141343971504993e-13,5.969038196059193e-13
"Umbria","42.983333333333","0","0","0","0","0","10","0",20,"12.566666666667",376.6313230409835,421.24314034713734,16,375.2115385094506,422.6907362222216,1.2156981801444977e-12,1.2388873130500521e-12
"Valle d'Aosta","45.716666666667","0","0","0","0","0","02","0",20,"7.3666666666667",48.718865504655696,208.71364194412718,17,48.71886550441553,208.71364194357412,4.307154804086317e-13,1.8703431453267993e-13
"Veneto","45.733333333333","19","8","82","0","2","05","111",22.45440346836908,"11.85",322.21166739327714,207.4231961704986,18,322.2116673924703,207.42319616989963,4.664739857073059e-13,6.283448503098405e-13
"Trentino-Alto Adige","46.383333333333",1,0,0,0,0,"04",1,20.232961667680517,"11.416666666667",293.3773299582052,157.1527252669871,19,293.3773299574279,157.15272526664128,2.69301037641617e-13,6.053875089889892e-13
