"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","8","0","0","0","0","13","8",20.658915099893683,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830225427,481.14205011596766,1.0164997219557778e-12,9.561695489763649e-13
"Basilicata","40.5","0","0","1","0","0","17","1",20.232961667680517,"16.5",631.7883003522712,615.6439377639663,1,631.8119368568514,616.248343178584,1.2383024618721482e-12,1.3588179094691259e-12
"Calabria","39","1","0","1","0","0","18","2",20.32945754994684,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","12","0","33","0","0","15","45",21.562754375256063,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209713627,596.0262438110453,1.212630412260402e-12,1.065983360721588e-12
"Emilia-Romagna","44.75","327","32","299","10","30","08","698",26.15477495516486,"11",273.7755526126515,283.67879560051733,4,273.77555261184364,283.678795599654,6.723536869839724e-13,6.291400192608168e-13
"Friuli Venezia Giulia","46.1","4","0","17","0","0","06","21",21.067564476169117,"13.116666666667",397.94445344900134,179.05170714910764,5,397.94445344792877,179.05170714860614,3.90562189458236e-13,8.353147007530568e-13
"Lazio","41.9","20","7","14","3","0","12","44",21.545292884463482,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268556133,505.9151039821766,1.0034578755407651e-12,8.244871745657012e-13
"Liguria","44.45","11","3","7","4","3","07","28",21.232717275387046,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.6418862573198,306.9898004637704,6.997114306461723e-13,3.9691270283942914e-13
"Lombardia","45.65","1169","244","364","376","98","03","2251",31.052797519529,"9.95",206.55634157536247,213.87614012509903,8,206.5563415749521,213.87614012463368,3.624084917895406e-13,3.1957797776430723e-13
"Marche","43.316666666667","57","19","44","0","4","11","124",22.594151342434074,"13",402.13851075247965,395.2363069295466,9,404.3320955135638,392.9997532922628,-6.426656082303417e-14,-8.461890042832376e-14
"Molise","41.6997","4","0","3","0","0","14","7",20.616358637693523,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351358506,521.5939880778163,1.1492893760666778e-12,1.0569382538426212e-12
"Piemonte","45.25","43","17","46","0","2","01","108",22.4210086678318,"7.9166666666667",83.45401674780715,244.87483380474941,11,83.4540167477052,244.8748338041886,4.367524579630843e-13,7.940240480580336e-14
"Puglia","41.008611111111","5","1","6","1","1","16","14",20.871662744711987,"16.512777777778",630.2278965217012,575.7430948182009,12,630.2056844974638,575.1751146538891,1.2598139328620638e-12,1.3477817698156168e-12
"Sardegna","40.05","2","0","0","0","0","20","2",20.32945754994684,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","5","0","11","2","0","19","18",20.988372649840528,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","26","3","31","1","0","09","61",21.81948878950044,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359805823,392.6368765475596,9.330804995731077e-13,6.026040029450103e-13
"Umbria","42.983333333333","1","1","7","0","0","10","9",20.698885003041553,"12.566666666667",376.6313230409835,421.24314034713734,16,374.0176420203207,423.90801926459903,1.8310765664136806e-12,1.856778142697579e-12
"Valle d'Aosta","45.716666666667","0","0","2","0","0","02","2",20.32945754994684,"7.3666666666667",48.718865504655696,208.71364194412718,17,48.718865504419966,208.7136419435805,4.2572881542559643e-13,1.835816229210119e-13
"Veneto","45.733333333333","92","24","264","17","10","05","407",24.699824827975466,"11.85",322.21166739327714,207.4231961704986,18,322.21166739245325,207.42319616991043,4.580751673263485e-13,6.416298144945605e-13
"Trentino-Alto Adige","46.383333333333",3,0,5,0,0,"04",8,20.658915099893683,"11.416666666667",293.3773299582052,157.1527252669871,19,293.37732995743477,157.15272526663358,2.753127000593926e-13,6.000403389474463e-13
