"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","234","57","331","21","46","13","689",26.114966435005854,"13.833333333333",458.124498303482,481.1420501172729,0,458.1244983021845,481.1420501159664,1.0174715951180824e-12,1.0104917407080484e-12
"Basilicata","40.5","14","12","65","0","1","17","92",22.234489819171458,"16.5",631.7883003522712,615.6439377639663,1,632.0164800740284,621.4786859255278,1.1928570110841807e-12,2.515114963627836e-12
"Calabria","39","88","21","195","5","10","18","319",24.160828429064058,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","345","181","466","53","56","15","1101",27.729975653774417,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209714055,596.0262438110212,1.231386318479827e-12,1.0326947261911722e-12
"Emilia-Romagna","44.75","2974","291","4446","558","985","08","9254",42.41037966396259,"11",273.7755526126515,283.67879560051733,4,276.7271808131401,286.7438641000144,7.473905608984533e-13,9.847864711198806e-14
"Friuli Venezia Giulia","46.1","195","49","604","80","64","06","992",27.33736802263728,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534477843,179.05170714860353,3.925963832208268e-13,9.477972731998218e-13
"Lazio","41.9","747","94","704","103","80","12","1728",29.684034671327197,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268559595,505.9151039821379,1.0335898817916046e-12,7.97492018116254e-13
"Liguria","44.45","803","147","742","193","231","07","2116",30.716236713303815,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.6418862573045,306.98980046365006,7.934278031884607e-13,4.088364723183748e-13
"Lombardia","45.65","9711","1194","8963","6657","4178","03","30703",60.820176000311506,"9.95",206.55634157536247,213.87614012509903,8,205.1211475200922,212.38578707545898,3.3612377204478295e-13,4.917618395827716e-13
"Marche","43.316666666667","862","149","1486","8","231","11","2736",32.185476405656985,"13",402.13851075247965,395.2363069295466,9,408.1158275042885,389.1419038465959,2.2578685275609357e-11,2.3078106092810913e-11
"Molise","41.6997","27","7","21","10","8","14","73",21.99042536117776,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351359785,521.5939880778456,1.1265437327988053e-12,1.046936547442374e-12
"Piemonte","45.25","2404","360","2360","17","374","01","5515",37.30044304131577,"7.9166666666667",83.45401674780715,244.87483380474941,11,85.9439345116109,247.46697435460675,-3.15313010076923e-13,8.310236613434662e-13
"Puglia","41.008611111111","317","57","566","21","44","16","1005",27.385289046579725,"16.512777777778",630.2278965217012,575.7430948182009,12,630.0774795870207,571.8968068587011,1.280019189600634e-12,6.515903132808462e-13
"Sardegna","40.05","80","19","296","11","15","20","421",24.7799737817454,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","250","60","489","27","20","19","846",26.775941503789774,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","918","244","1357","51","129","09","2699",32.10280145686564,"11.016666666667",279.53323598135603,392.63687654875775,15,279.53323598063355,392.6368765474424,1.0243631382405951e-12,5.626534016524085e-13
"Umbria","42.983333333333","105","43","476","5","19","10","648",25.930235899043158,"12.566666666667",376.6313230409835,421.24314034713734,16,367.4223072197038,430.63254644864253,-3.278775844578474e-11,-3.34154100223305e-11
"Valle d'Aosta","45.716666666667","71","20","288","2","19","02","400",24.659233353610357,"7.3666666666667",48.718865504655696,208.71364194412718,17,43.02176549613414,202.78264929569139,2.092791044627784e-12,-1.6803673036358545e-12
"Veneto","45.733333333333","1318","304","3729","381","216","05","5948",37.966767445572586,"11.85",322.21166739327714,207.4231961704986,18,324.16208956496155,210.8236086614236,-2.9375148147270377e-13,1.9052267576091796e-12
"Trentino-Alto Adige","46.383333333333",474,87,1113,123,94,"04",1891,30.130484840749272,"11.416666666667",293.3773299582052,157.1527252669871,19,290.280455290038,151.75356017822617,1.3446020338814256e-12,-9.72870612195309e-13
