"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","190","48","184","10","17","13","449",24.936369236109787,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830221215,481.1420501159717,1.01336321527686e-12,9.889512842272689e-13
"Basilicata","40.5","8","5","39","0","0","17","52",21.67991047607942,"16.5",631.7883003522712,615.6439377639663,1,631.9559592642854,619.9311177238957,1.220741736862596e-12,2.151575857582688e-12
"Calabria","39","71","16","114","2","4","18","207",23.351734728757187,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","130","41","531","30","17","15","749",26.375663323745815,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209713942,596.026243811028,1.2260803954580403e-12,1.0414464752825048e-12
"Emilia-Romagna","44.75","2083","267","2739","239","640","08","5968",37.99694849732744,"11",273.7755526126515,283.67879560051733,4,273.7755526121109,283.6787955997588,5.90712890255026e-13,4.2099235002238946e-13
"Friuli Venezia Giulia","46.1","143","32","380","63","38","06","656",25.9667300028716,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534478468,179.0517071486153,3.8342213610409765e-13,8.991499965501284e-13
"Lazio","41.9","537","47","328","53","43","12","1008",27.39630365232228,"12.716666666667",389.96527268662,505.9151039834651,6,389.9652726855867,505.91510398214984,1.024274786134931e-12,8.046995407837323e-13
"Liguria","44.45","573","121","307","101","119","07","1221",28.140335388727166,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625729494,306.9898004636923,7.605245234630525e-13,4.162878687755826e-13
"Lombardia","45.65","7735","1050","6635","4295","2549","03","22264",54.760503879825684,"9.95",206.55634157536247,213.87614012509903,8,206.55634157491687,213.87614012456973,4.1222149925643455e-13,3.470245770033113e-13
"Marche","43.316666666667","704","138","1002","0","137","11","1981",30.36875718605729,"13",402.13851075247965,395.2363069295466,9,407.2981722829722,389.9755756508288,2.3174972097611545e-11,2.3646418156886284e-11
"Molise","41.6997","20","6","13","6","5","14","50",21.64728774973421,"14.6111",508.6091735149422,521.5939880792921,10,508.6091735135912,521.5939880778377,1.1326400313753432e-12,1.0521496941709155e-12
"Piemonte","45.25","1541","280","1423","8","209","01","3461",33.70519648614995,"7.9166666666667",83.45401674780715,244.87483380474941,11,85.14643825884774,246.63673714402404,3.270296143262352e-13,1.9292165521350712e-13
"Puglia","41.008611111111","191","31","329","4","26","16","581",25.61529442963871,"16.512777777778",630.2278965217012,575.7430948182009,12,630.1077965460596,572.67203709762,1.264918378374169e-12,8.299499474717468e-13
"Sardegna","40.05","56","15","217","3","2","20","293",23.98766142147086,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","168","42","169","25","4","19","408",24.70559502637691,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","601","189","923","33","47","09","1793",29.86448942039166,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359806175,392.63687654748185,9.936339500810955e-13,5.751306539546755e-13
"Umbria","42.983333333333","75","24","285","4","7","10","395",24.63002157126214,"12.566666666667",376.6313230409835,421.24314034713734,16,368.7871770612603,429.24094094684824,-3.322672709887841e-11,-3.384847402365665e-11
"Valle d'Aosta","45.716666666667","54","9","194","0","7","02","264",23.785179070089132,"7.3666666666667",48.718865504655696,208.71364194412718,17,45.32034877348402,205.1756001854068,6.26039584755711e-13,-1.2158854652277728e-13
"Veneto","45.733333333333","843","236","2598","223","131","05","4031",34.79077279018291,"11.85",322.21166739327714,207.4231961704986,18,323.1664965494578,209.08786807344768,2.334376181939435e-13,9.589131897379255e-13
"Trentino-Alto Adige","46.383333333333",297,58,775,30,30,"04",1190,28.036333426638087,"11.416666666667",293.3773299582052,157.1527252669871,19,291.9070115607892,154.5893371407435,5.437289941206957e-13,4.556199167948805e-13
