"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","329","68","772","36","88","13","1293",28.376907676510168,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830216894,481.1420501159749,1.0108893254068773e-12,1.022596096127271e-12
"Basilicata","40.5","32","18","147","1","4","17","202",23.31100739940499,"16.5",631.7883003522712,615.6439377639663,1,632.0875382702766,623.2957039407866,1.2725635649413202e-12,1.6095160523376533e-12
"Calabria","39","124","19","434","12","25","18","614",25.772562611666643,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516181,733.5385737296133,1.5593331376180243e-12,1.3268543114677448e-12
"Campania","40.75","476","135","945","86","117","15","1759",29.770513436474584,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209714209,596.0262438110158,1.2356272195518992e-12,1.0206448610318693e-12
"Emilia-Romagna","44.75","3769","333","6433","1141","1443","08","13119",46.68301083844838,"11",273.7755526126515,283.67879560051733,4,281.7048204232143,291.9128099618084,9.71786193182389e-13,-1.7526657208888353e-13
"Friuli Venezia Giulia","46.1","236","60","845","241","98","06","1480",28.962214298964415,"13.116666666667",397.94445344900134,179.05170714910764,5,397.94445344766416,179.05170714859855,3.9647020683703125e-13,1.0413702360873712e-12
"Lazio","41.9","1062","133","1167","208","136","12","2706",32.118485923355635,"12.716666666667",389.96527268662,505.9151039834651,6,389.9652726856095,505.9151039821246,1.0439324473749724e-12,7.869764624021227e-13
"Liguria","44.45","1077","166","1036","420","377","07","3076",32.92044977389368,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.641886257472,306.98980046380433,6.732813840934536e-13,2.783887749138733e-13
"Lombardia","45.65","11613","1328","12451","9255","6360","03","41007",67.17516911382796,"9.95",206.55634157536247,213.87614012509903,8,202.72691923923452,209.89954111695337,1.3151485109275106e-13,6.936126152601308e-13
"Marche","43.316666666667","1000","168","1992","12","386","11","3558",33.89592426465401,"13",402.13851075247965,395.2363069295466,9,409.04991091803265,388.18952336900173,-1.5229255877213797e-11,-1.5461978572495203e-11
"Molise","41.6997","25","9","66","18","9","14","127",22.62534466371141,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351357506,521.593988077833,1.1362672005770774e-12,1.0647219838365557e-12
"Piemonte","45.25","2985","443","3840","254","684","01","8206",41.103292715148804,"7.9166666666667",83.45401674780715,244.87483380474941,11,86.67179138865129,248.22471317398876,-2.769426224805138e-12,3.4740438390606917e-12
"Puglia","41.008611111111","559","99","774","31","86","16","1549",29.168750934808294,"16.512777777778",630.2278965217012,575.7430948182009,12,630.036777879512,570.8560298701261,1.2237375175694343e-12,1.2748528876440831e-12
"Sardegna","40.05","105","23","454","29","27","20","638",25.884299995089926,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","451","71","808","65","65","19","1460",28.90145282346609,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","1111","275","2400","121","215","09","4122",34.95679221438165,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359806544,392.63687654734457,1.1005485646975345e-12,5.464286161189628e-13
"Umbria","42.983333333333","166","46","685","95","31","10","1023",27.451132450606636,"12.566666666667",376.6313230409835,421.24314034713734,16,366.0937531060258,431.9871246007516,2.5164934719379416e-11,2.571366401055153e-11
"Valle d'Aosta","45.716666666667","90","26","423","2","43","02","584",25.629773081337916,"7.3666666666667",48.718865504655696,208.71364194412718,17,40.44288745176953,200.09789620680522,8.852263193304121e-12,-8.63964993297328e-12
"Veneto","45.733333333333","1586","355","5310","715","392","05","8358",41.29784440946413,"11.85",322.21166739327714,207.4231961704986,18,325.1796225334708,212.59759988309742,-2.160217317526136e-13,1.873605827776292e-12
"Trentino-Alto Adige","46.383333333333",590,131,1606,288,193,"04",2808,32.344770439851615,"11.416666666667",293.3773299582052,157.1527252669871,19,288.5389056238178,148.71730099375807,1.5648472101448263e-12,-1.2242933229711371e-12
