"id","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"033000392",219.04146835243674,203.5714862550469,201.90041327181913,209.76890551157328,"0.257",0.384
"034000112",203.3241179497614,207.96082219501946,206.64295207202844,208.13737819692562,"0.605",0.443
"033000243",201.6237120376615,211.5389109322042,200.78209497979188,214.0477971675287,"0.453",0.109
"054000056",319.3916496376184,199.44128502048721,323.67235354221,205.87244889320326,"0.598",0.458
"054000138",326.0211936790159,209.11381357674438,320.02348310660614,204.05202183644644,"0.528",0.016
"034000276",216.45848725134485,226.7096706191704,211.18890189454288,206.1351649662326,"0.698",0.794
"033000339",205.7328259823959,226.3359704367661,200.98687104602442,219.15045662431322,"0.243",0.802
"031000017",214.33815442420658,214.10799821046962,207.5749640205598,221.58799108805,"0.004",0.294
"033000125",221.1725640648906,220.82806873473734,208.18765469351683,213.77355259847275,"0.154",0.523
"034000267",192.29006443074303,206.09781777740045,206.12673487027993,212.75131875179918,"0.507",0.558
"054000125",317.40961350599383,213.39373916751768,321.79694153877773,206.28586283097263,"0.832",0.269
"013000003",84.94958774619742,241.69674988157738,85.57905860624318,243.36374606706752,"0.226",0.456
"084000101",268.66481345926877,287.0208094463028,273.4423336037813,288.79464985057524,"0.654",0.708
"033000184",205.0094276605437,208.98738196812315,204.47269188017574,214.48080950448758,"0.476",0.31
"033000089",194.37741694023393,213.82573058469364,202.88635522436758,218.3600846828327,"0.295",0.316
"084000114",271.50392443068193,276.0982437193299,276.92434669362586,287.43574470790367,"0.766",0.713
"033000242",208.2214352856165,206.9543898217233,203.3170496457707,212.20583532706067,"0.167",0.404
"035000010",208.26476304175134,220.685493835208,211.487822625937,220.06915248194667,"0.998",0.839
"083000037",271.3666614612789,284.3534112307899,270.00961187256564,279.46144228069227,"0.321",0.83
"083000053",271.81421600291907,281.27239312977866,273.33620651002883,280.834715883304,"0.191",0.11
"032000016",214.39900465929665,225.41596502287794,206.570657540525,220.75544523720004,"0.056",0.01
"034000170",200.09389542643987,207.43011130881078,207.3755641374978,211.58168063868214,"0.864",0.54
"034000035",213.89014399980346,204.40004374496067,211.80597483568673,206.13882397883978,"0.893",0.629
"084000007",273.5226526141439,285.5055896372392,275.2229929893006,289.6220312076779,"0.913",0.481
"032000066",213.05105787915053,213.42308541462822,209.4958068976805,221.18382767883725,"0.048",0.699
"032000021",197.11096067414357,226.4754226278243,207.67525434198305,217.61107682283935,"0.025",0.009
"034000082",205.70569366713133,219.84714039344848,206.12506585557406,210.7515258163685,"0.617",0.57
"034000102",211.89148861713173,217.0674717028942,211.79206626074287,212.92367457188018,"0.591",0.782
"033000399",218.2058914308866,215.31149023930183,210.91030633529863,217.0666606492633,"0.392",0.35
"052000001",320.4307794175526,202.42302627169207,326.58782098436177,206.56965529463753,"0.029",0.147
"064000001",397.3758005461646,179.7371438749167,397.82376774744085,179.80695607504785,"0.551",0.518
"033000236",201.36316926687718,225.48453794600127,199.05469839434116,220.99863362445544,"0.410",0.513
"054000003",315.58121648780366,202.21404784343815,318.6461449879169,211.3578126772983,"0.884",0.971
"033000006",216.28653403556257,200.483619534369,202.4613020905274,215.7771473226693,"0.288",0.975
"034000078",216.47138736423904,222.37095186756477,214.7380953966631,210.55695327869807,"0.601",0.551
"034000096",210.63089877475153,220.60453193425644,206.9582247156759,211.64193995747928,"0.789",0.038
"083000070",265.2212851384151,285.8379451768523,268.12868162991015,282.50562280964147,"0.166",0.648
"033000155",213.97695774255502,228.63925230967052,198.82623580742612,220.3363053325797,"0.419",0.824
"034000134",220.0079775514419,214.04878002816716,213.01596614313425,214.28263244542657,"0.733",0.401
"034000299",201.72897817393033,210.68518316140768,208.3072395547198,206.78243464956023,"0.540",0.907
"032000076",202.50020660356486,203.98635337403138,207.81501904554645,215.13721632309503,"0.047",0.34
"014000015",82.34040216127595,247.47132202061184,82.50533639964358,246.82537220332546,"0.786",0.02
"034000001",198.93950078701235,220.47414279164212,209.79796774190996,213.58553841286235,"0.629",0.065
"032000091",211.15188977620315,199.33345211550224,210.4741032285119,215.39509217999355,"0.052",0.656
