"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","361","76","864","116","146","13","1563",29.067995112125686,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830216565,481.1420501159854,1.002706882642227e-12,1.0251583071915748e-12
"Basilicata","40.5","41","19","187","3","11","17","261",23.705544576180483,"16.5",631.7883003522712,615.6439377639663,1,632.1431088744854,624.7166910715717,1.3673572690775514e-12,-1.0951596400576856e-12
"Calabria","39","183","17","462","26","45","18","733",26.209888117970436,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516176,733.5385737296104,1.5615419409876317e-12,1.3272077198904008e-12
"Campania","40.75","532","115","1705","144","181","15","2677",31.867410741625054,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209714331,596.0262438110094,1.2405762883873613e-12,1.0111910616862985e-12
"Emilia-Romagna","44.75","3915","364","7899","1852","1902","08","15932",48.951224510776754,"11",273.7755526126515,283.67879560051733,4,283.5347643743472,294.93392831070577,-0.000003830985901179728,0.0000010878040392804525
"Friuli Venezia Giulia","46.1","201","61","1062","419","136","06","1879",29.94249035594777,"13.116666666667",397.94445344900134,179.05170714910764,5,397.94445344775005,179.05170714849956,4.735673162036696e-13,9.74489323515406e-13
"Lazio","41.9","1194","188","1627","392","199","12","3600",33.76204706407951,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268561414,505.9151039821091,1.0560371878378405e-12,7.833373721160726e-13
"Liguria","44.45","1147","173","1426","700","519","07","3965",34.44286607538062,"8.7666666666667",137.64188625782947,306.98980046466886,7,138.16629485662494,307.5949394486867,0.00003289994021426975,0.000028461083692274086
"Lombardia","45.65","11802","1381","13006","13020","8311","03","47520",70,"9.95",206.55634157536247,213.87614012509903,8,201.62160104667876,208.6804934185047,2.8633810574196435e-7,6.691496088468556e-7
"Marche","43.316666666667","982","158","2491","42","557","11","4230",34.91770353599638,"13",402.13851075247965,395.2363069295466,9,409.3246822411241,387.90936986194896,-4.903350954432728e-11,-4.99093438452447e-11
"Molise","41.6997","31","8","105","21","11","14","176",23.042903097250925,"14.6111",508.6091735149422,521.5939880792921,10,508.6091735135643,521.5939880778177,1.148229150789687e-12,1.0730714674364635e-12
"Piemonte","45.25","3300","452","5378","723","1043","01","10896",43.94227063651907,"7.9166666666667",83.45401674780715,244.87483380474941,11,86.83722704228335,248.35702390536522,-0.000015279572437220093,-0.000012545650772642201
"Puglia","41.008611111111","648","123","1178","69","164","16","2182",30.71418550538355,"16.512777777778",630.2278965217012,575.7430948182009,12,630.0165398720982,570.338527012564,1.1607431162075077e-12,2.9138188850684824e-12
"Sardegna","40.05","122","24","598","40","41","20","825",26.588078458684123,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","535","73","1056","94","101","19","1859",29.8894350660655,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","1149","288","3472","300","290","09","5499",37.00879897065758,"11.016666666667",279.53323598135603,392.63687654875775,15,279.53323598065964,392.63687654732786,1.1136067882028146e-12,5.423579324325818e-13
"Umbria","42.983333333333","165","48","707","220","39","10","1179",27.875691407839387,"12.566666666667",376.6313230409835,421.24314034713734,16,365.3557758370092,432.7395574390574,7.888932476024513e-11,8.05117170848968e-11
"Valle d'Aosta","45.716666666667","85","25","450","89","70","02","719",26.15029905380043,"7.3666666666667",48.718865504655696,208.71364194412718,17,38.25611072097751,197.83135258109638,-0.000013930020905292099,-0.000013949220798050582
"Veneto","45.733333333333","1714","335","6812","1031","572","05","10464",43.46284404127194,"11.85",322.21166739327714,207.4231961704986,18,326.45997554012956,213.09348265895548,0.0000037786223082603328,-0.000003997769921433841
"Trentino-Alto Adige","46.383333333333",634,140,2094,457,343,"04",3668,33.89141391188746,"11.416666666667",293.3773299582052,157.1527252669871,19,287.0827354790173,146.51184713793955,5.562750947067305e-7,0.0000014507867714875186
