"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","0","0","0","0","0","13","0",20,"13.833333333333",458.124498303482,481.1420501172729,0,458.1244983022538,481.14205011596994,1.0147326797053642e-12,9.565229573990209e-13
"Basilicata","40.5","0","0","0","0","0","17","0",20,"16.5",631.7883003522712,615.6439377639663,1,631.7896418174893,615.6782402040504,1.2638105710875094e-12,1.3361503066076572e-12
"Calabria","39","0","0","0","0","0","18","0",20,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","0","0","0","0","0","15","0",20,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209713617,596.0262438110464,1.2118352432459468e-12,1.0667785296748764e-12
"Emilia-Romagna","44.75","20","3","23","0","1","08","47",21.59710472875104,"11",273.7755526126515,283.67879560051733,4,273.7755526118512,283.6787955997037,6.336500893636291e-13,6.232645931682483e-13
"Friuli Venezia Giulia","46.1","0","0","0","0","0","06","0",20,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534479473,179.05170714860358,3.925522071679563e-13,8.208638458848229e-13
"Lazio","41.9","0","0","0","3","0","12","3",20.403501444638632,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268556133,505.9151039821766,1.0034578755407651e-12,8.244871745657012e-13
"Liguria","44.45","6","0","5","0","0","07","11",20.772646442231743,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625733632,306.9898004637725,6.980769054069254e-13,3.8406780139968783e-13
"Lombardia","45.65","79","25","145","0","9","03","258",23.741918459960065,"9.95",206.55634157536247,213.87614012509903,8,206.55634157494129,213.87614012460128,3.876465697868666e-13,3.2801969628562697e-13
"Marche","43.316666666667","1","0","0","0","0","11","1",20.232961667680517,"13",402.13851075247965,395.2363069295466,9,403.4553597373025,393.8936629424236,4.333550445573264e-13,3.9828251374024457e-13
"Molise","41.6997","0","0","0","0","0","14","0",20,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351358967,521.5939880778168,1.1489359676350016e-12,1.05334244759738e-12
"Piemonte","45.25","2","0","1","0","0","01","3",20.403501444638632,"7.9166666666667",83.45401674780715,244.87483380474941,11,83.4540167477072,244.8748338041935,4.329254666334707e-13,7.783377053647445e-14
"Puglia","41.008611111111","0","0","0","0","0","16","0",20,"16.512777777778",630.2278965217012,575.7430948182009,12,630.2265550530117,575.7087923749059,1.2367245431682463e-12,1.367355587251283e-12
"Sardegna","40.05","0","0","0","0","0","20","0",20,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","1","0","2","0","0","19","3",20.403501444638632,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","2","0","0","0","0","09","2",20.32945754994684,"11.016666666667",279.53323598135603,392.63687654875775,15,279.53323598059046,392.63687654758695,9.117930185616615e-13,5.961970027606072e-13
"Umbria","42.983333333333","0","0","0","0","0","10","0",20,"12.566666666667",376.6313230409835,421.24314034713734,16,375.2836178533014,422.61724495745557,1.1792752321534982e-12,1.201350542483215e-12
"Valle d'Aosta","45.716666666667","0","0","0","0","0","02","0",20,"7.3666666666667",48.718865504655696,208.71364194412718,17,48.71886550441553,208.71364194357412,4.307154804086317e-13,1.8703431453267993e-13
"Veneto","45.733333333333","16","8","45","0","2","05","71",21.96296990328498,"11.85",322.21166739327714,207.4231961704986,18,322.21166739247116,207.42319616989735,4.682429938790898e-13,6.276822095163164e-13
"Trentino-Alto Adige","46.383333333333",1,0,0,0,0,"04",1,20.232961667680517,"11.416666666667",293.3773299582052,157.1527252669871,19,293.3773299574288,157.15272526664512,2.6631907258619634e-13,6.046806921436769e-13
