"id","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"035000234",185.67157838746905,240.1256516994203,210.17209530403858,228.26008043349037,"0.917",0.449
"033000060",180.04995858078357,202.29233240156805,197.7963415588229,214.32917566952773,"0.310",0.97
"034000198",229.2997986082637,223.34187905628835,210.4053162171183,211.1893465273744,"0.869",0.86
"031000143",219.10720208730925,232.7023042141474,222.69800821201895,206.93266618548367,"0.033",0.103
"033001622",235.74203838267016,209.58410859855164,207.18574318776953,219.80799152570268,"0.547",0.99
"034000143",232.36764031736118,204.97036085838928,213.20869872025503,208.01292770945514,"0.888",0.896
"054000411",319.8531751041694,201.17399139067132,318.87032600276456,203.93177140455637,"0.825",0.075
"054000243",320.861770310137,205.82246989381153,320.8647202789343,200.7275492528448,"0.786",0.108
"033001647",240.6971046415291,207.61485046385084,205.12398422289496,220.32681200102823,"0.459",0.043
"114000084",411.7597761642131,390.7892496761055,407.6472442510707,393.2465199873193,"0.656",0.319
"033001833",197.4604497020341,244.6402021941755,196.89780958200888,221.373480413857,"0.246",0.443
"033000787",191.52112104110515,192.53925036821346,195.09068790522267,208.3515443141764,"0.531",0.342
"024000001",48.00532584297442,209.2196711652945,47.92908113293285,209.00156159212187,"0.628",0.757
"054000084",313.8551530463536,204.8535920620986,320.5120855415772,200.14115355366997,"0.688",0.97
"032000324",225.68891337836757,215.06582215561284,223.55800421736032,213.82587538436385,"0.082",0.58
"033001940",239.1454251226985,216.67656859097644,210.88496628202276,217.31134850995767,"0.295",0.405
"093000022",281.0029627117586,394.5734070857976,279.5133856862101,392.40100413576863,"0.299",0.948
"014000054",90.40270793292376,250.26931301714015,81.51759898071286,248.40704345202187,"0.875",0.822
"033001458",227.62891823088663,225.36153150031018,195.73236575067452,224.84475101623096,"0.250",0.375
"033000818",180.54375173993577,192.32101455261684,192.1372703801837,211.55605859775568,"0.183",0.682
"164000011",630.7469821056224,572.1620635381189,629.916275571557,573.9017750291806,"0.689",0.916
"033001524",198.71045984444038,217.5908192943842,200.60362071849906,209.70032103776225,"0.528",0.394
"083000533",283.5938381896037,288.86957135217506,269.44333535126276,283.9624509404019,"0.559",0.095
"033000896",188.01423052896604,236.42786231882204,195.42214210253005,227.34113623072787,"0.270",0.16
"033000340",220.6256294329894,193.2474166913475,203.77624699363736,204.9112434819308,"0.512",0.914
"034000255",177.71262977499032,222.2350115084458,209.95945749389622,208.49145921210706,"0.819",0.387
"114000092",403.07126962583493,398.4301504882918,404.3716495658102,398.62940691329385,"0.721",0.287
"035000400",199.11253511616067,203.63949024189887,215.14670025226906,218.65800784295024,"1.000",0.622
"034000492",185.76981130972246,219.26403582774913,204.58533151257407,207.00413393149313,"0.748",0.165
"034000219",192.62914913587227,215.13327370536197,209.6151961243105,208.1708075356759,"0.900",0.707
"034000312",193.95731687779036,207.13353479971227,202.5596394018128,203.75687998152205,"0.808",0.008
"053000088",331.11720860024906,197.0164477027003,316.19802713237567,207.0757945564641,"0.361",0.494
"054000179",329.1726245930091,198.22317066334074,324.01720292961323,198.9073818921792,"0.622",0.163
"053000118",323.97823250843834,209.7027591101863,322.4264315731687,214.26894047166363,"0.555",0.808
"033001696",174.7715045271893,214.77803301401673,194.69181060958854,215.92607397387903,"0.276",0.897
"034000101",207.30330609624056,241.0324206075094,212.6192926422174,212.41980794751947,"0.828",0.394
"033000191",205.22603044966408,230.6745860644143,197.85813804964846,220.93978806923843,"0.275",0.626
"034000601",179.47616260060886,236.04912768363232,211.95060966255548,215.43340779924023,"0.658",0.938
"084000345",283.81311566128943,293.7765424288095,272.8143783381635,289.36563996768547,"0.643",0.725
"034000184",199.75566624788866,226.03636960441148,209.1081221834391,206.82382602579904,"0.826",0.663
"053000038",310.94082845915216,199.9802698442652,319.7721326733748,209.84009541808487,"0.318",0.722
"013000193",91.11412598960496,246.06133383086083,89.87258708805456,243.0694301613375,"0.226",0.329
"033000403",175.29172230128344,212.0624076971799,205.87294936398754,222.31907278184485,"0.213",0.279
"033000304",202.8131454032897,206.28806675088242,203.36435137722427,209.4024181396202,"0.493",0.894
"034000586",216.5583579551829,192.44684160108477,203.02002711975928,200.74321552115202,"0.903",0.225
"035000344",210.20393065746686,180.19125858164438,219.54784780610683,218.529759632643,"0.965",0.689
"033001344",194.46730801770215,193.91671782346964,209.31581098671316,209.10161554175411,"0.559",0.319
"035000161",188.54898936954163,208.8698474195235,219.30965652330093,220.6035005565681,"0.923",0.715
"084000118",278.79749872856917,290.9608886476475,276.28949050108855,288.3655507465866,"0.661",0.16
